Author,Comment,LikeCount,PublishedAt
@LuffLuck,Even Kaya is scared of her food offerings lmaoo,4427,2024-09-19T12:04:01Z
@maryannbalog7099,I always laugh when the dog is now a doctor 😂😂😂😂 i love it ❤❤❤❤ make more please❤❤❤❤😊😊😊😊,55,2024-09-29T12:01:35Z
@yuhanbaek,Not her dabbing sneezing 😂😂😂,3483,2024-09-19T12:23:50Z
@Nora._.Official-11,Sneezing ❌<br>Dabbing✅,7,2024-10-24T12:42:10Z
@Deadlyiraqigamer,The dog looks so cute😊😊😊😊,322,2024-09-19T12:44:58Z
@Itsgachanayah,"&quot;Dont you DARE POOP ON MY FLOOR AH, OR ILL COOK YOU&quot; <br>It got mee!😂😂😂",601,2024-09-19T21:52:50Z
@Aakuu27,The mom just dapped when sneezing 😂😂,7,2024-10-02T01:48:52Z
@Page.tyunning,<b>&quot;I will cook you💀&quot;</b>,957,2024-09-19T12:13:21Z
@COMMENT_0000,Mons lisa on doors 🚪💀💀💀,3,2024-09-23T20:49:37Z
@imnotreal-k8q,Became a doctor and became the favorite child☠️☠️<br><br>tysm for 31 likes<br>tysm for 52 likes<br>tysm again for 114 likes<br>tysm for 211 likes<br>tysm for 363 likes<br>tysm again for 505 likes<br>tysm for 541 likes<br>tysm for 609 likes,643,2024-09-19T12:03:28Z
@A1K0PL4YZ-DandysWorldFan,The sneezing and &quot;Don&#39;t be stupid like AH GURL&quot; the begging left me jaw dropped me of guard☠,30,2024-12-12T13:07:03Z
@IrisTeo-l1z,Not her sneezing while dabbing😂😂😂😂<br><br>Edit: Tysm for 187 likes!!!!🎉🎉🎉😊😊<br>Edit 2😅:Tysm for 200+ likes!!!🎉🎉😊,433,2024-09-19T13:24:23Z
@SoniaGill-k5o,Kaya is sooooo cuteeeeeeeee❤😊,1,2024-10-07T10:25:13Z
@hevv_1299,The FAVORITE CHILD Got me<br> roiling 😂😂😂<br><br>Edit: THANK YOU FOR THE 525:D💯<br>Edit: TYSM FOR THE 666 LIKES❤,710,2024-09-19T12:05:54Z
@PPPitchpanther,All the asian moms are like that😂😂😂😂,3,2024-09-25T16:13:30Z
