Author,Comment,LikeCount,PublishedAt
@MD_creationz,Buying charger for the phone ❌<br><br>Buying phone for the charger ✅,73734,2024-05-01T07:22:35Z
@cantbeuseless,That &quot;womp womp&quot; was perfect 😂,43460,2024-04-25T04:19:19Z
@techcyberunbox800,Start charging from 0% In 2024❎<br>Charging done 2% in 2030,14584,2024-04-25T17:02:55Z
@Baseball246-t8b,"Apple guy: And why are you back<br>Vector: I accidentally charged my phone to like 4,284%💀",8,2024-11-26T04:15:07Z
@dijayemiehioito,Charger:<br>Charging your phone: ❌️<br>Exploding your phone: ✅️,1965,2024-06-17T02:27:56Z
@Yng.Saaddy,99 missed calls from apple😂,2403,2024-06-14T10:14:15Z
@Octo-eight,People five weeks into the apocalypse with no power: &quot;HOW IS YOUR PHONE CHARGING&quot;<br>Me: &quot;*C R A N K*&quot;,1150,2024-05-05T04:49:06Z
@Funtimesofacreeper,"Apple: WHAT DID YOU DO?!<br>Vector: I charged my phone to 1,000,000,000 percent😂😂😂😂",0,2025-05-08T01:50:35Z
@twenty-2923,iPhone: 4%<br>2 minutes later <br>iPhone: 1%,2407,2024-04-28T07:11:52Z
@JustLivingTheLife-i2i,That✨️womp womp✨️at the end was personal💀,1726,2024-05-01T21:25:35Z
@allmedia360,My phone is being charged ❌ <br>I&#39;m charging my phone ✅,1483,2024-04-25T05:11:58Z
@Hillaryemojicat7,Charger<br>Charging your phone✅<br>Exploding your phone❌,17,2025-03-03T11:21:31Z
@JoshuaBoles-w9b,Bro just called us poor in so many ways 💀,2271,2024-05-02T20:26:34Z
@cabahugedelynbaise,That &quot;womp womp&#39;&#39; was personal 💀,918,2024-04-29T07:43:56Z
@N1GHT_D1V4,The ‘WoMp WoMp’ will never get old🤣🤣😂😂💀💀,62,2024-04-25T09:28:47Z
@Дамиро-ш7х,DON&#39;T TRY THIS AT HOME ⚠️⚠️⚠️⚠️⚠️,19,2025-01-28T09:55:24Z
@ViralWorld.t,This guy is the reason that we stay hopeful in YouTube,1374,2024-04-30T06:15:48Z
@Ayooooooooooo,Nah bro getting a brand new iphone as a tax write off with this one,587,2024-05-29T22:02:08Z
@SimonPyramid,bro said &quot;womp womp&quot;💀,457,2024-08-11T10:46:38Z
@MatheusDeOliveira123,“Womp Womp” is actually perfect is the best meme,1,2025-01-26T19:10:39Z
@coldair6807,Bro bought a new phone 💀,1587,2024-05-02T14:01:29Z
@Plazard_YT,Slowest samsung charger:,765,2024-05-04T11:38:09Z
