Author,Comment,LikeCount,PublishedAt
@pipecleanercraftsb,materials: baking soda + vinegar. пищевая сода и уксус.<br>Song: Distrion Entropy,1690,2024-07-05T21:00:40Z
@Lucas_Gubus,“Roblox tycoon” ahh music,8371,2024-07-27T20:00:03Z
@Siren-tt8um,the table slamming was actually funny asf,673,2024-08-01T18:29:15Z
@pro-zp6cq,The aggressive punching 💀,4611,2024-07-20T22:28:45Z
@serenitymclain,He had some anger built up y&#39;all 😂,1910,2024-07-31T05:54:24Z
@BasicChair52,&quot;Minecraft vs real real life&quot; ahh music,326,2024-08-02T12:58:24Z
@Mdluffy1938,&quot;BANG BANG BANG BANG&quot; got me dying💀,196,2024-08-04T14:54:25Z
@Emptyasflol,WE BUILDING OUR TYCOON WITH THIS ONE 🗣️🔥🔥🗣️🗣️🗣️🗣️🔥🔥🔥,639,2024-08-02T10:45:29Z
@ShocktoSpectre,&quot;Superhero Tycoon&quot; ahh music 💀💀💀🙏🏾🙏🏾🙏🏾,663,2024-08-02T20:34:17Z
@CuteBunny-l9s,The punching was personal💀,44,2024-09-02T06:38:57Z
@SpeedyGamer65,This music reminds me of Luckyblock Battlegrounds from Roblox 😭,156,2024-08-01T10:30:26Z
@kiranshetty8592,that punch was persnal💀,266,2024-07-07T05:25:32Z
@gayatriy60,The punch made me rolling on the floor 🤣😭🤣😭🤣. I don&#39;t know whether I am crying or laughing but I am crying in laughing . 😂😂😂😂😂,24,2024-08-18T09:41:14Z
@unknown_406,all fun and games until the balloon pops,90,2024-08-06T05:44:19Z
@Edinburgh_East-2008,Chemistry: Baked Soda + vinegar inside gloves and into balloon,278,2024-07-22T19:58:27Z
@astridandersson9744,Thats actually pretty cool ngl,34,2024-08-04T17:02:24Z
@ivey7ify,That punch was making me Let out the laughter,41,2024-07-26T03:52:52Z
@ズングズズ,膨らむの再現度高くて可愛いな笑😂,2,2024-09-20T08:58:31Z
@DisorientedLife,Fr boutta open a lucky block with this music in lucky block battlegrounds,23,2024-08-03T14:45:14Z
@BA-Footy5,For those who dont  know<br><br>Baking soda ( base ) + Vinegar ( acid ) = Co2 ( carbon dioxide )<br><br>These two substances make carbon dioxide so the gas fills up the balloon .,1,2025-01-10T07:42:02Z
@Oreogames777,Sooo cute😊😊❤❤🐡🐡🐡🐡🐡🐡🐡🐡🐡🐡🐡🐡,29,2024-07-01T09:37:28Z
@This_awesomeguy64,WE LOCKING OUR FRIENDS OUT OF OUR BANK WITH THIS ONE🔥🔥🔥💯💯💯🗣️🗣️🗣️,2,2024-08-06T14:42:10Z
@Miata595,2017 roblox tycoon ahh music,18,2024-08-01T10:23:01Z
@camillatagliaferri825,TROPPO CARINIIIII LO ADORO ❤❤❤🥰🥰🥰,1,2024-09-02T14:36:36Z
@SalamaMasuku,That punch  was personal💀💀,6,2024-08-05T13:44:13Z
@IbrahimeAithmad,ملي كيدربهوم كيتنفخو مزيان هدا عمل ممتاز 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,2,2024-09-02T08:53:11Z
@ugunga,WE SPAWN CAMPING TYCOONS WIT DIS ONE 🔥🔥‼️‼️‼️💣💣,5,2024-08-08T18:15:26Z
@VeeBingeYT,My Mind Was PUFFERFISH And I Like Them!,20,2024-07-26T14:02:18Z
@the_archie_bird,he did NOT have to hit it that hard 💀,7,2024-08-02T17:22:25Z
@RheaRuthRuiz,You violated the puffer fish😂💀,0,2024-11-17T08:22:18Z
