Author,Comment,LikeCount,PublishedAt
@liszt9132,Bro learned the boss attack pattern,286775,2024-06-05T07:34:26Z
@lukashofmann3432,"Bro literally said &quot;Nah, I&#39;d adapt.&quot; 💀",150271,2024-06-05T08:20:40Z
@eddyeddy2539,Red Bull out here doing side quests we didn’t know existed he’s trying to get 100%completion lmao,19173,2024-06-05T22:10:56Z
@JellowGelo,When he said “I understand it now” he actually understood it.,2065,2024-12-28T17:07:08Z
@dreammfyre,That shot where he hit the blade is honestly the win here,13456,2024-06-05T14:07:25Z
@MR.L009,1. Wind prediction<br>2. Turbine prediction,22063,2024-06-09T05:01:49Z
@chefaku,now blindfolded while falling with a parachute,58863,2024-06-05T07:24:08Z
@ItoshiSae10_BL,&quot;I understand it now&quot; 🔥🔥🔥🔥🗣️🗣️🗣️🗣️,73,2024-12-30T16:30:58Z
@SenTHR811,This MIGHT be the least dangerous redbull stunt,9529,2024-06-05T07:41:59Z
@CityofJ,That first rejection took me out 😂😂😂,2708,2024-06-05T18:42:51Z
@musicsimp8276,Respect to the guy who put the net there,7678,2024-07-12T18:42:58Z
@agis_...897,&quot;I understand it now&quot;  bro made a giant meme without knowing it 💀<br><br><br><br><br>Edit: 1K IN TWO DAYS AWW HECK YEA<br>Tysm guys keep on blowing my phone,1509,2024-12-24T11:50:16Z
@RiddleWhisperer,Red Bull is like that jobless Friend on a Tuesday,2424,2024-06-06T20:46:11Z
@AviationOfSG,1980: Man and Turbine <br>2024: Man vs Turbine,3266,2024-06-12T03:41:01Z
@josiahscarrmusic6750,The turbine must&#39;ve been drinking redbull cause it has wings,3097,2024-06-10T10:00:22Z
@leonhenry4861,"100 years from now, nobody will ever know Red bull made an energy drink 😂",4,2025-01-02T19:34:17Z
@ijj45,The safest Redbull short in this planet,1892,2024-06-09T09:27:15Z
@munch7203,my man learned the wind turbine pattern in a matter of seconds. he&#39;s an anime character,2247,2024-06-05T23:55:26Z
@angyboi7969,Imagine walking along the street in a town near these turbines and suddenly you get hit in the head with a rogue basketball lol,3477,2024-06-23T01:15:11Z
@AryanArya-xp2rc,2006: Man vs Wild💀<br>2024: Man vs Turbine☠️,4,2024-12-30T16:35:04Z
@wolveshield,"I feel like the pressure of the entire world was riding on the shot after he said, “I understand it now” 😂",1954,2024-06-08T10:37:13Z
@Luvrn_1,Red bull always proves human potential can be greater than we think,3272,2024-07-11T18:15:20Z
@CrH_1993,The ball going into space was more satisfying 😂,1874,2024-06-16T13:03:07Z
@floobuoy7720,Respect the man casually going on a walk and getting hit by a basketball going 500mph,6,2024-12-29T01:54:36Z
@blockitou,The turbine beating the ball is more satisfatory than the trick shot 💀,2934,2024-06-15T21:22:49Z
@statusDzn,Whoever put the basket up there is the real main character,3033,2024-06-16T04:30:49Z
@M4NZY,respect to the guys who put this basket there,260,2024-06-10T07:25:33Z
@Teal1989swiftie,That wink was everything 😂,1,2025-01-01T18:04:07Z
@aayushsinjon19,Red bull is full of all my 3 am intrusive thoughts 😂😂,745,2024-06-05T15:35:20Z
@shenakitt5349,“I understand it now” is the worst thing to hear in a 1v1 with him💀💀,2964,2024-11-11T20:00:22Z
@maineprimal7665,That second turbine slap gave him a training and powerup arc 😂,1287,2024-06-09T20:01:52Z
@spasebar,Saying &quot;I understand it now&quot; while actually understanding it is such an epic flex,1,2025-01-11T22:02:48Z
@firevenger7380,Redbull:sometimes we make drinks also,2344,2024-06-14T04:10:23Z
@cheetos2451,"If he dunks, I&#39;ll believe it&#39;s a Red Bull add",1447,2024-06-12T09:03:22Z
@okayokay9569,Bro adapted to survive 💀,2762,2024-06-15T01:57:15Z
@shahzebiqbal2500,I thought the challenge was to make the wings hit as many balls as possible,3,2024-12-27T10:28:39Z
@Dreamsio,Bro wasn&#39;t bluffing about it 🌝<br>&quot;it&#39;s easy now&quot;,527,2024-06-05T15:53:57Z
@nonuts111,plot twist: he only had one ball,3279,2024-06-17T16:58:32Z
@LibiaDuran.1,Imagine your on a walk and a basketball attacks you out of nowhere 💀,2028,2024-06-26T04:30:25Z
@PEANUHTBUHTTAJEYLLY,Other Companies: This product could bring people together<br>Redbull: Man VS. Wind Turbine,1,2025-01-26T01:21:28Z
@john.bui137,“i understand it now” went kinda hard lol,1026,2024-06-08T22:35:41Z
@ArcheryXStar,The man that got hit by a basketball in the head going 89273km per hour be like,4269,2024-06-11T17:06:33Z
@FUW-guy,&quot;I understand it now&quot; such a raw line lol.,986,2024-07-25T01:42:18Z
@Redozer3,The guy on the ground who got hit by a flying basketball: 🥴🥴——😑😐,1,2024-12-25T10:08:31Z
@Jay-dm8fd,“ I understand it now” 😭,4033,2024-12-07T13:03:14Z
@SaltStorm007,That first one is in orbit😂,700,2024-06-06T11:29:10Z
@mr.oooops4407,I am more interested in the person who tied a hoop to a wind mill 😭😭,563,2024-06-05T07:56:37Z
@Zackarria688,That basketball left the atmosphere.,2,2025-02-18T21:34:20Z
@hmmok5791,Wind turbine owner: who let that guy up there?,2769,2024-06-20T00:23:37Z
@XLTLMusic,"i love how redbull is 2 things: <br>1 - A man literally jumping over a 300 foot deep valley on a bike, going to fall 300 feet at any slight mistake<br>2 - a guy throwing basketballs at a wind turbine",1113,2024-06-17T23:57:39Z
