Author,Comment,LikeCount,PublishedAt
@VENOMdeVINO,Smooth. No contact or movement from her head at all. 😂,53128,2024-09-29T04:17:38Z
@FuriousDragon245,That fucken sound at the end got me dying,12130,2024-10-02T02:30:18Z
@rodolfoortiz7363,Execution was flawless... Bro spawned that pie from his back pocket... <br>😂 😆,2293,2024-10-08T03:52:04Z
@walkerc584cw,"Bruh!! I’m literally in tears from laughter. I wasn’t expecting the pie neither, made it so much funnier.😂😅😂😅😂😅",301,2024-10-22T12:45:22Z
@mrironlunglungzielungzietv6697,Best pie face I&#39;ve seen in years!,6662,2024-10-02T17:58:05Z
@JoeJack-nx1mn,So this is what mascots did during covid,40032,2024-09-30T17:01:42Z
@R35PECT77,Bro that plate hitting her sounded like buckshot😂😂😂,1412,2024-10-05T15:13:35Z
@aravinth007vt,Dude.. I am dying laughing here.. 😂😂😂😂,2,2024-11-15T21:32:46Z
@mikeymastro4425,The fact that she looked up like there was an actual firework is hilarious 😂😂,3401,2024-10-02T17:40:17Z
@kaybee9909,He Still trying to convince HR why he should keep his Job,5183,2024-10-05T03:36:51Z
@kokugatsumoon,Every day more and more men test out how good their life insurance policy is.,16858,2024-10-01T11:40:22Z
@WiliiamNoTell,The sound effects were unbelievable plus the fact she looked oh my goodness😂😂😂,6,2024-11-19T23:53:42Z
@zjp692004,I can watch this on loop and laugh everytime,1884,2024-10-02T01:12:50Z
@brettdeboyes2585,I can&#39;t stop watching it 😂😂 the sound affects are perfect.😂😂,567,2024-10-03T08:24:17Z
@pysparknuggits6734,"Whoever is in that costume is truely amazing the setup and the delivey... When she looked up, the pie went smack( Timing was Impeccable)! 😮",600,2024-10-11T05:06:03Z
@raymondcarr2991,That pie shot was at point blank range😂😂😂😂😂😂😂😂😂,4,2024-11-02T01:26:04Z
@jeffs6090,This is the most hilarious 2 hour video I&#39;ve ever seen!!😂😂😂,1985,2024-10-04T05:51:43Z
@g.g.die1295,Flawless execution of a classic pie in the face gag.,67,2024-10-10T05:34:45Z
@DubbxJay,That pie came straight from his inventory,125,2024-10-02T20:32:47Z
@michaelknight8534,I love his follow through. That’s textbook form right there.,335,2024-10-03T00:00:31Z
@Bloxyman92,Bro the fact how when he slammed the pie on to the woman&#39;s face it sounded very hard 😂,1206,2024-09-29T06:36:29Z
@odafeomo-emevor4444,She was searching for the trick until she realized she was the trick 😂,1203,2024-10-16T14:43:57Z
@grand-georgeproductions3857,Fireworks Sound effect was legendary 🧨🎇🎆🔊👋🤣😂😭💀👌💯,2,2024-11-13T04:30:08Z
@sike1035,"Even if its staged, its still peak entertainment 😂😂😂",394,2024-10-02T15:48:28Z
@KevinJamie3240,"Took it like a champ, scripted it, rehearsed it, knew it was coming, didn’t even flinch",705,2024-10-04T17:45:23Z
@zacharyjones7233,Ive watched this 10 times. And It&#39;s funny each time 😂,684,2024-09-30T19:52:03Z
@hyacinthlynch843,The pie in the face gag never gets old. 😂,7,2024-10-28T13:38:37Z
@aeggersd1,They have you sign a waiver to be hit with a pie but won&#39;t tell you when. So the reaction is real and hilarious. He&#39;s been to my wifes work for a photoshoot.,930,2024-10-02T00:24:13Z
@CreatioNNoitcurtseD,Ive been crying and laughing while watching this for the last 20-some minutes straight! 🤣🤣🤣🤣 I need to stop.,84,2024-10-15T15:39:36Z
@Meeeeex1,The more times I watch this the harder I laugh.,70,2024-10-03T17:57:42Z
@ZachWheeler-cn7zj,She fill for it dame man good one 😂😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅,3,2024-10-22T06:19:22Z
@NikkyCollins0,"😂 I can’t stop laughing, nor can I stop watching😂😂😂 I’m literally in tears and my face hurts 😂😂😂😂😂😂😂",95,2024-10-03T06:12:34Z
@33salemhockey,I fucking lost it. I was laughing so hard.,54,2024-10-02T17:46:28Z
@Apexgangs,This folks is the power of distraction 😂😂,26,2024-10-03T04:37:29Z
@ChickenJockey-j6y,"THE LAUGH AT THE END😂😂😂😂 SOUNDS LIKE AN ACTUAL CHICKEN, LOL IM CRYING😂😂😂😂😂😂 OMFG",2,2024-11-16T00:45:36Z
@Reboot0110,I watched this on repeat for like 2 minutes straight,49,2024-10-02T16:46:05Z
@paulcargill8129,"Thank you Moe, Larry and Curley. Never gets old. 😂",73,2024-10-02T01:28:41Z
@brianmccrary5369,"It&#39;s just so smooth 🤣 Fluid motion, great pie to the face. Hilarious 👌🏾",58,2024-10-03T00:53:14Z
@chrisegoyan9742,Je l&#39;ai Matter au moins 20 fois ...<br>Toujours aussi drôle 😆 🤣,1,2024-11-02T23:23:58Z
@michaelndawa739,This is the smoothest and calm creaming I&#39;ve been waiting for all 3 decades and a half😂,9,2024-10-04T14:48:34Z
@AngelaJohnson-pp8qs,"Brilliant, I can&#39;t stop laughing &amp; replaying this video 😊😊😂😂😂😂❤❤❤ over &amp; over❤😂😂😂",85,2024-10-07T22:20:13Z
@jaimerobles4228,Cream pie to the face😂,608,2024-09-30T05:43:20Z
@raymondclark3445,😂😂😂😂 this has to be the funniest s*** i&#39;ve seen all day,2,2024-10-22T09:55:38Z
@carringtonmacarthur1891,Bro I zooted rn n dis the funniest I’ve seen all day😂😂. I’m dead af,2,2024-11-20T04:34:59Z
@JerZy_BoiZ_Entertainment0128,5 times in row and it&#39;s still funniest asf,12,2024-10-06T15:02:29Z
@eddieechavez1534,Hilarious 😂😂😅 i must have watched this like 10 times..,6,2024-10-08T10:31:49Z
@kylefolb8638,That was great. He even got her to look up at the imaginary firework,33,2024-10-02T23:29:58Z
@oscarluciano2482,No matter how many time I watch this I laugh every time😂😂😂,1,2024-10-28T15:48:38Z
@Blitz_the_hedgewolf,Bro give her no chance to react 🤣🤣,27,2024-10-04T05:54:41Z
@AtatashiRuh9,Funniest video of the day so far 😂😂😂😂,61,2024-10-02T16:30:20Z
