Author,Comment,LikeCount,PublishedAt
@DanielLaBelle,"Watch bloopers and behind the scenes from this video here! <a href=""https://www.youtube.com/watch?v=T3mLXB2tnbU"">https://www.youtube.com/watch?v=T3mLXB2tnbU</a>",20315,2022-07-13T15:15:43Z
@anmolpathak5584,Oscar needs this man,402,2023-05-14T05:38:29Z
@KelseyGimi5237,Bro explained the whole movie of Home Alone in a YouTube Short💀,38846,2023-06-08T17:59:39Z
@flamex_yt0,POV: <b>When you watch too much Tom and Jerry</b>,44290,2022-07-09T14:52:18Z
@WilliamPark-k4c,Imagine how much pain the fake robber went through😂😂😂,20,2025-01-09T06:30:45Z
@anxiousbean1685,he actually mimicked marv’s scream really well 😂,10838,2023-06-09T05:32:30Z
@scharlachrot5540,Bro lowkey tried to kill him with the plastic wrap,9451,2023-05-09T09:28:01Z
@burning_spice_cookie_unchained,The bucket hit was PERSONAL,367,2023-12-13T02:05:48Z
@Twisted-ve8xn,I’m praying rn that the plunger was never used,7,2025-04-13T21:42:00Z
@Master0fHyrule,Fun Fact: Marv was afraid of Spiders in real life.,11031,2021-12-07T15:47:32Z
@AustinChallenges,This was really well made 🤣 made me laugh,6675,2021-12-12T08:48:31Z
@Gopalvel-atoz,Let&#39;s appreciate that he throws everything in his house but his wife is supportive to him💙,7693,2021-12-07T15:28:12Z
@ryanswhites2k,The way that the wrap in the drawer was perfectly organised 😂😂,4,2025-04-01T05:21:03Z
@catperson925,This is home alone but Kevin had to make a plan in 5 seconds lmao,230,2024-04-17T01:06:24Z
@Beginner_editor770,This man needs a Oscar,623,2023-04-24T03:31:52Z
@wonderwhy4898,Wife: “Daniel why is there macaroni all over my carpet.”,5731,2021-12-09T17:14:35Z
@deannatejada7890,33m likes is crazy bro congrats 👍,1,2025-03-03T18:08:59Z
@MGDNLL,the fact that he went through all this pain to entertain us is so sweet of him🥰,1281,2021-12-10T19:49:38Z
@pants1800,actually give these two an oscar,278,2023-06-09T20:34:42Z
@Vanillasvanillasvanillas,The way he screamed at the end got me dying on the floor 💀,540,2023-12-11T04:49:19Z
@rcamero84,The air mattress part is hilarious 😂😂😂,2,2025-02-17T15:30:02Z
@Inidan_Spiderman_Spiderverse,That scream had me wheezing💀😂,1068,2022-11-11T04:44:33Z
@Hollow8940,His face was glowing❤<br>He certainly fell in love with spider🎉🎉🎉,192,2023-05-30T08:38:00Z
@shamanthakrishnakg1978,Let&#39;s just appreciate the fact that how people are asking  to appreciate on every single action of Daniel...😁,265,2021-12-19T08:04:12Z
@glory_MEEE,Bro really said: 🦅🦅<br>At the end 💀,5,2025-02-02T19:15:42Z
@gaurriishathakur,The fact that its the best parody of home alone is just amazing,598,2021-12-26T09:59:59Z
@dabolife1,Let&#39;s just appreciate how Daniel has been crucified for our entertainment.,18715,2021-12-07T15:23:34Z
@yennichandra473,This man needs an oscar,268,2023-05-11T07:27:21Z
@sophiaquirion9433,Poor Mac and cheese 😂😂😂😂,1,2025-02-25T12:26:37Z
@LECTUS_Prodz,Oh that mattress blocking the door was just absolutely genius I loved this whole video 🤣🤣🤣❤️,455,2021-12-08T02:42:15Z
@Npc_AndFriends,His scream at the end:<br>DAAAAAAAAAAAAÆÈÈÈÈÈÈÈÈÈÈÈÈÈÈH!<br>ÆHHHHHHHHHHHHHHHHHHHHHH AH! <br>DÆùH!,426,2023-10-25T01:59:38Z
@Blitzxstolas69,That man getting all the pain needs an Oscar and probably a hospital,667,2023-06-15T01:23:27Z
@Azhi55,The end is me 😂😂,2,2025-03-16T14:26:19Z
@pranjalihankare1483,This man can do ANYTHING to entertain us. He&#39;s a legend.<br>Thanks for the likes!!!❤,5172,2021-12-07T15:25:21Z
@amina4-c3c,you deserve a oscar,139,2023-06-14T13:03:18Z
@RgalGae,props to the robber for enduring every piece of pain given,1641,2023-05-09T15:36:31Z
@DANNY-u4c,Theif:I&#39;m gonna get him!<br>Kid:oops I drop some m&amp;ms OOPS,2,2025-02-03T22:48:03Z
@Iamaybehooooyeon,Bro really had to blow out the candles 😂,199,2023-05-03T10:44:02Z
@ruchakulkarni1576,The zoom go Daniel&#39;s face and then the scream. Perfection my dude.,776,2021-12-18T03:17:57Z
@LisaASMR,"This is great, but I can&#39;t help but think: I hope that&#39;s a clean plunger 😅😂",7371,2021-12-18T21:20:24Z
@tonjawhitsell7053,Omg...the plunger to the face 😂😂😂😂😂,0,2025-01-15T23:18:46Z
@scarletthull-mm8vn,bro the robber needs a oscar,209,2023-11-07T17:51:04Z
@lauracw_24,"This is was exquisitely done. I’m beyond astonished, guys!!",370,2021-12-22T08:02:10Z
@Pixelcraftian,"Theif Prevention Speedrun (any%, sub 1 run)<br><br>Love this video, awesome tricks :)",1617,2021-12-07T19:03:21Z
@litsakalpia6162,"You are the flash and boxer of this era, I watch your videos❤",1,2025-03-16T20:20:56Z
@amorporcalopsita,This time the thief got it wrong.  The resident of the house got smart after the last run he had after the thief 😂🤣😂🤣👍,44643,2021-12-22T04:38:53Z
@evakurian9113,the spider and the robbers scream at the end got me laughing so hard 😂😂,158,2023-11-18T00:27:39Z
@IfraMoon,the scream at the end got me 😭,217,2023-11-19T22:52:36Z
@MR.NAV1D,your contents are very fun😂😂❤,0,2025-01-28T13:29:57Z
@nicksgaming4851,"Therapist: home alone speedrun isn’t real, it can’t hurt you<br>Home alone speedrun:",629,2023-11-22T20:31:17Z
