Author,Comment,LikeCount,PublishedAt
@stevensettles819,Even his dismount was a 10 out of 10!!,98126,2024-04-14T17:41:55Z
@adenbarnett,This was by far the most amazing BMX trick I&#39;ve in my 40 years of life,20554,2024-04-20T12:28:08Z
@rahamanhudson1573,I can’t even imagine the amount of pain this man had to endure to become this badass.,5222,2024-05-07T12:39:13Z
@ra2186,I&#39;m old enough to remember when simply jumping was the trick. The evolution is great to watch.,354,2025-02-26T15:58:02Z
@kenclark5257,His art and athletic is insane. Well done. 🎉,13435,2024-04-19T17:57:33Z
@Daddy-sk4ue,The body control is super elite. The skill just to push through that last flip at the end is astonishing. Looks like done this a lot which is even crazier to think of,1620,2024-04-17T01:44:08Z
@Spooked.J,Williams is the physical embodiment of &quot;send it&quot;,36811,2024-04-12T11:39:33Z
@SGL037,"Should get more recognition for this once in a lifetime stunt, beautifully executed",25,2025-02-22T03:32:36Z
@stanleymangumjr,I got chills brah. Best BMX trick ever!!!!!!!!!!,1006,2024-04-15T19:52:40Z
@regiyah,Having grown up in the 80’s watching these guys now just blows my mind!,980,2024-05-08T19:24:15Z
@dobroserdechnyy,Idgaf about this stuff but that was beautiful. His restraint and timing is impeccable,312,2024-10-09T03:59:50Z
@jonathankeen7861,"The tricks they doing now is unreal wow,it’s a amazing to watch the dedication they put into their sport plus injuries they go through to land that perfect trick ❤❤❤❤❤",13,2025-02-24T10:05:24Z
@CardSlingerCAL,This is life people are living for these single moments I’m thankful to be able to enjoy this beautiful display,125,2024-11-27T18:47:14Z
@waynemalford3020,Catching the handles is impressive. <br>Catching the pedals is mind-blowing,3468,2024-04-27T18:47:28Z
@JCDofNYC,"Absolutely flawless.. The amount of practice, control, and fluidity is mind boggling.",2167,2024-04-25T04:44:41Z
@MichaelHaywood-d5k,"So the bike flips, he flips and then he and the flip! Pretty gnarly stuff!!!",3,2025-03-01T15:39:07Z
@DaddyChakka,I don’t know what was more perfect. The trick. The dismount. Or the fist pump!!!! 10/10 all around,3281,2024-05-03T05:09:38Z
