Author,Comment,LikeCount,PublishedAt
@quantum0151,“She just wanted the video to be over” facts 😂.,2333,2025-01-22T05:20:02Z
@abzoakroot722,"Not me screaming, &quot;DOWNTOWN!!!&quot; and, &quot;SPACESHIP! S P A C E S H I P!!!!!&quot; at my phone",141869,2024-11-21T03:01:03Z
@AnitaGikandi,"Yes, she did want the video to be over😂😂",43795,2024-11-16T19:31:03Z
@2ndChanceWilkins,When they got to ‘Sick Eagle’ I screamed BIRD FLU!,464,2025-01-01T15:10:45Z
@emadhussain3095,Bro we bouta get our attention span back with this,64746,2024-11-23T14:06:45Z
@socokspops3984,"best public challenge video. no yapping, some silence, real hard questions",65726,2024-11-24T14:01:40Z
@Stopitleah,This is the longest yt short I&#39;ve ever seen,38749,2024-11-19T08:01:52Z
@CONCORD_FAN,Technically Playing inside is also correct if the white area is &quot;side&quot; And the blue area is &quot;playing&quot; As its placement is &quot;playing&quot; in &quot;side&quot;,52,2025-01-29T09:24:53Z
@benseavey9923,&quot;Sick Eagle&quot;<br>Me : Seagle 😂,7628,2024-11-26T14:22:52Z
@JustGotaBetterBugatti,"This is not a short, <br>This is a medium 💀",9587,2024-11-22T04:13:44Z
@saikatmitra_sm,"&quot;SPACESHIP, ITS SPACESHIP, CMON THATS A SPACE AND A SHIP RIGHT THEREEEEE, S-P-A-C-E-SHIP UGHHHH&quot; me yelling behind my phone screen",4723,2024-11-24T16:19:34Z
@MonkeyAAAAAAAA-x7h,YouTube shorts: ❌<br>YouTube pants:  ✅,4139,2024-11-27T05:15:35Z
@mademoisellejasu4188,"I&#39;m not even a native english speaker and I was screaming to my phone: SPACESHIP!!! SPACESHIP, C&#39;MON! SPACESHIP FOR GOD SAKE!",7642,2024-11-18T18:12:09Z
@EclipseAlaida,"&quot;Youtube shorts&quot; - Not since the Empire fell, mate!<br>&quot;Youtube trousers&quot; - Indeed, cheerio mate.",4468,2024-11-28T15:43:23Z
@nenagil1666,I screamed &quot; SPACE SHIP &quot; so hard i almost died,4,2025-04-10T17:29:17Z
@Wahtri,"This video was really <a href=""https://www.youtube.com/watch?v=fPW-zkcTRgM&amp;t=175"">2:55</a> minutes <br>But it still felt like 1 minute 💀",5133,2024-12-01T17:45:38Z
@Boiled_eggy,I screamed “MINION” so confidently on the 2nd one😭😭,2489,2024-11-27T22:17:58Z
@EmmaHuis-mi4xi,"Not me yelling “It’s SEAGULL”, was humbled real fast 😅",3471,2024-12-04T19:58:39Z
@Sky_STAY143,&quot;she just wanted the video to be over&quot; you could tell she was annoyed by not winning 😂,1,2025-03-09T20:01:11Z
@KerenGarciaBriceno,"As a Spanish girl, I enjoy a lot these videos, they help me to learn coloquial english sentences :)",8169,2024-11-25T20:09:17Z
@Purely_Red_,For the sick eagle one I was screaming <b>SICKLE!</b>,2867,2024-11-24T21:52:15Z
@Taaraa-h9z,Not me yelling that SPACESHIP  in seconds After it showed 😂😂,1341,2024-12-04T08:33:20Z
@DogDayEditsCG,My patience was KILLING me when they didn’t know downtown and spaceship😭🙏.,3,2025-03-15T18:14:06Z
@PentragonYT,this is not youtube shorts.. this is youtube pants! And here we go I started a war in the comments...,2976,2024-11-30T15:07:25Z
@ru.ru.shu_6174,Bro i was literally screaming Spaceship from the first second 😂😂,275,2024-12-01T12:06:18Z
@sophieb777,&quot;She just wanted the video to be over.&quot;<br>&quot;Nohohoooo 😬&quot;,1524,2024-12-25T14:50:12Z
@ZGamingofficial889,Nahhh I yelled DOWNTOWN and GHOSTSHIP 😭,1,2025-04-01T20:10:24Z
@davishuynh5739,Shoutout to youtube for making shorts go up to 3 minutes<br>Helping us regain our attention span with this one<br>Edit: HOLY SHIT 2.7K LIKES IN LESS THAN 2 DAYS???<br>Edit 2: MOM IM FAMOUS,4572,2024-11-26T17:12:44Z
@aasyachatterjee6349,She did want the video to be over. I think she got the last one.,5660,2024-11-17T10:27:02Z
@LaDimplez91,Spaceship!!! 😂😂,3207,2024-11-14T21:19:57Z
@zoeedolly,help on the “illegal” one i was screaming at my phone ‘seagull’😔,38,2025-01-03T00:18:15Z
@Rowena-v9b,i was screams at the phone “ITS DOWNTOWN!!”😂😂😂,2697,2024-12-07T09:20:31Z
@grymns,I thought the &quot;Sick Eagle&quot; would be &quot;Seagull&quot;,952,2024-11-17T16:18:11Z
@Robotopper,The first SHORT NOT SHOW U WERE HALLUCINATING that is longer than 1 minute that ive seen,248,2024-11-28T19:43:29Z
@MafheZ,"I love this videos, it helps me a lot with my vocabulary",7,2025-01-11T23:36:55Z
@Hunter_17825,going &quot;underscoreship&quot; and &quot;dashship&quot; and not &quot;spaceship&quot; is kind of an achievement if you ask me 😂,3466,2024-12-10T23:21:26Z
@Mariam-m12-m12,"&quot;she wanted the video to be over&quot; is SO true,JUSTICE FOR THAT GIRL SHE SAID IT FIRST U CHEATERS!",3257,2024-11-19T18:23:25Z
@weitzhandler,They were actually both incredibly good!,1499,2024-12-08T05:41:48Z
@KreatX-gtm,"Fellas , focus on the quiz too 😜",14,2025-01-02T09:23:49Z
@Bl00dymary-o3l,"She said it first, she was right about the girl wanting the vid to be over lol😂 I love it❤",177,2024-12-09T02:53:45Z
@HANOONA-l1d,NOT ME LITERALLY TWEAKING WHEN THEY DIDNT SAY SPACESHIP,73,2024-12-22T17:10:20Z
@SANATANI_ANKIT.,Short video --❌<br>Longest short video -- ✅,129,2024-11-29T16:05:42Z
@Felicia_Beats,Not me screaming &quot;spaceship&quot; 😭⚰️🤣🤣,0,2025-03-16T23:07:58Z
@she8334,I love the competition👏🏻👏🏻👏🏻 both are smart,380,2024-11-21T12:14:27Z
@boluwatifeemmanuel4737,See me shouting downtown 😂,525,2024-11-16T22:24:42Z
@ChucksCherubs3,&quot;She just wanted the video to be over&quot; PREACH!!,2978,2024-12-16T23:56:28Z
@Player-vg7er,Think they both said sandbox at the same time tbh.,4,2025-02-16T07:03:43Z
@AmanAli-r4p,&quot;She just wanted the video to be over&quot; I love it 😅😂,389,2024-12-06T14:00:20Z
@praisesamuel3086,My neighbours are definitely looking out their windows looking for a UFO 😂😂😂,134,2024-12-11T20:56:58Z
@Crazy4-U-g4h,“She just wanted the video to be over.” EXACTLY WHAT I WAS THINKING!,1205,2024-12-18T23:10:00Z
