Author,Comment,LikeCount,PublishedAt
@ericalynn2905,Him- that look oh $hit are we winning?😂😂😂,43,2024-11-26T03:25:18Z
@peanut8176,I kind of feel so bad for him. He had to wake up like that.😢😢😢😢😢,22,2024-11-24T03:53:59Z
@MasonThompson-tu1og,He looked so clueless😭😭,6,2025-01-04T02:43:31Z
@faith-p8f6b,He was so confused when he wakes up,10,2024-12-16T22:47:47Z
@pascalwitte4421,Nice and funny 😃👍😂😂😂😂😂,7,2024-12-10T21:24:22Z
@prudencemahlangu-v9t,😂😂😂😂what a sham😂😂😂😂,0,2025-01-14T10:10:52Z
@Jakir7031j.r,good job,6,2024-11-19T01:13:22Z
@allisonhaskell5440,That was good ! You got him ! 😂😂😂😂😂,0,2025-01-11T22:51:19Z
@asaprells,"Bro woke up so fast when he heard sound, but dubs matter😂😂😂😤",1,2024-12-31T03:00:02Z
@PhyllisOsborne-b2s,I feel so bad for him,3,2024-11-26T01:46:41Z
@Mônicafelix-z5,Ohh is funny😂,2,2024-11-19T17:10:05Z
@madi.parinding,Yaa mari main game.😅🙏,2,2024-11-27T10:45:11Z
@derricklaster3089,Smh. Kid didn&#39;t know what was going on 😮🤷🏿,0,2025-02-09T03:29:33Z
@bestlife007,Oh… but I don’t see your MOM!!!!🧐,8,2024-11-19T19:08:30Z
@abiodunakintomide4769,😊😊😊😊😂😂😂😂😂,0,2025-01-08T21:19:59Z
@GinaBarratt-z5s,How did he get up that fast,0,2025-01-16T23:50:56Z
@Freaky_pet,I feel bad,0,2025-01-04T23:33:39Z
@Vlac-o1u,Asta yo cuando me asustó,0,2024-12-10T03:14:01Z
@JerroldNaylor,😂😂😂😂😂,1,2024-11-24T03:17:37Z
@PedroMontalvan-d3z,😂😂😂😂😂 pobre,0,2024-12-29T23:50:14Z
@MishelGalindo-xs2te,😂😂😂😊,0,2024-12-26T02:33:56Z
@princezsbarbie4512,🤣🤣🤣🤣🤣🤣🤣,0,2025-02-04T18:45:02Z
@pierrelouis8333,😂😂,0,2025-01-21T18:09:38Z
@faith-p8f6b,Bro headphones fell off,0,2024-12-16T22:47:29Z
@fabienneangol7186,😂😂😂😂😂😂😂,0,2024-12-05T19:08:13Z
@luciavallejo7913,😂😂😂😂😂🎉,0,2024-11-28T09:43:18Z
@maramanso1294,😂😂😂,0,2024-11-22T16:07:49Z
@Vlac-o1u,Jajajaja,0,2024-12-10T03:13:31Z
@LuzmarCastillo,😂,0,2024-11-18T23:01:30Z
@qaf1115,Bro sleeping is hot. What&#39;s his @,0,2024-11-19T12:27:26Z
@jaharihanzy,Oh but I don’t see your mom,0,2024-12-01T17:16:18Z
@KiyaMurphyOgorman,I feel so bad for him,0,2024-12-01T17:03:26Z
@claudiaciocan1469,😂😂😂😂😂😂😂,0,2024-12-29T13:27:17Z
@Divinity-m1f,😂😂😂😂😂😂,0,2024-12-13T17:16:14Z
@francisboy,😂😂😂😂😂😂,0,2024-12-27T02:27:56Z
