Author,Comment,LikeCount,PublishedAt
@NyNy-ly9js,They didn&#39;t run they wanted to fix it.💜💜💜,855,2025-03-06T16:50:46Z
@DandeGaragash,Kids innocence is pure,59118,2024-08-02T06:30:39Z
@AlbertPreira-l1z,The innocence of children shows their pure hearts.,32511,2024-08-16T12:25:14Z
@KingPriest4eva,"The reason God loves children. BEAUTIFUL, PURE AND INNOCENT souls.",858,2025-02-06T12:40:29Z
@themindsidea1127,The kids are now making it more fun😂😂😂,15804,2024-08-01T13:13:38Z
@jasheebdileef5541,What your job?<br>Him : making kids cry,15167,2024-08-25T17:25:53Z
@rohmon7250,These is show to us why the kids also know their responsibility,8004,2024-08-01T15:11:01Z
@신나TV,동상이 넘어질까봐서 안타까워하는 아이들의 순수함이 너무 귀엽고 이뻐요~ 😂❤❤❤,75,2025-02-17T05:36:45Z
@SomeOne-vv1zq,&quot;DADDY👹&quot;<br>so funny🤣,4515,2024-08-23T01:59:16Z
@cameronhall4,The ultimate “don’t touch it” lesson 🤣,1104,2024-09-23T22:37:47Z
@Nirusiaga.,wish this kids would stay innocence and pure hearted up until they grow up ❤,477,2024-11-21T14:42:41Z
@carlospm2632,"Más allá de su inocencia, demuestran su responsabilidad por sus actos!! 👏👏👏",33,2025-03-06T15:40:12Z
@duncanotema,How does he not break character 😂😂😂,1726,2024-08-21T02:48:04Z
@meanthmeesao8667,Kids have the purest heart. Lead them to the right path.,2066,2024-08-10T21:44:29Z
@MissDCebekhulu,kids are wonderful beings and we see God’s love through them 🙏🏽,255,2025-03-02T10:47:11Z
@barnabasmadamombe9841,Woow the innocence of the children I like it 🎉🎉❤❤,37,2025-01-04T02:58:33Z
@TimtheFabre,"that asian girl knew how brutal asian parents discipline, she got flashbacks while crying 😂",1879,2024-08-19T13:09:32Z
@praridfidevi4198,I like the job of making children cry 😂😂,192,2024-10-03T12:39:33Z
@nora6611,That girl at the end will forever think she broke it and was in trouble. Adorable and innocent.,1155,2024-09-14T02:09:20Z
@tombasingha993,2nd Girl:- Hui Hui Aaaaaaaa 😂😂,49,2025-02-12T05:05:13Z
@riverside-man,Дети чистые и честные😊,50,2024-09-30T21:44:57Z
@DavidMathumba-xo9bi,Kids are so pure. ❤❤for the  kingdom of Heaven belong to such as these. Bless their hearts,2864,2024-08-11T09:39:00Z
@suganya_maruthupandi,Pure soul ... They dnt leave and run insted of asking help....  Kids always good hearted 😊,1225,2024-09-03T17:08:03Z
@memee-bg9lx,Both babies have kindness in their heart🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,17,2025-03-06T05:21:09Z
@tintinban,"The 2nd kid emotions are so pure. There is shock, care, fear of being judged, guilt, helplessness.",1940,2024-08-24T18:36:27Z
@ahhthenohh,Good to see those little humans care so much to not let it fall,358,2024-08-01T19:43:50Z
@MaryGraceBaricuatro,The second girl actually got me laughing 😂😂,727,2024-09-06T01:20:25Z
@李淑雲-y8f,演技真的不錯能把小女孩嚇哭😂😂😂😂😂,1,2025-04-08T08:28:48Z
@induzzcoffee,Wait but how is that man sitting so calmly I would have died laughing sitting there 😂,218,2024-09-18T10:20:43Z
@gyromurphy,Imagine being a kid screaming bloody murder and every adult is standing around laughing hysterically,814,2024-08-31T02:31:48Z
@Fiore_07,Man got his personal issues with kids😂😅,407,2024-08-25T16:30:19Z
@silvywolf,The second little girl my aunt came in and she said&quot;oh my gosh girl just shut up&quot;and i was laughing so hard🤣🤣🤣🤣🤣🤣,3,2025-02-16T19:15:30Z
@starmovies5523,This teaches em not to touch EVERYTHING 😂<br>Good job man!,437,2024-09-27T06:37:20Z
@ninda_ak,"the second kid got me laughing out loud 😂❤ she&#39;s so adorable, taking her responsibility while crying 😆 just cute",221,2024-08-18T02:56:33Z
@Flower_28938,"We love to see the kids’ interactions, they’re so innocent 🥺❤️",657,2024-08-21T06:18:41Z
@juliaainun3927,Ngakak puas beut gw...liat anak yg kedua expresi takut nya smpe kaya gitu...😅😂😅,1,2025-03-08T10:39:39Z
@lonewolfe2502,That dog never broke a character.,46,2024-09-02T15:47:03Z
@ammarinajla2642,"I don&#39;t want kids to cry, but I like seeing them responsible! 😊",592,2024-11-03T14:27:28Z
@thienpham5351,"Hai bé dễ thương quá, còn nhỏ nhưng có trách nhiệm ❤❤❤",760,2024-08-01T13:55:54Z
@oulaouen818,سبحان الله، المنطق او الفطرة، عندما علمت ان الامر متعلق بالقوة، استنجدت بابيها، و عندما يشعر الطفل ان الامر يحتاج الى حنان ينادي الام.,2,2024-12-18T16:39:54Z
@HirotoUchino,first kid was so embarrassed 💀,327,2024-09-01T12:17:30Z
@devanmarten8707,I love kids so much ❤❤<br>Please don&#39;t hurt kids anywhere,930,2024-08-01T16:12:45Z
@ChuckinAurora,Kids breaking it are the funniest.😂😂😂,289,2024-08-01T13:16:29Z
@dojsksljawiwoska6683,😂😂😂 She scared 😂,3,2025-02-22T05:02:31Z
@bigphaith8302,I loved the daughter in the beginning her slapping her dad for not coming quicker and just laughing,1384,2024-09-21T18:01:08Z
@Oossiiittyyy,The way she screams for daddy is so lovely 😂❤,126,2024-08-22T07:48:02Z
@معاذابنالجموح,"How beautiful are Arab children, they are children of men",2,2025-05-13T01:58:05Z
@Ishnoor-786,The last one is too funny 😂😂😅,212,2024-08-23T15:59:22Z
@robindavis1379,Only pure minds can feel that.... lovely kids...gems of the world,649,2024-08-17T05:16:55Z
@pokemonuniteningthishenlie3623,<b>Kids</b> <b>innocence</b> <b>is</b> <b>very</b> <b>pure</b>,43,2024-08-31T07:07:42Z
