Author,Comment,LikeCount,PublishedAt
@craigjuniormorrison4008,Red shirt guy is the definition of ‘work smart not hard’<br><br>Damn I have never gotten this many likes on a comment before,71117,2024-03-31T20:28:01Z
@King_PirateYT,Red shirt guy is the main character 💀,26697,2024-04-14T13:52:15Z
@hhhfgjnn_,the beginning: wooow<br>the end : SiUuUuUuUuUuUuUuUuUuUuUuU,2724,2024-04-14T22:33:24Z
@Grippyman-g3d,I low key wanna try this idea,28,2025-02-17T14:24:03Z
@agentdollar8166,The blue T-shirt guy is definitely Ranveer Kapoor,8120,2024-04-07T19:30:54Z
@ECNLGK_,Wife: He’s probably cheating on me 😞 <br><br>What he’s doing:,8611,2024-03-31T04:33:23Z
@mayuksarkarxt4354,Siuuu at the end 😂😂,6377,2024-04-02T06:48:49Z
@charlottesweb9504,Why are the waiters taking so long it’s just water? <br>The waiters :<br>/edit: not trying to be that person but 100 likes? Thanks lol,184,2025-02-11T17:14:59Z
@ahmadsweed-yo5ci,I like that he drinked it instead of throwing it,5154,2024-04-13T01:11:47Z
@PinkGodYT,&quot;Hes probably cheating on me.&quot;<br><br><br>&quot;SSSSUUUUUUIIIIIIIIIII&quot;,1384,2024-04-10T00:01:36Z
@abacaxirusso2023,The red is the protagonist 😂😂😂,2509,2024-04-19T02:26:46Z
@Masterplanfoiler,"“go ahead, mr jostar”",2879,2024-04-04T08:36:48Z
@xnzcq8988,Bro used 102% of the cup,1702,2024-12-28T10:41:48Z
@Jagariko_Oishii,The penalty: Drinking water💀,2315,2024-04-20T21:23:39Z
@Swish_the_first,For those who don&#39;t know how it was over the glass it called surface<br> tension,1124,2024-03-31T19:05:35Z
@Ayesh_Fatimah,Idk why...😂😂bt the guy in blue shirt looks like Ranbir Kapoor 😅😅,2399,2024-03-31T15:23:56Z
@mayankraj3494,Bro proved that his tap water is drinkable.,691,2024-04-09T14:39:42Z
@Ruhi8-k1i,The water looks so damn clean 🌊🌊,4,2025-03-31T16:19:51Z
@dav1dasryan,That siiiuuuu💪🏼🐐,539,2024-03-28T20:50:41Z
@toastisity,"&quot;Go ahead, Mista Jostur",308,2024-04-14T15:16:33Z
@unknown_85272,Surface tension passed the vibe check,600,2024-12-26T15:43:37Z
@amiaashihina,"&quot;your turn, Mr. joestar&quot;",5,2025-01-18T01:36:48Z
@Dumb813,I like the way they drink that water instead of wasting.,1316,2024-04-17T17:43:48Z
@StarFX7,Purple shirt guy was straight up evil,817,2024-04-06T14:27:35Z
@KaminOfficial-j6f,That &quot;suuuuuii 🐐🗿🗿🗿,559,2024-05-14T05:50:46Z
@Akara999,Red shirt guy used 102% of his brain,0,2025-04-20T10:57:59Z
@Dragondantani,She : he must be cheating on me. <br><br>He :,1457,2024-05-01T19:28:07Z
@statussworld8302,We got American Ranbir Kapoor before GTA 6 💀👍🏻,1766,2024-05-25T11:04:00Z
@yuki.35xxxv,"<b>&quot;GO AHEAD, MISTER JOESTAR.&quot;</b>",660,2024-04-21T07:25:36Z
@abxdevilprimium1,They used 110% of their glass 😂,2,2025-04-09T12:52:45Z
@anjalishukla6224,Boys divided by border but united by &quot;SIUUUU&quot;,54,2024-04-14T15:22:53Z
@Nitrojak1,Me when I’m in Egypt trying to fight a vampire and I meet a gambler who wants to play a game:,564,2024-11-29T21:09:55Z
@someonehavinganidentitycrisis,"Certified &#39;Go ahead, Mr Joestar&#39; moment",147,2024-04-19T18:54:47Z
@KZN_Footballhd,I loved that he drank it instead of throwing it❤,1,2025-02-20T04:33:44Z
@ajithaaneesh7731,Siuuu🇵🇹🇵🇹 at the end😂😂,172,2024-05-19T13:50:16Z
@nakshanachu9895,The guy in blue shirt nearly looking like ranbir a bollywood actor 😊,301,2024-03-30T09:41:02Z
@JeromeAbela-uv8bi,That SSSIIIIUUUUU🇵🇹🇵🇹🐐,157,2024-04-03T13:58:31Z
@criy7,BRO THAT RED GUY IS A CHILL GUY😂😂😅😅,0,2025-01-19T16:14:04Z
@Growwin7,That suuuuuuiiiiiiiiii was so smooth 😂,256,2025-01-04T16:02:30Z
@gressysingh9580,Blue t-shirt guy was looking like ranveer kappor😂😂😂,475,2024-05-27T09:00:19Z
@XxJack-WxX_Oficial,Bro really he say &quot;Siuu&quot; 💀💀,400,2024-11-20T07:15:19Z
@hamzaanasdinosaurfight7316,lol he drinked the water from the sink at the end 😂,1,2025-04-06T12:35:53Z
@imakshayharikumar,That siuuuu was smooth af,64,2024-04-25T12:32:23Z
@aanyitlepcha6323,Bro&#39;s edging the water💀💀,219,2024-07-02T15:44:35Z
@theawesomenessofyou,Man he did 100000000000000000000iq move😂😂😂😂😂😂😂😂,103,2024-03-26T15:32:29Z
@TanmayAmrit-u6e,Healthy Punishment😂😂,1,2025-01-29T15:52:24Z
@Mona_lisa-s8f,&quot;Suuuuuuuu&quot;😂😂😂,153,2024-07-05T14:36:15Z
@blrrock,Tapping on the Tap was a clever one,21,2024-05-08T07:51:44Z
@ClashHeroYT,I refuse to believe that the guy in the blue shirt lost,334,2024-03-26T15:54:49Z
@AvaC-j7e,Awesome Arjen and stan,1,2025-03-03T23:44:13Z
