Author,Comment,LikeCount,PublishedAt
@Glassmagical,That&#39;s one hell of an overtake lol,1767,2024-11-26T20:01:34Z
@knowmean,Highway ballet is a new one for me . 👏🏼 👏🏼👏🏼👏🏼👏🏼,263,2024-11-27T05:41:17Z
@FULLAHEAD54,“ if u crash you’ll never be able to play games wit the boys again” ahh clip,568,2024-11-26T20:26:02Z
@julietkariuki1205,Bro pulled that off so smoothly 😭,251,2024-11-27T00:07:26Z
@I_luv_blockblast_1,When i tell my friend to look but not make it obvious so they pull the spin:💀,3773,2024-11-24T18:34:56Z
@Sohamdhingra123,The windshield wiper vibing was crazy,69,2024-11-27T04:13:02Z
@PrehistoricPlaytime,Gta VI looking good,972,2024-11-25T11:53:03Z
@MMJ4028M,Why is it hella smooth😍,65,2024-11-28T16:57:41Z
@Memez_Scavenger,People don’t realize how insanely dangerous that is. He was going around 100 mph,793,2024-11-26T00:48:44Z
@Thekingof7F3,Bro overtook on the cleanest way possible,16,2024-11-27T20:06:10Z
@tkenn84,"🗣️: “if you crash your gay”,.this guy: ok",1131,2024-11-24T19:50:06Z
@lilydesouky6905,The car did such a good 360 that even the cars behind it opened their eyes wide 😂,2,2024-12-01T19:07:43Z
@Royal_PenguinSquad,“That was completely intentional” ahh moment 💀,482,2024-11-25T02:22:37Z
@Hello_Kitty-b1y,Bro spined so smooth😶,2,2024-12-02T13:28:16Z
@CalixTheDog686,I didn’t know you were chill like that,61,2024-11-25T20:41:12Z
@Grug_Fan,CLEAN AAHH THING GOT MAD MIKE LOOKING 🔥🔥🔥🔥🔥<br>👇😭😭😭,1,2024-12-01T20:55:50Z
@DashNetFN,“Ya ladies alr?”😭,22,2024-11-26T01:48:38Z
@HXSXNXINPLXYZ,Me in crew2 for no reason 😂😂,2,2024-11-29T17:20:16Z
@WormVR26,bro really said “KACHOW”💀,223,2024-11-26T15:32:38Z
@B4C0N_N0TF0UND,Bro got humiliated in the worst and best way possible.,1,2024-12-02T11:59:19Z
@IsaKhan-zd6hv,"“From the beer, to the keys, to the car, to the tree” 🗣️🔥",291,2024-11-25T23:51:08Z
@charizard1415,Bro Really Said &quot;Ima Do My Own Thing&quot; 💀,2,2024-11-29T10:22:29Z
@Ripse455,WE HYDROPLANING WITH THIS ONE 🔥🗣️,32,2024-11-25T17:02:37Z
@Content_deleted36,dude was like: I&#39;M LATE TO WORK!,2,2024-11-30T00:09:09Z
@pov.cardriving,Bro rizzed up the whole highway 🔥🗿,198,2024-11-26T03:19:45Z
@laylay_candylover7442,.......Ron did NOT DIE for this........fire edit tho👍,1,2024-11-29T18:49:47Z
@Mr.BobEvrT,&quot;ahh sh**... yo wsg girls😏&quot; ahh 360,185,2024-11-25T13:02:15Z
@itzclearzy,The window wipers kinda match with the beat 💀,4,2024-11-29T11:16:13Z
@A-10_Tankee,That was smooth as hell🔥🔥,8,2024-11-26T03:14:26Z
@wildflowerlife1,blud rizzed cars up,3,2024-11-29T20:54:03Z
@R3D-GAMES,Bro pulled a “Brian O’Connor driving school”😂😂,10,2024-11-26T10:11:28Z
@Ishmaelyeahyeahboy,Drift Master irl😭💀,1,2024-11-27T16:36:15Z
@J0rd4nn17,Pov: lightning mcqueen in a race,10,2024-11-26T05:17:11Z
@0ZYEwho,Bro won the rizz with a car contest 💀,1,2024-11-28T05:59:06Z
@Lboylanden0,I saw this for a ad for news break💀,92,2024-11-25T13:34:10Z
@Pancakes101-therianchannel,the car gotta have a second glance,1,2024-11-30T21:11:51Z
@BoskitoYTplush,When you drift too much in Mario kart 8 on Wii U,18,2024-11-25T15:20:16Z
@Lise.vandehoef,wish my friend was here rn😔🙏⭐️🚕,1,2024-11-29T17:44:49Z
@TheHephaestus05,When the pro drifter meets rain 🌧🔥💥,5,2024-11-25T23:40:01Z
@TTCfan-x7y,Nobody’s talking about the windshield wipers on beat?💀💀💀,1,2024-12-03T15:38:04Z
@MerryJungleWaterfall-oq5xs,I can smell bros aura from the screen🥶💀,33,2024-11-25T14:05:03Z
@Addyventsss,&quot;I was meant to do that.&quot; Ahh video😭✋️,1,2024-11-30T18:58:23Z
@kyanheming,What must the person in the Grey car think😂😂😂,18,2024-11-25T20:01:17Z
@BonnerHataway,Bro turned on drift mode 😂😂😂😂,1,2024-11-27T14:54:38Z
@edstuck,“All part of my plan”- Azien ahhh,5,2024-11-26T00:04:59Z
@FullForce-n8g,🗣&quot; If you crash your gay&quot; This Guy:,1,2024-11-29T15:36:44Z
@clipziswashed1,oh nah when your husband is a drift king but it’s raining and he is not drifting today but he say ohh yes we a drifting then pulls this 😭😭,16,2024-11-25T12:19:12Z
@miyo_orii,yeah guys being a reckless driver and putting the lives of many others around you at risk is so sigma,1,2024-12-01T14:50:27Z
@theF4PhantomII,WE GETTING ARRESTED WITH THIS ONE🗣️🗣️🗣️🔥🔥🔥,4,2024-11-25T13:25:16Z
@Yori_XY,Bro just rizzed up alot of girls,1,2024-11-28T02:44:41Z
