Author,Comment,LikeCount,PublishedAt
@ZachKing,Doodlebob approves this video ✏️,22853,2024-03-15T11:43:48Z
@MrThai90,"Oh !!  The bear is so cute, the bear is a great actor 👍👍",50312,2024-03-15T12:01:17Z
@sisterstaceyhelpsthehomeless,WHO ELSE IS HOLLERING AND WATCHED MULTIPLE TIMES? 😹😹😹😹😹🤣🤣🤣🤣🤣,3630,2024-04-16T14:26:44Z
@edshalom1200,&quot;He&#39;s friendly&quot; 😂,10628,2024-04-13T08:08:51Z
@Kerknantahcapital,Omg the polar bear is sooo cute!!!❤,25,2024-12-02T06:13:52Z
@Casimenori,For a second I thought the lady stole money 😅,160,2024-04-16T00:57:01Z
@Expedition_America,"Fun fact, a polar bear is the only mammal that will actively hunt a human in the wild. To hunt Polar bears people would drag a cage out into the middle of the ice... and get in to wait.",11414,2024-04-05T14:42:01Z
@UjalaIzosimov,OMG!  That bear is totally chill.  So many onlookers!  Love it!,30,2024-12-11T01:13:43Z
@biji_kembar,Everyone are the best actors... 👍😎❤💕,103,2024-04-15T05:24:21Z
@Larisa-t3j,"❤😂 ПРИ СЛОВЕ &quot;СЫР&quot; ОЖИВЕТ НЕ ТОЛЬКО МИШКА! НАРИСОВАЛ ПРАВДОПОДОБНО❤😂 молодец! Все, сегодня мы насобирали тебе на сыр, пойдем домой!!!❤😂",141,2024-04-14T15:43:47Z
@shakenaellis5381,I like how the people in the background ran away 😅,4156,2024-03-20T18:51:34Z
@Lea-w9h,Love him and the bear he was so cute ❤❤,18,2024-11-13T10:06:15Z
@joshpierce7449,Whoever edited this is a master at their craft,603,2024-04-03T21:51:21Z
@ЕленаКосицкая-т8д,Это шикарно!!!! Талантише!!!😂😂😂❤❤❤,325,2024-04-11T10:24:00Z
@immortalsun,"Wow, that’s some insane editing",142,2024-03-15T20:09:12Z
@AndreasReiske,"Old joke --- but this was the best performance ever ~ thank You, my gorgeous Lady ....",37,2024-11-23T18:15:40Z
@johndonaldson3108,"He has an Amazing,  Flawless Talent! Congratulations!",286,2024-06-19T18:13:47Z
@VanessaGuy-k1u,This is hands down the best thing I&#39;ve seen today.,804,2024-04-11T08:32:22Z
@enidflaisher3239,"Excellent editing skills. The more I watch, the more I laugh.",723,2024-04-02T21:52:51Z
@kathymoore5790,Gorgeous bear. Owner. Handsome❤❤❤❤❤❤❤,14,2024-11-08T18:36:15Z
@md.farukuzzaman3911,"After years of using social media, i watched it multiple times.....an exquisite production.",937,2024-06-14T13:11:49Z
@marlenet5115,That was the most perfect editing job I&#39;ve ever seen. And the artistry too! Hollywood is calling you bro! 😮😮😮❤❤❤,544,2024-03-28T19:35:25Z
@HeraclesN-fp1bw,The man is friends with a polar bear how powerful is this wizard,2001,2024-03-15T13:36:19Z
@coreybyrnes1332,The polar bear is so cute❤❤❤❤❤😊😊😊😊😊,0,2025-02-16T12:13:57Z
