Author,Comment,LikeCount,PublishedAt
@adrib420,"literally they are all taking their sweet time taking baby steps down the stairs, i’d be flying down the stairs.",69409,2023-09-23T16:49:36Z
@arunshs10,Bro stayed there as a common obstacle for everyone 😂😂,31194,2023-09-12T01:40:46Z
@Madly_Unorthodox,Anna understood the assignment.  She be takin them steps 2 at a time 😂,5479,2023-09-09T21:35:21Z
@Yuvi-i1r,The boy sitting on stairs is the real boss here😂,399,2025-01-15T04:56:34Z
@JK10KKZ,the bro on the stairs thinks he&#39;s the main character 🤣,10006,2023-11-25T00:43:41Z
@MysticoWarrior2670,"&quot;Just Jump, it&#39;s not that far&quot; : Admiral General Aladeen",7170,2023-09-06T19:51:49Z
@Portia0718,Everybody was taking their precious time especially Michael,13197,2023-09-09T18:25:56Z
@SangZhi-z3k,Everyone: watching peacefully <br>Le me: LAURA 🌚💀,60,2024-12-24T14:21:44Z
@naamnahibatanameine7584,the guy on the stairs is literally me in every family gathering💀😭,11010,2023-09-19T21:34:00Z
@izayatijifan33,taking their sweet time down those stairs 💀,8120,2023-09-13T04:24:32Z
@JavraK.Z.L,I&#39;ve never seen someone take so long to go down a staircase 😂,10767,2023-09-10T13:14:48Z
@HudsonBryant-bh2fl,Sprinting❌<br>Casually walking down the stairs✅,0,2025-01-21T22:11:26Z
@Albusdumbledore840,Bro I would have ignored the stairs and jumped the balcony 😂,6153,2023-10-27T08:41:40Z
@arjinkadga7675,This video really tested my patience,923,2023-09-05T12:08:55Z
@artypawsstudio8129,Can we all collectively hug the stair guy? I think he needs it.,9307,2023-09-11T05:34:46Z
@saidahaji3470,Celine😂😂😂😂😂😂😂😂😂😂❤❤<br>Dens.,1,2025-04-17T08:22:33Z
@kylezaragoza0,bro the guy in the white was waiting for his chance bro like the main character 💀,2786,2023-09-10T03:01:38Z
@adventuresofclaireandrailo8118,honestly surprised nobody jumped down<br>Edit: i am famous?? this is the most likes/replies i ever got,155886,2023-09-04T12:03:51Z
@sofiasmll,They go down the stairs so precisely... I would jump half the steps hahaha,3320,2023-09-07T22:49:50Z
@glosza,Bros just in the stairs for decoration 😂,0,2025-03-06T21:22:38Z
@Squishy-ll2ul,This is the most infuriating thing ive seen today 😊,8350,2023-09-17T19:34:31Z
@vabgat1,Stair guy was the needed obstacle 🗿,3305,2023-09-12T11:14:38Z
@mrigankasekharsaha4426,She has thrown balloon upward to compensate time delay and also has unique style of skipping multiple stairs. I appreciate her intelligence 👏🏽,4148,2023-09-13T09:34:48Z
@NOORAhmed-q2d,Laura was epic 😂❤,0,2025-04-11T17:14:44Z
@goncalomateus6822,&quot;Sprint challenge&quot;<br>They all proceed to walk in baby steps,1722,2023-12-04T22:54:54Z
@Brandon-wz9yz,the guy on the stairs got his priorities set,1691,2023-09-09T23:58:12Z
@xosomalia,"I would be running, jumping, and flipping down those damn stairs!! This whole video made me mad😂😂",219,2023-09-11T12:16:27Z
@mdaltamashraza,I swear Id jump all the stairs.😂,0,2025-03-05T10:01:06Z
@rajveerbhatia,The guy sitting on the stairs is the real bottleneck 😂,2235,2023-09-14T06:49:17Z
@MIKE-el2xv,my bro sitting there like a side character that doesn&#39;t want to show their full potential.,4167,2023-09-15T00:05:16Z
@lucheeyluls6507,Michael didn’t even bother 😂😂😂…. He’s like y’all can’t stress me<br><br>Not today😂,968,2023-09-15T02:39:04Z
@MarySanders-u7k,Not me waiting for someone to super jump off the stairs 💀,0,2025-02-13T20:20:05Z
@psyfozim,Michiel&#39;s knees said hell naaaw! 😂😂😂,1789,2023-09-15T19:02:22Z
@Beeline_248,Everyone else: 🏃‍♂️🏃‍♂️🏃‍♂️<br>Michiel:🚶‍♀️<br><br><br>Jeez I’ve never gotten this many likes damn ❤️,9701,2023-09-14T08:59:39Z
@LowtierCivillan,Is the guy on the stairs ok? Bro seems depressed in every shot 💀,14086,2023-09-06T03:02:15Z
@crinaahmedofficial7410,"The guy behind you is stressless, he is legend 😂🎉",0,2025-01-17T11:40:26Z
@bigtime-baxster5798,I for sure thought the dude sitting on the stairs was being saved for last to win the challenge.😭,1853,2023-09-11T17:44:20Z
@Noluvnohate-hc4dq,Anna is the only person who knows how to run💀,861,2023-09-08T19:19:49Z
@keonna_png08,i would’ve just jumped down tbh,2428,2023-09-24T01:07:49Z
@minopap,"Their taking their sweet ass time by the stairs, If it was me I’d dive head first down the stairs😂😂",2,2025-02-06T11:42:46Z
@king_soulflower6596,the guy on the steps is having a life crisis infront of em 😭,628,2023-09-09T19:35:19Z
@xXxWeezyFirexXx,Anna walked like a crab down the stairs and still beat everyone 😂😂😂😂,600,2023-09-13T05:34:47Z
@sourpatchteens2494,bro i would be skipping steps the whole way down😭,1734,2023-09-14T03:25:17Z
@PayalThakur-r3r,I was waiting to jump from the top after someone threw a balloon 😂😂,0,2025-01-23T12:01:50Z
@ArmanXD_,The guy on the stair deserves an oscar,727,2023-09-10T16:00:14Z
@anmolmankotia7thd681,Michiel be like - be calm and do nothing just relaxed ❤😂😂😂😂,4416,2023-09-03T10:31:55Z
@LmaoGreg,I can feel the pain in bram’s legs after that 💀😭,761,2023-09-09T16:54:50Z
@Ultra-instinct-goku-ui,First time ever michiel hasn&#39;t done the task ☠️☠️,1,2025-01-28T06:42:12Z
@RenaissanceEarCandy,Michiel just calmly walked down the stairs.,3778,2023-09-28T20:18:28Z
@yaohuizhang-d6x,the guy sit on the stairs remain uninterested and bewildered while other people were so exciting actually has me dead,1172,2023-11-24T17:47:41Z
