Author,Comment,LikeCount,PublishedAt
@Planespotter31724,<b>physics has left the chat</b>,165,2023-08-14T10:08:21Z
@varsotak9979,Very attractive and amazing creation 😊👌👍👍👍🎉🔥,4,2024-11-26T15:57:43Z
@jilani8128,❤️🥀 LA ILAHA ILLALLAH MUHAMMADUR RASULULLLAH❤️🥀😊☺️😊 (There is no god but ALLAH. Hazat Muhammad sAw:message of Allah) ❤️,36,2023-11-09T06:48:44Z
@reviewmantv00,love it video❤,1,2024-08-20T02:32:02Z
@heitorzinsxw,When you decide to make the floor green:,87,2023-01-25T17:23:25Z
@zhai-wx2bq,Brain: It&#39;s garbage. ☝🤓:Delicious.,0,2024-07-23T11:00:57Z
@gyanmatisingh7283,I thought it was real,10,2023-02-20T09:05:35Z
@glennbeckwith5723,I like the green screen effects they are awesome,0,2024-11-23T21:51:55Z
@hemadevi9657,Sorry PHYSICS but u were wrong ☠️,26,2023-03-02T12:35:24Z
@Magic43047,Amazing 😍,0,2024-05-18T13:37:25Z
@peterj9126,Bruh the pillows would of fall😂,22,2023-03-14T17:55:08Z
@Alekzofficialchannel,<b>Gravity has left the video</b>,2,2023-12-31T10:50:23Z
@ritishasingh2014,M e :  If you put the pillow how the can&#39;t the pillow fall😅 🤔<br><br>Others: wow cool how you do that 🤩😲,11,2023-02-03T12:52:46Z
@Abhishek__jatav196,Hello 👋👋 bhai ye video kaise banate ho yeh link mujhe bhi bata do please 😊😊 bhai reply jarur dena😊😊,1,2024-08-27T06:50:11Z
@vincistv1287,𝙃𝙤𝙪𝙨𝙚𝙨 𝙞𝙣 𝙊𝙝𝙞𝙤 𝙗𝙚 𝙡𝙞𝙠𝙚💀💀💀,7,2023-01-29T03:49:45Z
@vindevile-1,This is science 😂😂😂,0,2024-11-26T17:20:20Z
@jamesbird8985,This is not a good idea for the family 😕 😐 but if you want to see the theme,3,2023-03-04T21:37:09Z
@MichelleMumBum,How fo wr make dreams fake memories fake sorry when we fonydo anything wrong 😂😂😂😂never fid really 😂😂😂,1,2024-10-11T14:00:59Z
@letsgododgers26,Another average day in Ohio <br>💀,38,2023-01-02T07:59:06Z
@НазихаДаянова,Ааааааааа😰😨❤️😚☺️👇,0,2023-02-11T16:06:15Z
@zennitH3230,Indian should hire this guy,0,2024-10-25T14:19:20Z
@SantoshSingh-ko4kk,Common sense left this mans life 😂,31,2023-03-21T06:36:58Z
@ArchanaDevi12497,Nice ❤❤❤❤🎉🎉🎉🎉🎉,0,2024-11-01T09:08:30Z
@дракула-з4ч,"Безумцы., такие картинки, делать,? это ты себе в будущем пророчешь  что с табой будет, ! <br>На делайте это.! и Думайте, вы же вселенной даёте задание! Это очень плохо!",2,2023-03-24T17:09:19Z
@Tenmer768,Bro just called us and physics dumb,1,2024-11-20T12:38:52Z
@iamindian652,that&#39;s why education is important,52,2023-02-03T16:25:30Z
@GamingEmpireYT3Official,OMG now pillows can handle a water cyclone <b>use physics bro</b>,0,2024-10-26T09:51:44Z
@Langstondoesstuffidk,Law of physics has left the chat,29,2023-02-05T23:01:58Z
@DewangsinghGautam,1 minut karva dungi jaldi se pahle mujhe chhoti si kar usko chala kar do❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2024-10-08T10:52:15Z
@Blink_fan100,I love the green screen,13,2023-01-05T02:55:20Z
@bhawanathelittleartist.9363,Filter😂,1,2025-03-16T04:52:36Z
@epic-ff31,Op video <br>Big fannnnnn<br>Palij stay saphe from sunami 😢😢😢,3,2023-04-22T00:47:47Z
@Banany_The_Cat,Pillow:&quot;HEY MAN GET ME OUT OF THE WHIRLPOOL AND I NEVER GAVE YOU PERMISSION TO STEM ON MY FACE!&quot;,0,2024-06-12T12:40:12Z
@Ayules330,When you have a good night and sweet potato 🍟,4,2023-01-26T03:39:42Z
@PawsAndGiggles-o3h,Amazing😂😂😂,0,2024-09-13T11:23:03Z
@НинаДмитриевна-ь6ц,"Ну да,если настоящий водоворот,то спасут его подушки.",4,2023-03-19T09:57:34Z
@rorster2.182,As a VFX student this is painful 😣,0,2024-07-03T13:36:23Z
@rupalumang1,the way he stepped right over the whirlpool using pillows without getting sucked in,10,2023-01-15T00:09:23Z
@ArPiT_RaO0117,It&#39;s a green screen magic ✨,0,2024-05-21T07:02:47Z
@sabughimire1143,Omg so much real 🤯🤯,3,2023-01-15T07:20:29Z
@channelsold3236,"this new trend is out of control <a href=""http://www.youtube.com/results?search_query=%23vfx"">#vfx</a><br>😅😅😅😅😅",1,2024-05-06T20:37:11Z
@tatianamayurko9940,Можно умереть с страха😮,10,2023-03-16T12:42:12Z
@gaurovroy4495,"😮जय सियाराम,<br>अपनी कल्पना को साकार और सपनों को पूरा करने के लिए हिम्मत के साथ आगे बढ़ें।<br>🙏राधे राधे🙏",1,2023-04-10T08:36:12Z
@_ayushmehta,Yesterday I cooked food on sun 🌞,4,2023-02-04T13:20:02Z
@passiontec1447,Wow very amazing 😊👍.,0,2024-10-05T11:51:05Z
@rajtarungaming4228,Nice grapics😂😂😂😂😂😂,4,2023-03-19T12:28:45Z
@Raghuveerkushwahvlog,Good😮😮,0,2024-09-23T04:52:37Z
@foulafinee1008,I want that pillow,16,2023-01-03T08:35:58Z
@abdelmjidouatik-ik7eb,If you can go on it how could the pillows do😮,0,2023-03-24T00:04:24Z
@ok-nw1sc,The maker passed out from some cheap animation centre 😂😂😂😂😂😂,7,2023-02-02T16:18:42Z
