Author,Comment,LikeCount,PublishedAt
@IamMoBo,There&#39;s more to history than meets the eye,119200,2023-02-05T19:59:41Z
@Foxtrot_vr,I love the fact this guy takes everything out of context😂,3088,2024-04-16T10:57:17Z
@apolloknight9521,The puns… the clock puns.,246357,2023-02-05T20:07:47Z
@nniikkiittaa1207,I appreciate how mobo actually buys the costumes for all the characters,63589,2023-02-05T21:13:45Z
@bassileonardo,&quot;like a waist of time&quot; i fell for it<br><br><br>Edit: WOAH THE LIKES THO,2253,2025-02-26T14:37:04Z
@cassaudios4u,“like a little waist of time” made me giggle more than needed,42431,2023-02-13T11:26:19Z
@travelerofabyssrium14,“That was right for all the wrong reason”<br><br>One of my favorite lines right there.,2983,2023-02-10T05:30:07Z
@robertdaniels-lane7321,“That was right for all the wrong reasons” <br>Such a very accurate statement for most situations in everyday life 🤣,34901,2023-02-14T22:54:45Z
@TheKingDorito-h7z,The way he stopped at “big black cl-“,429,2025-04-03T19:03:07Z
@Toocant,The Pharaoh secretly being Galileo is the biggest plot twist of the century,8604,2023-02-09T22:56:07Z
@stormvortex274,The <b>Waist of time</b> was pure gold!,30512,2023-02-05T20:13:53Z
@elliesteele2107,"&quot;You&#39;re sleeping, you don&#39;t need to tell the time.&quot;<br><br>Man is speaking more facts than an encyclopedia right now.",57056,2023-02-15T02:05:42Z
@amosaah,“A waist of time” has to be the best joke I’ve heard in 20/5😂,127,2025-02-26T05:37:31Z
@JrTp3rm,“ like a little waste of time” was a very good pun,5948,2023-11-02T22:14:26Z
@sugargod7191,Thanks to the cameraman who was present there and recorded these historical events for future generations.,23342,2023-02-05T21:06:56Z
@nikkipitt5076,“You don’t need to tell time at night your sleeping” is so true,3275,2023-10-20T00:23:03Z
@KindaSortaLokiVarient,I thought I could make it through one of his videos but &quot;waist of time&quot; got me 😂😂😂,43,2025-01-17T22:40:04Z
@Miko57231,The “waste of time” line got me so good,6023,2023-04-25T00:32:44Z
@maybeoptify,Give this man an oscar,11902,2023-02-13T06:47:11Z
@celesterodriguez9135,“Get off of your phone!!”<br>“Mom I’m learning”<br>💀,2995,2023-02-11T00:55:23Z
@joachimsaikat,"&quot;No, that was right for all the wrong reasons&quot; 💀💀",11852,2023-10-03T14:39:36Z
@alphonse0001,“U can put on your waist like a little waste of time” got me ded on the floor man 💀💀💀😂,4223,2023-06-03T17:20:33Z
@aadammohiuddin6844,I feel like he made this because we wanted to buy a pharoah hat and wanted to justify the purchase,2469,2023-02-08T01:58:35Z
@LittleBigMak23,&quot;That&#39;s right for all the wrong reasons.&quot; 😂😂😂,4657,2023-11-20T07:02:07Z
@Sayu_69,&quot;yeah you can tie it around your waist like a little waste of time&quot; had me on the floor crying 😂😂😂🤣🤣🤣🤣,1842,2023-09-27T16:01:11Z
@KingCuddlez,The amount of bars this man puts into a short is insane,1,2025-04-14T23:17:30Z
@MillieAndMason._.Official,“ is this portable?”<br>“Yes you can tie it around your waist like a little “waist” of time”<br>Lmao💀💀💀💀,2701,2023-02-19T12:57:30Z
@Skymd6425,“The big black caw- uh “ is crazy 🤣😆😂,6338,2024-11-09T03:42:59Z
@mrblackm668,wait till you realise that he almost named a clock after a male human body part,8108,2023-02-05T20:02:35Z
@SIU_HEVIAN,&quot;And I present to a little black cl- uhm&quot; got me rolling on the floor😂😂😂😂,2,2025-03-30T20:19:44Z
@loyancore,&quot;I present to you a little white clawk&quot;<br>&quot;And I present to you a big black cl-&quot; 💀💀,10747,2023-02-18T03:12:10Z
@justristan,"“and i present to you , a big black c-“ 💀",7223,2023-03-01T12:19:17Z
@ThatOn3simp,"You all are saying that this man needs an Oscar, NO I dont think so. He does not need an Oscar, Oscar needs him.",4047,2023-02-13T15:38:25Z
@Beast_Friends,BRO said &quot;The big black cl uh uhhhuh&quot;😂,1,2025-04-15T14:59:42Z
@crusto6924,the fact that he actually researches these things and make sure they&#39;re correct is.. I have high respect for you 👀,2588,2023-02-11T13:32:29Z
@mdkudus2328,&quot;A little waste of time.&quot;<br>That&#39;s what she said.,1702,2023-02-09T15:32:57Z
@Hollow.insanity,Bro knew what he was saying with “Then I present you a big black cl-…ummmm”💀💀💀,7785,2023-10-17T18:30:11Z
@AriesDZ,"<b><i>Continuation:</i></b><br><br><i>Pharaoh grabs the clawK</i><br><b>Pharaoh:</b> “I&#39;ll take that!!!”<br><b>Mobohmad:</b> “Hey, what are you doing?”<br><b>Pharaoh:</b> “I&#39;m not really the Pharaoh!”<br><i>Pharaoh takes off mask</i><br><b>Pharaoh:</b> I am Galileo, the father of science!”<br><b>Mobohmad:</b> What do you want with my clawK?”<br><b>Galileo:</b> “I&#39;m bringing it to the year 1637 so I can get all the credit for inventing the pendulum clawK!” 😈<br><i>Galileo runs to his time machine</i><br><i>Mobohmad chases him</i><br><b>Mobohmad:</b> “Get back here!” 😡<br><b>Galileo:</b> “No way!”<br><i>Galileo enters the machine and disappears</i><br><b>Galileo:</b> “So long, suckas!” 💥<br><i>Awkward silence</i><br><b>Sumoses:</b> “Well, on the bright side, we still have <i>my</i> concept.”<br><b>Mobohmad:</b> (sighs) “Yeah, you’re right.”<br><b>Sumoses:</b> “What should I name it?”<br><b>Mobohmad:</b> “Good question.”<br><i>The wind blows some sand in Mobohmad&#39;s eye</i><br><b>Mobohmad:</b> (angrily) “Augh!  The sand! I&#39;ll - !” 😡<br><b>Sumoses:</b> “The sundial.  I like it!” 👍",11,2025-02-07T23:52:18Z
@kwokchileung1823,Credits to the camera man for going back in time to record all of this<br><br>How did I get 4k likes in less than a day...,7153,2023-02-12T17:25:37Z
@AntacidAV,&quot;a big blac-&quot;💀,15519,2023-12-05T22:11:13Z
@LoveLee_Dreamer,I will never be able to explain why &quot;No. That was right for all the wrong reasons.&quot; Is the funniest thing I&#39;ve ever heard.,3042,2023-02-18T00:10:24Z
@YuranYuran-zg2jf,When he say &quot;big black c-&quot; i was DYING,1,2025-04-03T20:06:42Z
@WinterFurryuwu,Bro literally taught us a history lesson,2219,2023-03-18T03:21:48Z
@Yokoh,"&quot;Time goes in a line, just like the shape of the earth&quot;. I died after that line.",906,2023-02-17T16:27:39Z
@ingenuityamongbeings,"&quot;the big black cl--&quot; , got me XD",1361,2023-03-17T10:04:37Z
@amri-brogaming49,&quot;😂Little waist of time😂&quot;<br>☠️☠️☠️☠️☠️💀💀💀💀💀,2,2025-01-08T10:31:27Z
@sham_0252,&quot;Does that means the time goes in a loop?&quot;<br>Nah but this video does while I&#39;m exploring this jungle of comments,1535,2023-02-05T20:22:41Z
@Glitterglitter321,"&quot; you can tie it around your Waist,  like a little Waist of time&quot; lol love it.",1163,2023-05-16T02:31:23Z
@shermaniactv,Shoutout to the cameraman for his time traveling skills.,1781,2023-02-21T01:26:47Z
@Elizabeth-c2o8s,I love this guy he&#39;s hilarious I crack up every single time😂🎉,3,2025-01-20T03:39:01Z
