Author,Comment,LikeCount,PublishedAt
@jiakhan86,Natural colors look natural 👍,28446,2024-11-09T01:31:18Z
@TheCybroid,$0 one looks like an older movie.,42756,2024-11-14T18:06:01Z
@Aakash-u8m,Talent at its peak 📈📈📈🔥🔥🔥,31143,2024-11-12T07:31:38Z
@brody-pl3ke,The left one it is soooo good 👍😊😊😊😊🎉🎉🎉🎉❤❤❤❤😮😮😮😮,5,2025-02-08T20:06:10Z
@Imstayingforstay,"It&#39;s not about the pencils, it&#39;s about your drawing skills. 💥",4407,2024-11-15T20:36:02Z
@Yelim15,Finally a video with both parts! Thank you 😅,2977,2024-11-14T01:22:58Z
@kavitasingh-zc1os,You can never tell that the $0 pencil art was made without pencil but natural colours......!!<br>Pure talent❤,1486,2024-11-13T07:56:04Z
@katiepyznarski2516,Talent at its peak!🔥🔥🔥❤️‍🔥❤️‍🔥❤️‍🔥,31,2025-01-01T20:28:41Z
@FimbulWinter-ed1ff,"The $0 looks natural, classic, and gives an old movie vibe while pencils look very fun and vibrant. I enjoy both nice job",971,2024-11-30T03:22:26Z
@savanahtalavera6366,they both look good,274,2024-11-15T03:39:40Z
@ajayabishekboopathi1464,It&#39;s all about your hard work 👏👏👏not about pencil. Who agreed with this,1321,2024-11-08T02:39:28Z
@ChoazUp,Magnificent Artist...❤ ..😂 God Blessed you,109,2024-12-25T22:09:25Z
@blackcube6722,"Everybody is talking about his talent(which i respect) BUT NOBODY IS TALKING ABOUT HOW BROTHER DREW SUCH A EXQUISITE, PERFECTLY STRAIGHT LINE??",1032,2024-11-25T18:26:26Z
@pumpkii,"Literally the definition of &quot;not about the tools, but about the artist&quot;",3214,2024-11-12T12:48:38Z
@Ourple_GuyYT,That’s so talented good job!,260,2024-11-17T14:58:54Z
@FredbearsDiner-j3d,That is so cool,2,2025-01-03T22:08:41Z
@Balbonto,This is another level of art,433,2024-11-11T19:36:36Z
@karatefox,Having talent: priceless.,164,2024-11-24T03:01:54Z
@izzy-e2j,"FINALLY A VIDEO WITH BOTH HALVES!!! honestly, if you have that kind of talent and time, than both look good. it could save a lot of money and earn bragging rights",286,2024-11-14T02:40:48Z
@Sportsworld1111,$0 your one of my top 5 favorite artists 🔥🔥🔥🔥🔥🔥,3,2024-12-23T05:09:22Z
@jazminesandoval2309,I don&#39;t care about the quality I&#39;m more impressed by how many things you got together to make the first half,525,2024-11-18T04:03:26Z
@AdminX5867,HOW ARE YOU SO GOOD AT ART???,53,2024-11-17T00:11:48Z
@banditamukherjee4271,"Bro, the talent is INSANE!!!!<br>🔥🔥🔥🔥",343,2024-12-06T16:58:05Z
@Your_problem111,amazing vs amazing,8,2024-12-24T21:14:08Z
@KeneilweMmola,His talent makes the $0 pencils more realistic and beautiful,289,2024-11-17T17:38:12Z
@marshalminghao7807,Now this is what you call a REAL ARTIST cause even without any art materials he still can make his art realistic and BEAUTIFUL 😍,130,2024-11-30T04:29:37Z
@korro5870,Bro watched this vid for like 7to8 times coz it is so satisfying to watch,22,2024-12-16T04:50:00Z
@Arul_Gbt,This guy is really good at drawing😄,0,2025-04-07T03:45:23Z
@뾰로롱-m7f,이건 진심 타고난 재능이라고 밖에..<br>그림을 어쩜 이렇게 잘 그리시나요?<br>당신은 신의 영역입니다ㅜㅜ<br>진짜 최고최고 👍👍👍👍👍,136,2024-11-16T02:17:52Z
@jessieli6656,The $0 Pencils are really creative.Nice job🎉,176,2024-11-11T17:15:00Z
@Itzz_me_Mlla,When you have Talent you don‘t Need expensive  Pencils or brushes🌅💗,103,2024-11-19T12:47:54Z
@temuulenbadraa2805,Your so talented I love your work,1,2024-12-25T07:31:28Z
@bellejenkins9724,Your so creative! I love your style!!,184,2024-11-16T20:41:25Z
@mmubarak6789,I love the Natural side 😍 it looks so cool 😎,49,2024-11-12T02:11:36Z
@da_slug,"I love the 0$ one lol it just looks, &#39;natural&#39; ❤",96,2024-11-14T03:12:52Z
@davis_tv,Both look amazing,0,2024-12-29T02:54:20Z
@alperenfidan8841,"Brother, you are the painter of the future, you can paint even without using a pencil, you are incredible, you are better than most painters, in my opinion, God bless you.",18,2024-11-17T09:04:33Z
@sz3773,"A true artist can make art with anything and everything, literally.",31,2024-12-01T03:35:56Z
@SabrinaGamboa-j1t,It&#39;s not about Pencils it&#39;s about your talent ✨🌟⭐,22,2024-11-17T09:40:41Z
@hnunipachuau7756,You deserve 3.0M subs forur hard work,0,2025-01-03T13:09:21Z
@DeShonnaJohnson-r8c,A work of art 🎨 ✨️,31,2024-11-12T22:18:42Z
@danish2036,"Wonderful , best art seen on YouTube 💐",35,2024-12-12T15:44:29Z
@angelbarrios426,"With pencils looks more realistic, with materials is more impressive 😊👌.",63,2024-11-08T08:03:14Z
@Jazzifybeats,U r a great artist 🗿🗽,36,2024-11-08T02:19:25Z
@payelkolay9063,This is so beautiful 🎉😊😊👌🏻😍,5,2024-11-10T09:17:04Z
@Yura11213,Nobody talking about how he drew a perfectly straight line?!,150,2024-11-16T11:56:15Z
@STEVECRAZ69,You did amazing with just natural colors,0,2025-01-02T20:50:13Z
@silverclips8811,Elemental natural colors✨️ 🍃,22,2024-11-12T11:47:33Z
@AbrorbekMajidov-n5o,It doesn&#39;t matter which one is the best <br>What matters is the drawer&#39;s skills 👌,30,2024-11-12T06:06:10Z
@watermelonisreal-m6f,The most impressive thing is how he drew the most perfect straight line in existence,52,2024-12-07T11:32:00Z
