Author,Comment,LikeCount,PublishedAt
@MyDigitalHub,Zach is the king of Effects and Transition,62,2023-05-08T12:35:33Z
@TheS0c13ty,Bro really brought out the .9 iron 💀.,237,2023-06-07T14:47:29Z
@togetherlaced2752,"“WHAT?! Ahh, come on.”<br><br><b>*makes it harder*</b>",53,2023-07-03T08:36:32Z
@ArianaRosalia,"I love how he broke character at the end, unable to contain his laughter after breaking the mini golf club. 😆",366,2024-01-22T05:26:34Z
@jericain7788,Love your work!! Your acting is amazing!!❤,19,2023-07-19T01:08:31Z
@DubbPP,I didn&#39;t used to like this channel now I think it&#39;s one of the best💯💯💯💯,6,2023-06-06T19:41:30Z
@FifyKaqiqiPain,<b>Zach took &quot;never let them know your next move&quot; to the next level of perfection</b>,34,2023-07-14T16:43:47Z
@carrie1114,I always end up watching his videos 3 times trying to figure them out 😂,57,2023-05-07T19:16:34Z
@kaliamahperiasamy953,Plot twist: he made the shot,19,2023-05-16T14:10:00Z
@FifyKaqiqiPain,<b>Zach King is the type of king to tell someone the definition of </b><b><i>&quot;never let them know your next move&quot;</i></b>,2264,2023-05-07T13:39:27Z
@fireiadmire5189,Only zack can do these things with ease🏌️‍♂️⛳😢,40,2023-05-07T11:20:16Z
@MotorbikeLife519,This gives „ <b>mini</b> golf“ a new meaning,88,2023-05-07T20:56:54Z
@zaskarr,Bro took<br> mini golf to a whole Nother level,5,2023-09-02T17:05:15Z
@eq41756,Imagine playing Mini Golf with Zach and then he does THIS,993,2023-05-07T11:22:46Z
@LachanatorYT,Yo this is so perfect! I love u Zach king!,8,2023-05-07T11:26:11Z
@STPLHD,Bro when he said nooo it sounded like a cartoon😂,4,2023-10-05T09:27:11Z
@ahmedyusuf79,Now this is mini golf,36,2023-05-07T11:32:46Z
@Christophersuccess-f9b,Zach never runs out of ideas 🫡,3,2024-05-15T21:53:06Z
@CM1_SonicAndOtherStuff,"Don&#39;t worry, Zach. Just concentrate.",21,2023-05-07T13:49:13Z
@ydn289,"That is really, really small Zach. 😅",22,2023-05-07T14:28:02Z
@syedali8083,Plz never stop to entertain us like this.,17,2023-06-16T20:29:25Z
@CheckMeout8063,Zach king is the type of guy to have all this tricks and still lose💀,21,2023-05-07T14:39:54Z
@Peter-tj5ve,"Now, THIS one, I can ALMOST wrap my mind around!",1,2024-04-19T08:33:12Z
@malakaemma8162,Your edits are just perfect  😂,0,2024-08-17T09:41:30Z
@ruthmiller1406,Dude.. your hittin it a llliiitttttllllee too hard!  Hahahaha!,0,2024-09-14T12:28:15Z
@steveng1624,Awesome short videos by the King... 👍,0,2023-10-08T18:57:08Z
@ariamohamadi1206,Very nice,11,2023-05-07T11:25:49Z
@FiercexDemon43,Legends says the golf course restricted magic inside it. That&#39;s why he can&#39;t put golf ball.,37,2023-05-07T11:27:27Z
@keykey907,I love the Magic and I love your videos is so cool,0,2023-06-10T19:06:00Z
@GIGACHAD999,Moral of the story: <b>”Magic is not everything”</b>,14,2023-05-07T22:34:11Z
@gordonliddy7971,<b>*ZACH NEEDSS TO SHOW EVERYONE HOW HE DOES HIS TRICKS!!!!!*</b>,4,2023-05-07T17:51:11Z
@ixyxi,Never fails to mf my mind,9,2023-05-07T13:12:05Z
@ishaanganguly2025,"Great video, Sir.I really like your tricks.I only have one request if you could reveal how did you perform this video",1,2024-04-30T11:24:39Z
@Dailyvid,The zack it&#39;s angry of the golf 😳😎😎😎,0,2023-06-20T04:18:32Z
@all_football_video,Hi bro big fan 😊😊😊😊😅😅😅😅😅😅,1,2023-05-07T11:38:25Z
@gregorybeaty8863,Bro said &quot; time for the .09 iron,3,2023-06-02T14:49:39Z
@failongo,Zach love your vids man,0,2023-05-07T11:37:27Z
@Kitsuneyaemiko,Wow that’s amazing 😻 <br>How 😮😮😮😮,2,2023-05-07T11:28:27Z
@derrickweader5050,He broke the mini golf club with his knee😂😂😂,0,2024-08-08T17:03:31Z
@Allexbico,"Esse cara não está em Hollywood por escolha própria, simplesmente o melhor em edição de videos.",77,2023-06-06T20:26:09Z
@samad512,Bhai sahab tagda illusion hai 😂,1,2024-03-12T17:05:04Z
@Cluelqss,I swear if zach pulls up to a Mr Beast competition and pulls something like this i wouldnt be surprised.,10,2023-05-07T17:22:02Z
@Weebtopiaofficial,I&#39;m not even surprised anymore😂,0,2024-07-02T16:44:49Z
@thehoodedcow6696,Yo wait why did he sound like Ryan Reynolds for a second tho 😂 That&#39;s awesome,0,2023-06-29T20:37:26Z
@NinjagoTwins,king of transitions...............<br>i found him....,2,2024-05-12T08:24:58Z
@Unknown-uk2fb,😂😂😂 that was funny the other vidio also😂,0,2023-10-14T15:20:18Z
@plz-sup-to-NathanBooYa11,Homie took mini golf to a whole new level,3,2023-06-01T14:53:35Z
@mansoorshaikh1658,Such a creative mind 👌🏼👌🏼👌🏼,0,2024-05-03T06:07:36Z
@marcobudiono6465,The ball glithced when almost going into the hole 😂,0,2023-05-07T13:36:26Z
@thespiderman1,Bro took the most perfect transition in the world,214,2023-05-07T12:54:34Z
