Author,Comment,LikeCount,PublishedAt
@eonemonterola1733,😂He is so funny ... screaming until upstair 😂 <br>&quot; CHUPAPI &quot;😈😂😂❤<br>&quot;MAAMAA&quot;😂😂😂❤,241,2025-01-27T12:46:50Z
@LiveWachie,Screaming woooooooo!!! till upstairs 😂😂😂😅😂,233,2025-01-03T21:54:14Z
@국정민,"This is pure talent, no doubt about it.",196,2024-08-30T15:33:53Z
@abdul-wahabhassan1794,It was so funny and for saying Mama 😂😂😂😂,13,2024-12-30T17:12:40Z
@jaleahchambers8,The “momma” GOT ME ROLLING ON THE FLOOR😂😂😂,336,2024-06-18T20:50:58Z
@douglasseruwo7047,The pic in the bedroom 😂,224,2024-04-16T08:59:38Z
@jacobyenidllanosortiz2498,"The screeming when he sees he is alone, always makes me laugh and the way he runs😅😅😅 wooooooooooooo!!!!!!",192,2024-06-25T04:29:38Z
@ChrissyDawnMusic,Why is the running up the stairs from the dark so relatable 😂,4,2025-01-23T23:35:39Z
@Ms_Rosie7,That &quot;Mama!&quot; Gave me flashbacks of what happened,918,2024-05-15T09:51:58Z
@مجروح-ف6و,"He was running away to Mama, now he is running away from Mama 😂",83,2024-03-30T15:01:20Z
@anirudhsharma4896,When it’s dark in the cell <br>Him:- Mama aaaaah…..💀💀,160,2024-03-26T13:46:16Z
@AniasSPOT,Nice animation and video. It&#39;s purely qmazing. I was wondering what did you use to make this animation?,2,2024-10-31T19:49:21Z
@Urfave_Ocean,The way he ran up the stair like a tiger was chasing them.<br>MAMAAA GOT ME LAUGH<br>ING 😂😂,113,2024-07-20T18:30:48Z
@chicken,"The scream was intense, but the &quot;Mama&quot; was even more chilling. The picture on the wall seemed to come alive.",510,2024-03-05T23:42:17Z
@AshwinSadh,&quot;Chupapi 😈💦&quot;  💀 <br>&quot;Maamaaa 💅&quot;   💀💀,6302,2024-03-24T16:36:47Z
@MdFarabi-d3m,আমি হাসতে হাসতে শেষ 😂😂😂🤣🤣🤣🤣🤣,24,2024-10-11T05:24:43Z
@FIFA_RETRO3,The best video in the world 🌎 😂😂❤,106,2024-04-06T19:14:09Z
@Partydog674,You will never know how this comment got popular,13526,2024-01-16T22:21:00Z
@indiantech4460,"If  you go under your blanket, the ghost won&#39;t do anything  to you😂😂",719,2024-06-02T08:02:36Z
@KhadijaJwairyagaming,It&#39;s me when I say I will ģo to sleep faster than my sister 😂😂😂,2,2024-09-23T15:33:39Z
@Millyonne-knives,The poose on the wall picture is killing me 😂😂😂😂😂,263,2023-12-27T00:53:47Z
@Sammyplayzgames,that last scene caught me off guard 💀💀,399,2024-03-07T16:31:34Z
@junkytrixter,"“Your not afraid of the dark, your afraid of not being alone in the dark” -a wise man",407,2024-03-21T11:08:58Z
@وليدالشمري-ظ6ص,😂😂😂😂😂😂😂😂❤ الفيديو يضحك عاشت ايديك ومضحك,1,2024-09-18T19:39:07Z
@pedrorosales1363,Bro screaming MAMA!! In his jail cell<br>edit :DANG BRO OMG THX FOR SO MANY LIKES I NEVER GOT THIS THX!,3624,2024-02-05T07:04:32Z
@ticklegiggle,Mama! The tone is funny 😂😂🤣🤣,17,2024-06-16T23:12:00Z
@herhersister7977,What the heck!?!?😂😂😂he is tooooooooo funny!!! With the &quot;Mama&quot;!!!😂😂😂 and &quot;chewpapi&quot;....😅😅😅,57,2024-07-26T20:29:59Z
@ZoeAlvarado-x2t,Screaming woooooooooo!!!! it’s so funny😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,3,2025-02-08T05:19:05Z
@adjarakaramoko8916,Bro running for his life 😂😂,107,2024-03-17T16:31:08Z
@brye5811,The picture on his wall was so personal😂😂😂😂😂😂,23,2023-12-30T20:09:10Z
@SajinAnas,Mama its not just a word its a Emotion 👍,172,2024-02-11T19:12:14Z
@menukamagar2081,MAAAAMAAAA got me rolling to Mars😭🤣💀,0,2025-01-18T21:19:05Z
@ImranTegrini,Bro is running to jail at the end 💀 💀,113,2024-04-05T15:19:14Z
@METYOR2011,--CHU PAPI  MNYENYE....<br>--MAMAA...<br>😂😂😂😂😂😂🤣🤣🤣🤣🤣,17,2023-12-27T10:26:46Z
@KalagaMani-jv8yw,That Mamaa Was Way Scary After The News,383,2024-01-19T13:10:01Z
@Broanimaze,Mama got laughing on the ground😂😂,4,2024-09-15T02:43:57Z
@khushishanthapa,My son also does like that he runs when he turns off the light😂😂😂😂😂😅😅😅😅😂😂😂,211,2024-04-12T11:12:27Z
@xoxoxo661,the picture got me cracking😅😅,87,2024-08-18T15:55:32Z
@QuinnDelia-qw3hm,"A friend is one of the nicest things you can have, and one of the best things you can be.",7,2024-08-24T22:59:14Z
@Con863,This guy&#39;s videos crack me up 🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,2025-02-16T02:43:46Z
@Football_Fan2010,He’s running like he escaped from big hungry dog😅😅,114,2024-07-09T19:53:47Z
@Coolgirlsforever,I can&#39;t stop watching this 😂😂😂😂😂😂😂😂😂,66,2024-04-22T06:58:01Z
@Ruthjoseph407,The photo on the wall though 😂😂😂😂😂😂,260,2023-12-26T16:12:03Z
@FeliciaBoateng-w4f,He screamed wooooooooooooooooooooooooo till he got to the room and the mama got me rolling on the floor 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2025-03-23T20:45:51Z
@Lucas-qx5oh,POV me after watching a scary movie at 3 am 😂😅,66,2024-04-01T09:29:31Z
@M12hdkuwu,Another man: chupapi munyanyo<br>First man: mama<br>😂😂😂😂😂😂😂😂,45,2023-12-29T10:16:15Z
