Author,Comment,LikeCount,PublishedAt
@JulasMiaUAE,Nice video ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,15,2024-02-17T07:09:35Z
@Bosslovers25,Superb act  beta full of energy 🎉🎉🎉🎉.. Great performance fabulous 🎉🎉🎉🎉,2,2025-04-09T10:23:39Z
@ilxom4288,I love 💕💕💕,13,2023-12-30T09:30:49Z
@MohdAamir-r9z,So nice video❤❤❤❤😊😊😊😊,2,2024-03-31T14:19:17Z
@emirgaming2844,"I see nayeli,Peja, Rachel,Faye,shae,wyatt,",20,2023-04-27T02:29:50Z
@yousafshareef6171,I Love The Little House 🏠🏡,2,2024-10-24T01:38:18Z
@lisasiu5027,"Shae, cora, Rachel",12,2023-03-28T22:20:34Z
@manjunathgkhushi3633,This is called  true friendship  🎉,2,2024-08-10T05:00:53Z
@JoHines-Ranger,Shaes face 😂,9,2023-11-04T17:56:52Z
@jovebarazan2194,I love it ❤❤❤,2,2024-03-07T06:17:52Z
@shamma615,I see Peja and Nayeli and Faye and Shae and Wyatt and Rachel ❤,47,2023-03-28T13:50:57Z
@SumiSumi-h1m,Very nice ❤❤❤❤❤❤❤❤,3,2024-09-22T14:50:10Z
@Miley_624,Aww I thought one of them was klai for a second 😢,27,2023-03-28T14:37:54Z
@ShakiraBrown-n6y,"I see Rachel,fay, Wyatt,peyja oops,neyely,shae",2,2024-06-25T08:27:48Z
@alannajordan5596,I see toa and some members of the rock squad as well ❤🎉,10,2023-05-21T14:12:27Z
@DelfinaAuroraVargas,Que bonita la  familia ❤❤❤me encanta❤❤❤❤😊😊😊😊😊😊,1,2024-09-20T18:56:23Z
@chrisajin3514,"Rachel,Shae,Peja,Faye,Wyatt,nayeli",5,2023-05-01T06:27:31Z
@AznThugBreaker,Shae went early 😂😂😂😂😂😂❤,1,2024-05-07T13:39:44Z
@aditipoddar7570,I see <br>Shae<br>Wyatt<br>Rachel<br>Nayeli<br>Peja and<br>Faye,6,2023-04-10T17:32:49Z
@JadaEllison-l2s,"Huge fan of you, and rock squad",1,2025-05-23T23:30:40Z
@YosanAbrha,The way Shae hair was peeking,9,2024-05-25T00:23:30Z
@DebraMoxey-b8b,I love it,17,2024-03-16T13:31:03Z
@advancetechnologies9751,Nice video ❤❤❤❤❤,0,2024-07-13T17:39:01Z
@SMToursTravels-e1k,Sha is like.. I&#39;m first😂😂,17,2023-06-17T17:16:49Z
@srinu5180,Adi ala chastaru sisters and brothers 🎉🎉🎉🎉🎉🎉🎉,1,2024-04-29T14:24:06Z
@FourCats4life,I see Rachel Wyatt Shae Nayeli Peja and Faye 😂,15,2023-04-13T01:41:58Z
@Mafisha308,"Shae,Faye,Rachel, wayatt , Nayeli and peja",11,2024-03-18T09:38:17Z
@AbdurRahman-qc4os,So. Cute❤❤❤❤,1,2024-05-27T08:11:59Z
@GamerGladiators55,❤😅❤😅❤😅,12,2024-03-10T07:21:40Z
@lloydmungai17,Good job❤😂🎉😊,0,2024-11-30T21:07:45Z
@Clair-ds8fm,Rachel Shae Wyatt Nayeli Peja and Faye 👍🏽,19,2023-03-28T16:40:53Z
@MemoonaZubair-i9f,nice❤❤❤❤❤❤,1,2024-09-26T06:25:33Z
@mayamaree2789,Slay friendship!!! 🥰,12,2023-08-19T21:11:55Z
@TrishlaChauhan-h9j,Beast YouTube ▶️▶️🎉,1,2024-09-24T13:40:36Z
@beccarogers3968,Ohana means family<br>✨The family family✨,14,2023-04-08T15:34:11Z
@sangirenthlei-l8m,A human face😂,1,2025-01-24T14:59:07Z
@EmbreighCourtlynFp,❤❤cool❤❤,5,2024-03-17T17:43:58Z
@milonrazaul5375,Wait. for. me🌚🌝🙈,2,2024-05-25T14:31:03Z
@laurencha5512,"rachel, shae, wyatt, faye, peja, nayeli!!",14,2023-04-06T20:34:30Z
@Rizwankhan-jn2lw,Fizza❤❤❤❤❤,1,2024-12-27T15:57:06Z
@fernandamerencio3586,Is a queen song ? ❤❤❤❤,14,2023-04-02T13:37:34Z
@MohanMol-fb6iz,Puja❤❤❤,1,2024-05-28T15:37:45Z
@zynabkelani8600,I love the beat and how the hand go love it,5,2023-03-28T19:39:55Z
@NiginaSaburva,Chiroyli juftlik ❤❤,2,2024-07-08T10:05:26Z
@Naci_story,I see peja wyatt shae faye nayeli and Rachel ❤❤,11,2023-04-15T22:11:11Z
@wakilabanoBano,So beautiful,1,2024-06-22T07:20:27Z
@ФИРДАВСНОРЕГИТОВ,❤❤❤❤🥰🥰😍😘,7,2024-03-11T17:05:35Z
@SHEBA-360,Wow! It&#39;s a great work ❤,5,2024-07-13T16:14:43Z
@AbdurashidIsmadaliyev,Peja❤💋💋,2,2024-05-28T10:19:02Z
@к_мя,"I&#39;m pretty sure it&#39;s Shae, Faye, Rachel, Wyatt, Nayeli and Peja!",9,2023-03-28T21:00:06Z
