Author,Comment,LikeCount,PublishedAt
@Pedro_espadachim_solador,Yujiro Hanma approves of this way of opening a coca🔥,22222,2023-11-25T00:08:54Z
@FCM34562,10% coke fall<br>90% in bottle,80913,2024-01-18T10:45:39Z
@miniwolvesfinest8398,Beerus been real quiet since this vid dropped,6997,2024-01-08T17:43:29Z
@Unknowns780,Bottle openers:invented in 1835<br>People in 1834:,13743,2024-05-09T08:39:44Z
@piasalic5911,Bro did them dirty in different languages,336,2024-04-02T16:24:16Z
@prisoyt,Imagine the pain you must be in if this guy flicks your ear during winter,2297,2024-02-04T20:08:31Z
@Frublo,Bro opening with knife ❌️ bro opening with 1 finger ✅️,9,2025-02-28T11:32:45Z
@Ant_ic,I laughed so hard when the glass broke💀,3366,2024-01-24T23:56:03Z
@reinaisabelmcnab3184,The sound at the end got me off guard💀💀💀💀,3002,2024-01-23T23:06:55Z
@VALOSEKI,Even Yujiro is scared of him now because his drinking technique💀💀,439,2024-02-06T16:13:34Z
@SEfdcvdhmSefhsdvj,The way you explained this is SO clear. Thank you,0,2025-05-12T19:15:59Z
@MoonHeroz,That grin on his face at the end though 😂 👌👌👌,972,2024-01-26T18:39:34Z
@Cjfishfr,My parents when they flick me in the head💀,1270,2024-02-04T21:14:37Z
@secession77,If a mantis shrimp was a person,180,2024-02-05T22:45:06Z
@krispy-the-new-fan-man,Even Thanos is scared of this man 💀💀,3,2025-02-20T06:21:59Z
@pappusmpofficial,"Bro, even jeff is scared of him<br><br>what a man💀💀",748,2023-12-15T05:44:31Z
@SananKing-y6n,Bro is in his villian arc💀💀💀,273,2024-06-27T14:07:54Z
@rosinante273,Bro showed them who&#39;s the boss💀,8975,2023-11-25T00:06:19Z
@SuzanaZanexf,Your consistency is inspiring—keep going,0,2025-05-18T14:58:15Z
@pierregustavquime8058,“I TOLD YOU ANIME WAS REAL!!!”<br>-Little brother,1617,2023-12-03T15:16:20Z
@superkielh658,&quot;Just a little bit on the top&quot;<br>The Barber:,1906,2024-02-12T08:41:48Z
@deadrick7163,Bro pulled out his inner Yujiro for that flick.,1232,2024-01-28T07:54:44Z
@HAVOC090,that made me laugh so hard for some reason 😂,904,2024-01-30T23:27:37Z
@officiallycurlymonke,They don’t call him final boss for nothing,947,2024-01-24T09:56:51Z
@agentdwarf8527,"Bro even the joker is scared of him, and he laughs at Batman even if he were to try to kill him",898,2024-01-31T23:12:56Z
@mat_makes_musik,Homie said “weaklings👹”,28,2024-09-10T04:43:06Z
@reicherwallace6774,This man been hangin with Yujiro too much. Even learned his iconic flick.,803,2023-12-10T20:08:36Z
@Men-r4r,even the titans are scared of him,200,2023-12-23T18:07:15Z
@HoodedShadow-__-,He is the main antagonist 🗿,266,2024-01-28T07:55:49Z
@alabiraryan3834,bro learned cleaves and dismantle  from sukuna 💀,1672,2023-12-09T12:16:54Z
@thaianh8366,This actually explains a lot. This mf is literally live action Yujiro Hanma,348,2024-01-28T00:30:24Z
@lungitylunglung,"5 seconds later: <b>Hey it’s me, Goku!</b>",1703,2023-12-06T20:13:20Z
@HallHomer-y8i,Mood instantly lifted. Thank you for this,0,2025-05-15T18:34:23Z
@rashmitagauda9724,Even thanos should run away from him💀💀,56,2024-01-28T10:14:10Z
@fussothethird,The final boss using 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001% of his power,245,2023-12-19T21:35:43Z
@Shadowed2,Bro used 0.000000001% of his power to open that coke bottle,711,2023-11-25T00:25:04Z
@choco-f5b,Bro is the king💀,4,2024-12-15T13:24:58Z
@Capybara_Playz791,Even John Cena is scared of him💀,681,2023-12-20T10:03:06Z
@taniamukherjee6215,That&#39;s the most Perfect cut I&#39;ve ever seen and heard,540,2024-01-19T03:46:44Z
@mebacongirl,how to open a cola correctly ❌<br><br>how to open a cola correctly in ohio✅,1,2025-02-23T20:30:26Z
@mrhacktivist,"“He is not scared of death, death is scared of him”<br>-Wise man",875,2023-12-12T08:20:30Z
@chicken,"Bro&#39;s flick game is on another level, he&#39;s like a real-life anime character.",1604,2024-08-01T16:21:00Z
@YZUO15,&quot;Weakness got invented 1396&quot;<br>Mf&#39;s in 1395:,658,2024-01-16T19:44:57Z
@ElishaThrift-t8k,You just earned a new subscriber,0,2025-05-20T22:11:53Z
@yea4826,Imagine this guy chasing you down a hotel hallway.,1361,2023-12-09T07:34:42Z
@lunathedruid1507,The smile is everything,344,2024-01-13T21:39:59Z
@JustinHarvey1,The impression thing is that it has been cut so cleanly,297,2024-06-18T19:40:19Z
@АлександрБухмин,"Its a sugar-glass, that used in films to jump out of the window, or breaking glass. This glass is too easy to break, and this glass will not hurt you.",4,2025-03-26T06:34:13Z
@loquednonis,He activated his power without his drug 😮,324,2023-12-04T02:47:14Z
@KingKBD523,"Bro has taken 1000 years of karate class now he can send John Cena‘s ass to the moon with a finger touch 💀.<br><br>I have no idea how this comment got so many likes, but… thanks???",9512,2024-01-16T22:58:03Z
