Author,Comment,LikeCount,PublishedAt
@vivinndaru6618,I thought my internet connection was bad and the video resolution was blurred 😂,1480,2024-05-02T08:22:20Z
@Evo_HamoudE,Bro live in a 4 dimensions world,3820,2024-04-15T16:15:38Z
@UserAnna26,i’ve watched this a million times and my brain still ain brainin,361,2024-05-23T03:18:28Z
@gamer.dudeszzzzz,Wow nice!,37,2024-04-15T15:52:09Z
@SubLTK,just some cool illusions 😂,446,2024-04-18T14:05:45Z
@Ganjigpt30,"Out of the context but really I wish I was there, its looks peaceful 😭😭",101,2024-05-04T15:11:54Z
@MezarKleex,that&#39;s trippy,34,2024-05-24T21:25:34Z
@WatchMe_Burn,How big is that white shirt?,14,2024-05-25T18:54:52Z
@agustinmumbunan1085,"I am so happy watching your video, this morning.... 🥰🥰🥰",66,2024-04-18T02:41:54Z
@jemmalyndrilon1502,I kinda want to wear the big white shirt,61,2024-04-23T22:08:11Z
@tolitzcahanap570,How does she got big that&#39;s even possible 🤯,2,2024-06-01T14:20:02Z
@aspirantgirl9,Wow amazing😍🤩 video,1,2025-02-05T08:35:37Z
@mantanrocker_ayahazwa8325,it&#39;s about perspective 🗿🗿🗿,1,2024-09-27T09:01:46Z
@Arm_Qlynavyz,Zachking is the goat of all,2,2024-09-06T06:29:05Z
@HeenaMirza-f5e,Wow amazing😮❤,0,2024-10-05T18:07:13Z
@sanafathima1706,That little boy was disappointed by another one who got first to pull the big shirt ❤😢,12,2024-05-05T20:07:52Z
@midnightwolf8495,Is it bad i didnt even see the top part of the video till i watched it twice?,11,2024-05-12T08:10:37Z
@simplyqueenie4402,God bless yall very funny video ❤️❤️❤️,1,2024-09-02T05:24:56Z
@cecesrandomness142,This is how my art teach would&#39;ve wanted me to learn perspectives,4,2024-07-10T22:13:57Z
@omdumai,He has a nice family,0,2024-07-16T07:42:09Z
@Philippines_1s_here,Zach king would be proud,5,2024-07-21T19:43:09Z
@LALPUHANGZO,999 missed call from king Jack,1,2024-09-19T08:24:42Z
@upadhyaymou7360,Big shirt with big clip😳,3,2024-05-04T00:42:48Z
@Sads682,لحضه ادراك : اكو فيديو فوك 😂.. بعدين انتبهت,3,2024-04-29T06:23:30Z
@Ch3l.zz_i,The power of perspective.,0,2025-02-03T13:21:28Z
@Marwahrezzk,It&#39;s an optical illusion and it&#39;s nice. I liked the idea.,0,2024-09-14T20:10:27Z
@WARAY1997,The floating 😮,2,2024-05-05T07:54:41Z
@RageSlothI,I heard that if you say the creators yt username 5 times tou get pinned.                                                Caleb natale.                                       Caleb natale.                                      Caleb natale.                                      Caleb natale.                                      Caleb natale.,14,2024-04-17T11:04:32Z
@rishiworld7682,I LOVE your vids can I get a pin 📌📍 plz,0,2024-04-15T17:58:50Z
@anajurkhadze44,Wow😂😂❤❤,1,2024-05-18T06:54:21Z
@カーラ-Cr7,(وهل تبيعون اخلاقكم لأجل المال؟؟),1,2024-07-04T20:32:51Z
@Cussiyuh,Why does this only have 100 comments?,0,2024-07-30T14:53:50Z
@khuzaimy9944,That big shirt😅,3,2024-05-02T03:38:27Z
@B_D_A_2007,مستوى جيد جداً ❤❤,2,2024-10-16T20:57:59Z
@MiguelGonzalez-zz9zz,Maravilloso ❤,0,2024-08-16T22:47:09Z
@khadijahasan1412,I thought it was a dress for a sec 😭,0,2024-09-04T08:31:11Z
@SheAlmighty,That’s a huge t shirt👀👀,0,2024-10-17T05:05:40Z
@aprilhernandez715,Atleast they try their 👌 best,0,2024-07-17T09:36:15Z
@espinalsj12pTo,𝘋𝑂𝑅𝐀77 win streak parah!,0,2025-02-21T18:48:22Z
@starrynight899,"I had to watch 3-4 time to notice all of that😂<br>beautiful place btw... makes me want to lie down, take a deep breath and smell the grass ❤",0,2024-07-09T19:15:38Z
@beobaybong777,Cách bạn làm video quá cẩu thả dẫn đến không thể tạo ra ảo giác cho người xem được chân thực 😂😂,0,2024-08-06T13:55:02Z
@eggbert2k,That sounds like branch from trolls 😅😮,0,2024-05-28T02:38:42Z
@pslmaa,impian banget halaman rumah kaya gitu,1,2024-08-13T03:34:54Z
@WeAreWhoAgency,Your video thats cool but can you make the string just 1 line maybe can make that looks like real,0,2024-09-05T05:36:52Z
@Ratmewibowodream,1310 hari belum dapat? Play button????,1,2024-09-28T23:23:36Z
@VickyTheVikram,"Lets be honest, the pants part is really bad.",8,2024-05-17T13:58:22Z
@scarletteraiden,tbh not as smooth as Zach so u should adapt and aspire to him,2,2024-05-03T07:38:05Z
@abdulrehmannasrullah1,Simple video with proper camera angle and highly unpaid actors needed,0,2024-07-21T17:42:59Z
@봄이싸댕,서울:뭐야 왜 안막혀? 오늘 무슨일있어?,0,2024-08-08T00:15:10Z
@NurHayati-q9l5d,;3 XD,1,2025-04-06T23:05:16Z
