Author,Comment,LikeCount,PublishedAt
@battology_grufeling2719,I will not rest until these two meet in real life.,11512,2024-12-09T23:18:51Z
@PamelaRay-l7x,I never get tired of this I watch it over and over❤,57,2024-12-13T02:49:40Z
@Smashley1986,That last little &quot;PERFECT!&quot; from offscreen really got me!!!😅😂😂😂,4595,2024-12-10T01:20:41Z
@BananaGrapes15,The definition of a symbiotic relationship.,24,2025-01-25T20:23:43Z
@tristanschreiber4000,&quot;cowhffee&quot;<br>never gets old🤣,832,2024-12-10T02:54:07Z
@LadyVineXIII,"As impressed as I am by him squeezing the orange like that, I gotta point out that she also up and squeezed that orange with one hand. Serious hand strength on both of them.",36,2024-12-10T22:22:39Z
@JellyGirl-r8g,I have not seen a single one of the woman’s vids 😭 I just see this guy attempting to recreate her recipes and it’s always so worth it ❤,2566,2024-12-10T00:48:09Z
@mrsK1710,This is the best one yet 😂,3,2025-02-01T19:52:08Z
@brucetidwell7715,That spit take! These just never get old!,636,2024-12-10T01:40:08Z
@theresearchtutor,&quot;It&#39;s getting messy&quot;<br>😂😂😂😂,1,2024-12-17T07:45:29Z
@ShelliRK,That woman is an international spy posing as a drink mixologist. Purrfect!,718,2024-12-09T23:39:15Z
@bonnieberry5313,Perfection comes with smiles,3,2025-02-06T19:33:21Z
@valkosa8856,I love that she&#39;s back. ❤ I missed this duo.,961,2024-12-10T00:03:09Z
@yvettehuerta1694,😂😂😂😂 u r too much!!! U got me over here just laughing my a** off!!! Love ur videos!!! Y&#39;all 2 should definitely meet and make a video together!!!,3,2025-01-21T13:03:24Z
@fiestaballoons315,The mint candy is everything!! 🤣🤣🤣,274,2024-12-10T02:02:00Z
@lalalevej2478,"A classic, good sir. This will never not crack me up. 🤣🤣🤣",17,2024-12-11T19:22:37Z
@funnyprojects-xc4ce,&quot;Regular... syrup&quot; and &quot;Coufee&quot; got me 😂,123,2024-12-09T23:42:26Z
@lydiahunt5159,Your videos crack me up thanks !!,0,2025-01-04T18:19:26Z
@Mecha_Mortis2,THE REACTION WAS UNCALLED FOR😂😂😂,169,2024-12-10T06:04:36Z
@justinkenney5111,LOL BRO THE PERFECT  WHEN HE SPAT OT OUT😂😂,1,2025-01-08T23:03:12Z
@Whatuppeeps-n2t,this guy is the funniest 😂😂😂😂😂😂,216,2024-12-09T23:14:10Z
@sons_of_durin3329,"I understand overfilling everything for comedic purposes, but one of these days, I&#39;d like to see you try to make the recipe as she does, without overfilling it with coffee so all the contents spill, or dumping a massive block of ice on it so everything falls out, just to see if it&#39;s something genuinely worthwhile, as that could drastically change the flavor. No hate, just a tiny request. ❤",1,2025-01-30T22:56:49Z
@shadowcollins4589,I stopped expecting her when I have one of these shorts pop up <br><br>I see her and then I&#39;m like oh it&#39;s Johnny😂,157,2024-12-09T23:17:30Z
@sharonhamilton1448,Get married!   You two are PURRRRFECT!!!!❤❤❤❤❤❤❤❤❤❤,0,2025-04-15T00:53:02Z
@PamelaRay-l7x,Johnny that was a perfect ending. You are hilarious.❤,192,2024-12-10T03:17:53Z
@ChelseaAishiteru,"I watch all of these, but this one is especially hilarious 😂",1,2025-01-26T05:31:29Z
@FrancineGill-h3o,I love this guy so much he is so funny!,44,2024-12-09T23:10:18Z
@ccghostwings05,That spit at the end!!! 🤣🤣🤣🤣🤣🤣🤣🤣🤣,1,2025-01-20T09:16:54Z
@itsmejoom,These videos have me laughing like a weirdo when I see it out in public! Cracks me up every time!! 😂😂😂😂😂❤,55,2024-12-10T02:06:46Z
@CcRyder-ew5fy,The mints were resisting 😂😂😂,1,2024-12-20T05:52:29Z
@Swampty,Brotha obliterated that orange 💀,85,2024-12-09T23:15:41Z
@MinkAmanda,You are one of my favorite people to watch,0,2024-12-12T22:13:44Z
@onenonlyhannahsarkodie,Anyone else even slightly turned on the way he squeezed that orange so effortlessly? <br>I died at the end tho 😂😭😅 <br>Thanks for the consistent laughs Jonny!!❤,284,2024-12-10T01:31:31Z
@SuperNova_Wolf56,<b>spits violently</b> perfect,2,2024-12-24T05:12:13Z
@King-gu9pj,This man always makes me laugh❤😂,15,2024-12-09T23:14:45Z
@PaigeTulao,"Man, your videos are the best😊😊",0,2024-12-16T21:21:24Z
@carmenweger,Why does this always make me laugh?  ❤🎉🎉🎉🎉🎉peeeerrrrfect!😅,7,2024-12-10T01:54:58Z
@Patrick-l6p,Best internet duo,1,2025-02-20T13:44:36Z
@kratos7893,Spit take.. perfect 👌 lol,18,2024-12-09T23:29:22Z
@nancyspruiell347,The mint spray!!!😂😂😂,1,2024-12-20T05:10:25Z
@TheRailcarbusDUDE,Bro you could’ve brought strawberry syrup from the store😂😂. But you too funny. Keep up the great work Johnny.,11,2024-12-10T05:42:42Z
@KennethGAndersen,They HAVE TO collab sometime!! Its my dying wish 😂😂😂,1,2025-02-26T21:50:12Z
@chr5no,Legends know this is a reupload,39,2024-12-09T23:11:48Z
@Gh0stData27,These two are a must in my feed now,0,2025-02-09T23:17:23Z
@CDShotgun111,COHH-FEEE gets me every time😭,11,2024-12-09T23:38:22Z
@Heheman-dk8,"Messy but hilarious, got me cracking up! 🤣💯",0,2025-01-29T06:48:57Z
@e.rivera5441,That spit out in the end was epic😂,5,2024-12-10T00:32:08Z
@Neo_6-4,I can&#39;t with the spit 🤣 lmao,1,2025-02-24T19:37:08Z
@jessicapryor7018,Bro never stop this it is so fun it’s crazy,5,2024-12-09T23:19:59Z
@Sam-c7j3o,The way he did the poofff and then perfect 😂😂😂😂😂❤❤❤❤  u knew it was horrible 😂😂😂😂,0,2025-01-16T17:12:14Z
