Author,Comment,LikeCount,PublishedAt
@treygavino,"Rome wasn&#39;t built in a day, but zack can steal it in a second.",1507,2024-11-13T23:11:32Z
@Khaib123,"Bro, the British Museum gonna be taking notes 💀",1666,2024-11-13T15:47:01Z
@FutzaYT,The guards are lucky THEY didn&#39;t disappear! :),436,2024-11-13T17:01:10Z
@Sam-s8k8f,"So awesome, he needs to get paid. This is the best.🎉🎉🎉",9,2024-11-14T06:43:42Z
@toriamx,The cute painting 😂,10,2024-11-13T14:42:01Z
@AdesinaBabalola,"If you can&#39;t paint it, you take it😂",6,2024-11-14T20:21:43Z
@marceloferreiramartins868,Supermagico é gênio 👍👏😂🎉,23,2024-11-14T20:30:21Z
@Susidjddd,9999+ missed calls from british museum,4,2025-01-24T08:29:18Z
@WillieTroxler,Run Zach Run!! Don&#39;t let the guards get ya 😂😂😂,2,2024-11-15T02:24:11Z
@VinnieStarliz,This man is genius ❤😂,1,2025-03-07T19:42:24Z
@william4shorts,"Your ideas are genius, Zach. ❤❤",0,2025-05-18T05:49:54Z
@rudymurray-q9j,Your consistency is inspiring—keep going,0,2025-05-16T01:55:58Z
@Makenzielealfan,Im learning about those romans and celts😂,4,2024-11-14T04:07:45Z
@OmadjonLatifjonov,"That is incredible  🤯 , You always makes me surprised",7,2024-11-13T16:28:13Z
@Helasiri,My god Zack... Run... 😮😮😮😂😂😂,2,2024-11-13T19:11:57Z
@lil----lil,ROME wasn&#39;t built in a day...🤣🤣,5,2024-11-13T13:12:04Z
@mariarivas1753-j5u,The “🥺😏” is crazy,5,2024-12-01T01:53:13Z
@Galaxy_storm8754,Pov: secret cheat code.,26,2024-11-13T12:04:11Z
@annecohen8927,Someone took the Roman colosseum away from these people and they wanted IT back!!!😮😅,2,2024-11-13T12:17:53Z
@PintuDey-eu4jt,Goku : I heard you are strong 💀💀,2,2024-11-16T11:22:12Z
@vernicedheing5079,Bro really went back in history to destroy the collosuem 😂,3,2024-11-13T12:21:33Z
@RoguEquinoXZeN,Teach me that so I can steal my crush&#39;s heart,9,2024-11-13T12:03:36Z
@AngelNiko144,Legends say they&#39;re still chasing Zach to this day.,82,2024-11-13T12:02:09Z
@lizarenjuane2790,Zach: accidentally travels back in time <br>Me: sees cars in the background 👁 👁  <br>                                                             👄,1,2024-11-22T03:06:10Z
@Smiling_Ninja,“hey! gruh gre ure” such inspirational words,3,2024-11-13T12:24:42Z
@kanikocraft,they chasing a zach who can easly delete an entire building with one sec💀💀,2,2024-11-13T12:52:21Z
@EmmanuelOdunayo-wz8ub,"I thought Zach was actually at ROME men, this is crazy and the best VFX animation ever 🎉, kudos brr",7,2024-11-15T03:14:42Z
@Peroverse,Good working zach impression is always keep it up this is shoking 👍,545,2024-11-13T12:02:17Z
@MARVELDDRAWING,zach keeps getting better,1,2024-11-15T11:25:31Z
@ChannelForComments,I love how he says &quot;Come back here&quot; before Zach starts running. 😂,16,2025-01-30T11:28:26Z
@hannsandwich5095,The tts of &quot;come back here&quot; had my laughing hard 😂😂,7,2024-11-13T16:26:00Z
@BenjaminPenner-q8c,Bros an edit MASTER,1,2024-12-28T23:58:42Z
@asapman09,"Impressive as always, keep up the good work Zach 👍",130,2024-11-13T12:04:25Z
@Letslearnsomethingnew-jt8be,Today I found only a Zack king&#39;s video which has no loop😅😊😅😊,0,2024-11-13T15:02:28Z
@FascinatingArtWorld,Yourmeegicverybeautiful❤❤❤❤😍💋💜,1,2024-11-14T03:51:42Z
@Arhamkhan-bj7nb,😂😂😂🤣🤣🤣 yah kya kar diya,1,2024-11-15T11:13:43Z
@Jeytnayton,Ikkita soqchilar ham rasm ichida qolib ketishlari kerak edi😂 lekin unda qiziq joyi boʻlmasdi 👍👏ajoyib omad,2,2024-11-29T02:30:16Z
@ikerXD1437_YT,Nice video 🎉,4,2024-11-13T13:58:25Z
@jeremyderektorreszender59,Yo escuché You guys gays por qué apenas se ingles😂😂,1,2025-01-30T13:47:43Z
@eduarortiz8647,That looks so COOL 🤯,2,2024-11-13T12:20:37Z
@aviationvideos-d2n,Can I have the painting of it?,2,2024-11-18T09:10:18Z
@Lovereact11,He really makes some masterpiece videos 📸🔥🩷,7,2024-11-16T12:36:33Z
@Waynetxsa,International Magician! 👏,1,2024-11-26T21:50:20Z
@comedywithfriends-c7j,"He doesn&#39;t need Oscar , Oscar need him.",0,2024-12-20T16:42:17Z
@priyanshu-r9u,King of edits😂😂😂😂😂😂🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,5,2025-01-07T12:35:15Z
@EM_ARCHER,"Bravo Zack , EM<br>from NY",1,2024-12-16T10:20:53Z
@BhaktiMadhur-y3a,"Two visitors:- You magician 👿, we came here to watch colosseum . Give refund of our entry tickets.",2,2024-11-13T17:25:34Z
@MerichCompacion,don&#39;t give up Zack ur the one is the Magic trick😊,6,2025-01-29T08:34:36Z
@Atli22gm,This is Italy 🇮🇹🍕🍝 Rome Cool ❤,1,2024-12-23T23:27:52Z
@Youssef_winss,Those loops are always so perfect 😮,25,2024-11-13T13:17:11Z
