Author,Comment,LikeCount,PublishedAt
@poncepriscila8168,Que buen hombre<br>Me da pena esas personas<br>Dios los bendiga a todas las personas que son buenas<br>❤❤❤❤❤❤,181,2024-08-27T00:15:50Z
@BreannAlex,He is so nice God will blesse you 😭😭😭😭😭😭😭😭😭☺️😊☺️☺️☺️😊☺️☺️,105,2024-08-04T03:27:18Z
@zhilin4968,Your so nice more people should be like you god bless you for your kindness ❤❤❤❤ ❤❤❤❤❤,68,2025-03-02T14:15:31Z
@Maryam-ou1uo,That man is a good man and the homeless people god will bless them with care and healthiness and money ❤❤❤❤❤,5,2025-03-12T20:42:09Z
@gustavoredondo527,❤😊 que buena persona ❤☺️,100,2024-08-25T19:43:48Z
@NayaraGuil,Que coisa triste essas coisas não deviam acontecer com essas pessoas boas sempre ajude o próximo,47,2024-07-31T22:42:10Z
@TamelaMorgan-l6z,"Thank you for giving help to this child and father.😢<br>I help when i can, for i myself was homeless for ten yrs. I can certainly relate to this.<br>Even homeless  i would find cans and bottles to survive and have a meal and some drinks for the day, if i had some money left, and seen a homeless person, i would give them what i had left and share what food i had.😢 ❤❤❤❤ty.",1,2025-03-07T17:50:09Z
@Thomas-d8c8j,I love helping homeless I give them food every day,55,2024-09-17T20:27:13Z
@KomangAdi-y5y,Kindness will Always be There ❤,87,2024-10-03T03:08:40Z
@TeoTerra-ic8pu,He will go to heaven!!!!!!!!!!!G.     B.        U.      =God bless you,48,2024-08-24T12:47:23Z
@EdenGarcía-h2g,Que dios te bendiga por qué eres muy buena persona ❤❤,5,2025-03-14T15:44:42Z
@sharminramdass1907,Awwww those people are very kind,130,2024-08-07T16:55:45Z
@ManzoorahWaga,You are very humble person Allah bless you,23,2025-01-01T17:46:20Z
@arunsam23,YA I LOVE TO HELP THE HOMELESS PEOPLE,259,2024-09-05T14:27:13Z
@michellenichols8210,😢😢😢 it&#39;s ok😢i love the video,3,2025-03-06T23:42:11Z
@koredeolayemi-s2e,Yes I love to help the homeless it pains me to see them suffer,459,2024-08-09T19:09:56Z
@ZandileRejoiceMasina-fp6fe,May God bless them to be rich,96,2024-08-17T08:29:40Z
@Naomi._mimi-qc8vo,i love helping homeless people,72,2024-08-22T15:25:29Z
@Marco-k6q8y,You have  a  heart of  I hope that the man with his child  soon becomes  wealthy  we need more people  like  you❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2025-03-15T16:18:47Z
@meshackgitau5551,I love it God bless yoũ,66,2024-07-20T05:27:29Z
@Hugo-i7w7d,"Even tho the vid is fake, he has a good heart ❤❤",27,2024-12-28T10:38:03Z
@SofiaChoque-u1c,Bonito y muy ermoso,197,2024-07-02T13:25:10Z
@JuniorConstant-u6w,Mwen sa fè mal anpil bondiue as proteje Moun sa yo❤❤❤❤❤❤❤❤❤,1,2025-03-07T14:58:33Z
@Luluh-blox,Qué hermoso😊,33,2025-02-01T21:09:14Z
@MuhamadhanifahMuhamadhan-pg2wz,"Sunguh terharu  jk mngenal org ug dermawan kpd insan yg dlm ksusahan, jk terlihat..kdg airmat jujuk mngalir dipipi yg melihat nye...",695,2024-09-07T02:15:35Z
@Alfred-f6p,"Another day, another life save. ❤️",28,2025-02-19T10:09:10Z
@DianaDadzie-s8j,I love it may God bless you ❤❤❤,1,2025-03-10T13:12:54Z
@КсенияПолякова-й7ъ,"Отлично, но зачем надо было отбирать у них все и бросать под дождём....",436,2024-09-28T19:52:59Z
@cypriannkosi4349,why do you give them food just take the home make sure they bathb and eat a lot and must stay warm stay with them,81,2024-06-30T18:57:57Z
@Akanksha-gd4md,Very kindness people😊😊,13,2025-03-01T08:16:52Z
@eliecervalerio3947,"You could have helped them, they thought you were a bad person, but you were a good person❤❤❤❤🥰🥰🥰",1,2025-03-14T03:48:55Z
@Idk-_____-,literally the video after this was people wasting food.😭,41,2024-09-18T00:53:58Z
@fadzaimurindagomo5249,Help homeless people  good bless,39,2024-08-07T12:32:26Z
@danieledaiane5110,Eu amei o gesto de bondade que ele teve❤❤ vou dar like,2,2025-03-11T23:34:19Z
@jameslee1278,"In the rain, should have left the covering once saw they were willing to give it so the little girl would not have gotten wet or possibly sick. Yet brought umbrella. That was cruel to take it and they got rained upon for even a minute. Nice video but don’t go too far by such action",75,2024-09-24T03:02:00Z
@Emerson-r1c,I love the homeless and help them god bless this person for how nice he is.,12,2025-03-09T02:56:57Z
@Luan_Cigüeña-Rivera,Que Dios te acompañe amigó o amiga yo se que el señor de las alturas de llenará de bendiciones 🕊️📖 asi q sigue así,16,2024-12-21T03:25:00Z
@priyanshi3brollno38devisha9,Yes. I do. God may bless them. 😢😭😭😭😢😢,4,2025-03-12T03:26:39Z
@Никита-ж8о,Он сделал добро❤❤,61,2024-09-23T17:50:53Z
@Bella123-p4u,I cant stop crying now i love the hopeless,21,2024-08-10T00:18:50Z
@mosayebtorkizadeh,❤❤❤❤❤❤❤❤❤❤❤❤,37,2024-07-18T07:04:35Z
@Виктория_Хандстон,Добрые люди,3,2025-03-09T15:05:15Z
@MikeANDIke-420,"Even though I don’t believe those two are really homeless, you’re still setting a good example man, keep it up❤",238,2024-11-30T00:44:34Z
@WendaSprunkiJunior,❤😢😢😢😭😭😭😭,63,2024-07-03T03:48:34Z
@TigoInternet-yj3uz,😢🙏Amen,57,2024-08-19T02:39:54Z
@BadarudheenBadaru-b7j,😊😊❤❤❤,7,2025-03-05T15:35:51Z
@bodabhupathi1237,❤️❤️😊😊,47,2024-08-20T17:31:59Z
@elaynitomagana7019,I want everyone to be nice forever,43,2024-08-08T06:45:08Z
@OsmairaHidalgo,❤❤❤❤❤❤❤❤❤❤❤😊❤😊😊😊😊👇🏻,68,2024-08-20T15:41:12Z
@NansambaFlorence-b5e,So sweet be kind to everyone 👌👍💗💕❤❤,0,2025-03-13T15:52:58Z
