Author,Comment,LikeCount,PublishedAt
@lolapop2010,Neo clawing at the sand like a sand crab. 🦀 😅,195,2024-11-04T03:37:32Z
@Mariah-f1i,I hope you get better,1,2025-03-11T19:45:20Z
@virginiavela9912,I love your family. You all are really awesome. I’m sorry about you back PLEASE get better!! ❤️‍🩹,150,2024-11-04T02:20:40Z
@BeglieGashi,Omg don&quot;t listen to them are you okay❤❤,1,2025-03-29T07:18:16Z
@noellejurica6916,Hope you feel better❤❤❤❤,1,2025-03-27T12:08:54Z
@Camila-zu5re,Hope your back gets better soon I will pray that your pain will go away,58,2024-11-05T02:10:00Z
@DARRENJAMESDeguzman,Neo is swimming in the sand😂😂😂😂 so cute❤❤❤😊😊😊,8,2024-11-21T14:33:17Z
@suzannamohamedaffandi5330,Get better soon,7,2024-11-04T02:39:10Z
@YankeeTamayo,Nooo are you okay😢😮,2,2024-11-04T04:06:32Z
@MorganBossert-id1gm,Ouch I bet that hurts man,5,2024-11-04T16:48:53Z
@TASMProductions683,Bro the tattoo is cool❤,0,2025-01-23T09:28:37Z
@SANTANA2-k5u,Love from the Big Island of Hawaii 🤙🏽💯,4,2024-11-04T02:27:45Z
@hildakay,Abella’s reaction😳😂😂😂,5,2024-11-04T07:21:45Z
@AngelineTrejozapata-l1c,Aww hope your back gets better,0,2024-11-11T01:15:31Z
@strikerman9033,They look so cute❤,0,2024-11-28T01:16:07Z
@XimenaCuevas-v1l,You good ❤,0,2024-11-29T21:28:21Z
@Mark-s3k2b,I hope ur back gets better soon,0,2024-11-15T19:10:57Z
@SillyHorseGirl13,Get better soon😢,0,2024-11-11T06:12:12Z
@rishabh527,Crystal is damn beautiful ❤️❤️,5,2024-11-04T08:11:00Z
@brookeandrews9245,Neo is so funny 😂,0,2024-11-28T12:04:01Z
@Troyv9,I hope u get better soon,10,2024-11-04T02:21:42Z
@Kamille08-Kc123,Hope you feel better Niko ♥️,47,2024-11-04T03:04:06Z
@celestine_artworld,oh my god hope you’re doing better now &lt;3,13,2024-11-04T13:53:43Z
@Karthik_viratian,❤❤❤❤.,5,2024-11-05T01:05:35Z
@RayneJ_pretty,Oww😢 sorry but love ur video it warms my heart infact Neo Abella and Crystal Love u so much Can&#39;t forget Nicko ❤,4,2024-11-10T09:31:43Z
@lalitamanilall2598,Hope you are okay ❤❤❤❤,0,2025-01-25T17:37:32Z
@mariaali5553,That looks fun but it&#39;s painful I hope u fell better 😢oof!,0,2024-11-23T23:00:11Z
@seaannaeiskant9473,Ablla expreshin is to funny 😂😂,0,2024-12-07T21:46:12Z
@annamihelis9604,i love your videos,0,2024-11-28T07:11:03Z
@chamiladeshanee5923,Neo is so cute 😂,0,2024-11-15T13:57:00Z
@rogerreyes169,I am a big fan ❤,0,2024-11-24T23:17:07Z
@Joshrules88,I love your videos keep it up<br>👍🏼,0,2024-12-21T15:47:43Z
@FezekileMkhengcele-c8b,thats crazzy,1,2024-11-30T18:00:18Z
@CalvinHarrisH-l4m,Goat I need you,0,2024-12-03T02:13:41Z
@DianaMerlusca,She will say kiss me😂😂😂,0,2024-12-16T18:16:48Z
@PoppyFox-wd7wi,I love your family so much I love your son and your daughter,0,2024-11-04T20:40:41Z
@DarylWhiffen,I like the video ❤,0,2024-11-09T13:53:19Z
@Pookiedodes21,Aww I’m sorry,0,2024-11-15T23:23:17Z
@Batsuuri5678,Get well soon😅 🎉,0,2024-11-08T10:12:00Z
@SuryadevSunil,Hope u fell beter niko,0,2024-11-05T16:59:45Z
@williebraxton9634,I&#39;m so sorry for you  😭😱🥺😢😥😓😪🤧,0,2024-11-22T21:10:41Z
@darrickrobinson6259,Never back down never what,0,2025-02-02T03:19:38Z
@TcsSwerve11,IS this in Kawie is so beutiful,1,2024-12-15T19:11:31Z
@Clairelindley2526,Niko hope you get better and neo looked like a crab 😂😊❤,0,2024-11-05T19:01:19Z
@ImEmmaCupcake,I have the same stitch backpack as amalla,1,2025-02-04T23:54:30Z
@wolfchusquad54,Bro be careful next time❤,4,2024-11-04T02:19:11Z
@marineltolentino1739,Me and abella have the same swim suit and I love it 💗✨,0,2024-11-18T05:24:57Z
@Princessoftheslllllaaaayyywwwo,womp womp get over it man ur grown!,0,2024-12-03T18:25:15Z
@TonyaWalker-b3e,Don’t worry I can feel ur pain I did a belly flop in the pool once and it hurt 😅❤,0,2024-11-05T20:51:21Z
@olive6santillana400,Wish i had parents like that..,0,2024-11-24T22:29:20Z
