Author,Comment,LikeCount,PublishedAt
@shrekylove142,Friend: Can I use your toilet?<br>Her: Oh sorry it’s cake,6431,2024-07-01T19:52:27Z
@GemmaFlack,Why u so good at that😭😭😭💅🏽💅🏽💅🏽💅🏽,16,2024-08-31T22:23:09Z
@BPxBM1,Friend:Why ur body is smelly<br>She:Oh sorry! I made of cake😊,10,2024-09-24T19:08:45Z
@GajendranPrajesh,Friend : can i use your Bedroom😊<br>Me: ok <br>Friend: why your pilo is like hard <br>Me : oh sorry its a cake😅😅,9,2024-12-08T16:18:37Z
@cinthyajulissa3738,Extraño : puedo sentarme <br>Ella : es pastel <br>El :🙄👁👀,12,2024-10-19T01:29:54Z
@Yigit_Yaren,Abla evinde pasta olucak diye korkuyorumm😊😂,2,2025-03-29T15:46:21Z
@charlesokpomo7076,"Imagine if her whole house was cake<br>Edit:mom I am now popular! TY for the likes, well the likes really blowed! up almost 1k wow<br>Edit2:I can’t believe It but I have to say it :<br>MAMA I AM THE FaMOUS!",1744,2024-06-04T16:29:20Z
@ivanellaworld9809,Next episode : water is cake💀,32,2024-08-18T22:45:55Z
@HdkfkjfJfjdjf,I want a house like this 🙂,12,2024-11-21T22:38:55Z
@JaroslavPecha-n3r,WOW reall but Cake<br>❤😊😊😮😮😮,1,2024-10-29T16:29:09Z
@sabina.musaeva-vz4fz,"Какая нежная, сразу видно воспитанная, скромная ❤",16,2024-11-12T20:53:37Z
@FunnyMemesDaily_YT,I think the plate at the start was cake as well xD,8,2024-10-23T12:44:36Z
@АсиятМагамедова-о2ф,У нас такая же тарелка 😊,88,2024-06-02T15:13:06Z
@lenfantaurore8607,Tu fais des gâteaux trop beau mettez-moi des like parce que elle fait des gâteaux trop beau s&#39;il vous plaît.😊❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2,2025-02-01T12:29:43Z
@Pinkunicorn148,You’re amazing cake genius,769,2024-06-04T19:32:42Z
@TapaswineSamantray1987,Talented girl 😛noice,6,2024-10-29T05:13:52Z
@QwerGsgdg,It&#39;s Omar&#39;s sister❤❤️‍🔥❤❤❤😍😍😍😍😍,15,2024-05-31T17:54:22Z
@خطابمحمدعبدغالبحيدرالحمادي,"Wow, so cool",2,2025-04-10T18:06:06Z
@fatimapaolamorales9744,"It&#39;s very cool, just don&#39;t let the water go.",9,2024-06-13T01:18:17Z
@Ckil123,Весь дом скоро в шакаладе будет😂😂😂😂,31,2024-06-21T23:48:51Z
@kindergarten-j6x,Make Water cake and eat it 😂😂😊,15,2024-10-03T14:04:00Z
@SajenaA-k7y,Wowsuperrealno❤❤❤❤🎉,1,2024-11-04T08:43:12Z
