Author,Comment,LikeCount,PublishedAt
@WackyHippo,The 2 missing spots are gonna be the death of me 💀,5661,2023-09-20T03:59:39Z
@Cryptid_Tophat,Wow can&#39;t believe a 13 yr old beat it for his dad nice job keep on playing,301,2024-01-19T00:56:55Z
@Jax_brix,now this is why my packages keep going missing,360,2023-05-20T12:12:38Z
@Julian-Russel,i like how the ship lost weight after the cargo dissapeared,100,2023-07-01T23:57:59Z
@Szpieg2000,Physics left the chat<br>Physics joined the chat<br>&quot;sorry guys my internet cut out&quot;,1301,2023-07-09T14:13:06Z
@picturebreakdown,"Tony Stark: “That man is playing Tetris“<br>“Thought we wouldn’t notice, but we did“",4991,2022-10-11T04:49:06Z
@JinxAndFlags,The most rarest moment when Zach don’t do a loop vid:,26,2024-03-30T19:07:20Z
@crboxyt,And ladies and gentlemen this is how same day shipping packages get separated from the others and shipped,1260,2023-05-17T17:57:14Z
@Display-Forest,"If this was real, I’d be Vibing everyday getting new world records",6,2023-11-24T04:05:18Z
@TheAverageDexter,“So that’s why my shipping is late.”,26,2023-08-27T21:27:57Z
@gamercool92,“i got a bit bored”<br><br>-Zach king,8,2024-03-23T19:58:08Z
@thatza547,"Customer: So, where is my package?<br>Amazon: It got Tetris-ed",11,2024-05-17T10:49:50Z
@Yetta_,Mexican immigrants in the storage containers rn: 💀,4158,2023-05-09T08:25:54Z
@WGWP,People wondering why cargo are mysteriously floating:,22,2023-09-09T17:42:47Z
@AwesomeAdrianG,This was the best part of my day,3,2023-09-03T15:21:02Z
@OfficalPunished,Who let this man on the job?,241,2023-05-27T21:39:32Z
@ohenekhofi12,Feeling sorry for those whose cargo disappeared into the netherrealm,789,2022-10-11T11:45:23Z
@blackbirdbaron2217,"&quot;Not again! Zach, you&#39;re fired!&quot;",43,2023-04-12T01:50:15Z
@arturobozzo6276,Bro was playing tetris in his job 💀,1,2024-01-03T04:55:22Z
@tripleefl5053,"Zach king went on budget, the water is crazy realistic 😂",78,2022-11-22T18:52:56Z
@boogiehasfun,zach king has improved so much over the years it’s crazy inspiring,29,2022-11-26T03:06:57Z
@pauljennings5341,NEW HIGHT SCORE CONGRATS!!!👏👏👏👏👏,138,2022-10-11T04:44:33Z
@dieseldragon6756,"Man, call me an ambulance! This has got me in stitches! 🤣💯👍",0,2024-06-28T18:46:01Z
@leociresi4292,"I wanna see a C-Spin, OR YOUR FIRED!😂😂😂😂😂😂😂😂😂😂😂",1,2023-07-30T01:43:56Z
@henryross1487,This is what Tetris be like at 3 AM,20,2023-03-03T01:58:50Z
@maybe7189,that alarm sounds like my dying phone,7,2023-05-21T12:36:15Z
@Praytojesusimmediately,&quot;port workers when they&#39;re bored&quot;💀💀,7,2023-05-17T09:15:34Z
@THEGRINCH100,“Sorry one of our workers made your order dissolve 😍💅”,3,2023-06-10T15:03:11Z
@princesscat9784,The best I&#39;ve seen yet.  You have amazing ones. I love playing Tetris growing up.  Makes me smile. To do this in real life. That&#39;d be the best!  Possible is Possible!,0,2023-08-26T22:00:04Z
@soranibrahim5334,As a professional tetris tournament champion 3 years in a row I admit these placements would trigger any professional tetris player.,107,2023-05-22T05:27:46Z
@TheThomasBros,Always nice to see some Zach King magic,4,2022-10-12T01:10:24Z
@TheCaptainSurreal,Your videos are so great! Love them! I hope there’s nothing valuable in those crates…😐,40,2022-10-11T05:09:28Z
@Parkourlegend-hi8ry,Him casually making a red container float:,0,2023-11-23T21:02:09Z
@martingarcia1170,"Bro, forgot to turn off his Tetris mode off💀🙏",1,2025-02-26T23:48:55Z
@---Sasha---,This gonna become popular,10,2022-10-11T04:43:29Z
@n30natomicnum10,Bro had Tetris irl💀,12,2023-05-26T17:24:59Z
@beanburrito1002,"&quot;ZACH YOUR FIRED, THIS ALWAYS HAPPENS WITH YOU&quot;",51,2023-04-04T21:05:42Z
@dafan-uv8vf,Bruh all the people that hate this video just because he made “the wrong placements” (yes I’m talking to you @ashethefurryfemboy) NEED TO F OFF. ITS SUCH A GOOD VIDEO AND YALL ARE RUINING ITS THIS GUYS REPUTATION BECAUSE YOU ONLY CARE ABOUT THINGS BEING PERFECT,2,2024-03-22T06:08:06Z
@blahajlover371,TETRIS <br>ENABLE RTX?<br><br>    &gt;Yes<br>       No,3,2023-09-11T06:12:22Z
@ZzennX,You need an oscar,1,2023-09-23T04:40:36Z
@zerodiversion4509,Makes you wonder what were in those tetris cargo containers,19,2022-10-11T06:50:13Z
@alibezghiche5488,L&#39;une des meilleures vidéos nostalgique 😂,4,2022-11-30T11:44:28Z
@Suchsdirhaltaus,&quot;GOD DAMMIT I SAID NO TETRIS! WHO DID THIS?!&quot;,269,2022-11-26T05:40:25Z
@CalwbRBLX_4,When he forgot Gravity exists.,1,2024-01-21T23:55:24Z
@lilyofluck371,"Wow, I didn&#39;t know pixel got a sequel",2,2023-06-11T22:27:12Z
@notinreality,you&#39;ve come a long way from vines,8,2022-10-11T04:47:41Z
@Fallen_Prince69410,That one rich kid on his weeks:,17,2022-11-27T17:00:05Z
@Paracetamol985,Animator need an Oscar,8,2023-04-06T12:44:10Z
@alexandruevelintoca2282,The Boss:you are fired now!,1,2024-08-28T08:58:29Z
@gauravuppal4960,This man really amazing👍,0,2023-06-27T09:30:46Z
