Author,Comment,LikeCount,PublishedAt
@denismagicshow,"Please SHARE this video to your friends, LIKE it and write a COMMENT! I&#39;ll be sure to reply 😊<br>If you love my videos you can SUPPORT ME ❤️ (link in the channel description)<br>🍩 PayPal: denismagicshorts@<a href=""http://gmail.com/"">gmail.com</a>",118,2024-01-31T12:01:16Z
@Afrozebujji,The enemy of all magicians😁😁,306,2024-01-31T12:11:25Z
@НаталияВасильевна-ь9о,Магия супер!!! Превосходный фокусник у тебя здорово получается!!! Спасибо🙏💕 учитель!!!! ❤,51,2024-01-31T12:20:10Z
@byetoday4606,He will destroy all magician careers,66,2024-01-31T16:13:22Z
@mujahidshaikh3869,Bro makes new enemies everyday,94,2024-01-31T12:50:39Z
@tutorialsintwi,This tutorial needs a tutorial ✔️💯,42,2024-01-31T19:37:15Z
@sigedsubagio470,Absolutly Brilliant.❤❤❤,13,2024-01-31T16:21:16Z
@NothingMaster,"Absolutely brilliant, as usual.  🎉🔥👏🏻👍🏻",2,2024-01-31T13:16:25Z
@TỷPhạm-l7j,"Trời...! Vậy mà cũng nghĩ ra được,hay thật,1 like cho bạn nhé hihi",1,2025-03-27T00:44:11Z
@AZG900,Eres el diablo 😈 😅😂😂😂😂😂❤,1,2024-01-31T12:30:34Z
@mr.cooldiydude-xx5ip,Protect this man at all cost.,0,2025-04-19T16:47:41Z
@smdalihaider6756,That Drink 😂😂Happens with me quite often while opening Cold drinks 😂 never shake them btw 😅😂,1,2024-01-31T12:41:04Z
@Kpop-_-Blink42,Cool idea 😎❤,1,2024-04-19T15:00:00Z
@SteelHeaven-lq1ic,Our magician killer not always a killer but also a magician teacher👏👏👏,0,2024-09-10T15:27:33Z
@riquepatel5988,I appreciate that you reply to everyone nice magic 😊😊,0,2024-02-04T09:48:14Z
@creatorbysandipboss,Next level video ❤,3,2024-01-31T12:16:53Z
@MO25188,You destroyed who call themself magicians 😂😂😂,0,2024-02-13T12:30:51Z
@SantiagoCohen-uw9by,"Nice! You did it better, you are the best :)",0,2024-07-18T21:49:13Z
@Ebiniko,عالی بود ممنون خیلی جذاب وهیجانی ودیدنی 😊❤,0,2024-02-01T02:15:43Z
@tjlaviolette,Love this one! Thanks!!,0,2024-02-01T20:44:15Z
@korayozbilen66,Senin sunum tarzına bayılıyorum.<br>❤,0,2025-03-24T23:52:17Z
@Brick_RBLX,He looks so happy 😊,0,2024-12-09T02:14:39Z
@misterbatman5053,Супер! Отличный фокус! У вас очень интересные ролики👍,0,2024-02-15T05:37:02Z
@hugomazariegos7406,Me encantó!!!!....👍👍,0,2025-04-14T15:43:38Z
@yusofproduction,thnks for the tutorial.. loveit very much friend.. ❤❤,0,2024-02-06T04:12:27Z
@pavanyegireddy6957,This was really a good one keep it up sir,0,2024-01-31T15:37:34Z
@perukar971,Так вчора було мохіто а сьогодні фанта 😂😂😂 Денис коли стрім буде?,0,2024-02-18T12:47:18Z
@goldstein1,Клеевой пистолет и ловкие руки - главный секрет фокусника❤,0,2024-02-01T17:50:54Z
@damodharr_viss,you are genius bro😊😊,0,2025-03-09T17:38:23Z
@netrosbrost6000,Team people who didn&#39;t understand,2,2024-03-19T19:44:10Z
@RastaMafia33,Да тебе ракеты строить надо с такой находчивастью),6,2024-01-31T16:18:11Z
@kleyttondias5773,Rapaz eu amo teus vídeos sempre bem humorado...  Só fico pensando a quantidade de ilusionistas que odeia você em😅😅😅 parabéns amigo abraço,0,2024-02-17T17:57:49Z
@Aaaaaa-ss7xw,انت تبذل الكثير من الوقت والجهد مبدع,0,2024-12-12T13:33:26Z
@Sleepy_eyes212,Dude you r causing someone loosing his job 😂,0,2024-02-10T11:26:54Z
@Janibek-f4c,Керемет 😅👍🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿,1,2025-01-23T10:15:43Z
@Marek036,Saludos desde México 😄🇲🇽🇲🇽🇲🇽,0,2024-02-04T21:17:03Z
@markuslappalainen6847,Magicians union might make Dennis disappear,2,2024-04-14T19:50:07Z
@amirrex7191,You are amazing bro😂❤🎉,0,2024-01-31T19:09:06Z
@pasqualinacolella1672,Che grande  che sei 👏👏👏❤️,0,2024-03-03T14:58:12Z
@APlusRussian,Fanta-stik trick 😜,1,2024-02-07T04:52:56Z
@Om36000,Lovely Smile and trick as well 😊,0,2024-02-10T13:18:05Z
@elsagopar9218,Gran truco ‼️👍🏻👍🏻👍🏻,0,2025-02-17T23:33:59Z
@seanm3189,masked magician ❌<br>denis ✅,0,2024-02-03T16:34:53Z
@a.orobas,"&quot;мёд пиво пил, по усам текло а в рот не попало&quot; 😆👍",0,2024-01-31T21:38:53Z
@Wass2978,You&#39;re so smart I like what you are doing,0,2024-03-23T20:34:51Z
@1987Nhan,Video Very good 🎉❤,0,2024-05-25T23:35:28Z
@dragongamer-pro,nice magic your a magician,0,2024-07-31T13:56:09Z
@vshah1010,"This is good. My drink will have to be sugar free.<br><br>It seems like a good idea is to throw the bottle in the trash when you are done. That makes sense. People won&#39;t want to examine the prop if it is in the trash.  <br><br>Also, the bottle should be almost empty after you &quot;drink&quot; it.",0,2025-01-18T19:04:21Z
@ShSh-u6m,Ollohdan boshqa hech kim sexirgar emas😢,1,2024-05-10T15:21:18Z
@Armasdiversas2025,<b>Não entendi nada🤦</b>,2,2024-02-04T22:45:15Z
