Author,Comment,LikeCount,PublishedAt
@michaelwagner5927,"Interesting how the note the ball makes when hitting the tuning fork is an octave and a 5th above it. One of the harmonics, not the fundamental",34255,2023-06-13T08:52:11Z
@cgabriel7311,I was playing my bass one day and discovered that the glasses in my cabinet are tuned to &quot;G&quot;,1052,2024-04-05T16:17:07Z
@vampirongosangronzon3165,Frequencies are incredible. If you play a guitar or bass very loud inside a house there is always a chord that move the whole house. My apartment is in A.,2944,2023-08-04T03:03:33Z
@MultiCren,You can do this on stringed instruments too. If you match the pitch of another string it will spontaneously vibrate.,15,2024-03-24T06:11:13Z
@arthurluwuge1629,Resonance is one of my favourite concepts. Such a powerful force,3719,2023-06-27T12:44:29Z
@kevinlalla2434,Why I didn’t have a physics teacher like this in secondary school. Such a great way to explain resonance.,719,2023-07-11T21:12:20Z
@RespecDName,People who can make learning fun are truly talented people,932,2023-06-26T21:07:41Z
@matthewnorman2951,It is the same way 2-way radios know when to receive audio and play the sound from the carrier wave.,275,2024-03-02T02:46:20Z
@liveintermission9145,My dude just explained the calibrated skulk sensors,8260,2023-06-15T08:51:04Z
@matthewnorman2951,Old 2-way radios (walkie talkies)worked by using grown crystals cut at the right size for the proper frequency resonance to activate the receiver. Every radio had a slice of crystal in it. Pretty wild.,317,2023-06-20T13:44:25Z
@ryonatimefun7814,I love science demonstrations like this,644,2023-07-05T16:02:22Z
@AlEbnereza,They’re vibing.,132,2024-04-23T15:50:20Z
@harringtonshaw1865,"This is called sympathetic resonance, it’s part of the nuance of the sound of many instruments, especially strings!",548,2023-06-17T02:16:52Z
@HighMojo,I like how you used a ball to visibly illustrate the sympathetic vibration.,654,2023-06-19T17:40:16Z
@smokonlytree,This is how physics class should be. More people will be “Willing” to learn it and enjoy it.,623,2023-06-22T05:25:04Z
@piyasaha5357,Thank u this video helped me understand sooooooo quickly &lt;3,1,2024-11-14T11:34:17Z
@Drawfill,"harmonics are mindblowing.(not just talking about the sound version of them... it also happens in various settings like electric systems, mechanical systems, and so on...)",86,2023-06-21T03:07:41Z
@cdrmusicaz,i wish every single reel on my feed was like this,641,2023-06-22T22:49:55Z
@henrykins,It&#39;s awesome how intuitive a lot of physics concepts are when you have the opportunity to just observe a good example of them.,500,2023-08-27T21:27:06Z
@larcomj,Great example. I think this is a good way to show how resonant inductive wireless power transfer works. Amazing how seeing the effect makes such an impact.,0,2024-07-13T23:34:24Z
@tom_something,"Right now, my neighbors are playing really loud music, and something in my room is resonating with the low end and rattling. So I&#39;m living this exact experiment right now.",248,2023-06-19T02:54:00Z
@michaelhoulgate5818,This is how to teach physics. Great stuff.,816,2023-08-14T08:08:22Z
@shaggy.patches,Sympathetic vibration is something we combat or harness in the musical world all the time. Great display of this property.,277,2023-06-22T05:30:02Z
@harshalkulthe6984,The tuning fork experiments were my favorite in 11th grade. It was just so great to learn acoustics and harmonic motion together,0,2024-05-22T15:10:57Z
@IvanKuckir,"If you have a guitar in a room, you can &quot;play any string&quot; just using your voice (at the right pitch), and you can still hear the string even after you become quiet.",725,2023-06-29T21:25:50Z
@eldeefitty4473,"Same thing happens with playing stringed instruments. When an open string&#39;s note is played on another string, the open string will hum and vibrate, resonating with the frequency",393,2023-06-18T04:09:26Z
@corvusmonedulas4895,"For those wondering, it&#39;s called sympathetic resonance.<br>As a musician i forget how magic this is sometimes. Thanks for sharing to the world",66,2023-09-16T01:48:36Z
@TheOne-ry6mt,That&#39;s why we should be around people we resonate and vibe with on the same wave 😊,0,2024-09-09T06:08:01Z
@liammcleod476,A really cool way to visualize how you can tune to varying radio stations depending on frequency,145,2023-07-19T04:24:42Z
@lucasjuliancarballeira6392,"It also works in octaves. Becomes annoying when playing classical guitar because some strings will resonate when you don’t play them. Sometimes you have to mute them. Also if you play a loud chord on electric guitar or speakers, another guitars strings will begin to vibrate",289,2023-06-21T06:55:31Z
@johanneswohler5476,this resonated to me in a lot of ways :),86,2023-07-06T15:14:13Z
@go-to-study,Wow😲Physics cs is really nice I love it💗,0,2024-01-17T10:17:25Z
@wailingalen,"I love sound wave experiments. As a musician this stuff fascinated me! Standing waves, harmonics, Fourier transform, all of it",50,2023-06-25T05:09:16Z
@jancarloanguiano5220,This sounds like a bell you would hear at a pier or shipyard.  It’s so relaxing.,729,2023-06-21T07:00:29Z
@tyoung9012,We used these to calibrate radio frequencies back in the day because the harmonic frequency of the fork was so precise,143,2023-06-18T17:17:09Z
@mr1880,"You can do this with exact multiples of the same frequency, too. If one is tuned to, let&#39;s say, C, then all other C wavelengths will also resonate with it because going up or down an octave is exactly twice or half of the frequency, making the peak of the soundwaves match, and also energising the other fork.",0,2024-07-25T14:07:28Z
@GhostOfCaerbanOG,Sympathetic resonance makes my guitar strings sound every time my dog barks. 😂✌️,774,2023-11-28T18:42:11Z
@andrewkenney7792,"This is why the hydraulic pumps on fighter aircraft rotate at slightly different RPMs. If they spun at the same RPM, they would harmonically synchronize and destroy themselves.",37,2023-10-15T04:38:07Z
@foleysmith6779,I use this property to tune my guitar. there&#39;s actually a physical technique stringed musicians use called harmonics where we separate the string at very specific spots to make one string resonate 2 notes.,179,2023-06-20T07:48:20Z
@toaster7254,"This is a very cool demonstration. On piano something similar can happen. If you hold down C in the bass (without making a noise), and play C in another place, the C you played will resonate off the bass C, and you will hear faintly the C you played. This works for any harmonic. For example hold the bass C again, and in the octave above, play C E and G, strong and quick, you will here the C major chord play in the bass C string!",0,2024-01-06T19:26:58Z
@aSIMetrical,Reminds me as a kid walking into the bathroom while performing vocal warm-ups and discovering that D# was the resonance frequency of the bathroom stalls.  The first time it happened sent chills down my spine as the whole bathroom got suddenly louder.,250,2023-06-20T13:35:13Z
@stevenroper3577,"I knew about sympathetic frequencies and feedback, but this is incredible. This might help explain why people experience music/vibes and so on, as they do.",343,2023-07-04T00:46:38Z
@shawnmoebius5997,It’s amazing that harmonics and vibrations are prevalent throughout the universe but go unnoticed most of the time.,317,2023-09-06T20:29:27Z
@tachina5655,"I found this out when I was a kid. My guitar was in the corner of my room and one day I decided to start singing, which I do normally, but this time I hit a note that perfectly matched the tune of one of my guitar strings and it started vibrating as I was singing.",1,2024-02-13T17:45:40Z
@frogington3892,"As a guitar player I use this when tuning my instrument. If I&#39;m tuning to an open D, some of my strings I&#39;ve already tuned will start to resonate when I correctly tune my other strings!<br><br>Edit: to anyone who thinks this isn&#39;t a good idea, I&#39;m sorry you don&#39;t have as good of ears as me. Because when I go back and check, low and behold, they&#39;re spot on 95% of the time. Crazy the amount of doubt the Internet has",55,2023-06-14T20:25:37Z
@johnathanasiou9284,Great demonstration of resonance &amp; using audible  waves makes it easier to understand.<br>RF tank circuits work in very similar ways,4,2023-06-22T05:53:57Z
@jeffreywilliams5871,I used to play a upright piano with panels open in the same room that stored a drum set. Always loved being able to get the kick and the snare to rattle just by playing the piano.,40,2023-08-05T03:00:00Z
@RaviPrakash.Official,This is all about resonance and frequency. Nicely explained.,0,2024-01-25T04:02:13Z
@zodidinsofute8218,When you naturally vibe with someone’s energy…I resonate 👌,328,2023-07-12T18:34:04Z
@sohum_g,physics is so cool when you figure out stuff like this,14,2023-10-02T18:04:27Z
