Author,Comment,LikeCount,PublishedAt
@Anastasia_1256,The Jim Carrey one is GOLD and is so accurate the facial expression totally matches 😂,178059,2024-01-04T16:29:50Z
@DanielLaBelle,"Since I started almost 4 years ago, I think this video set a record for the most falls required to make a video.",17585,2024-01-04T16:26:05Z
@klcpca,Can we just take a few moments to appreciate how  INCREDIBLY athletic this guy is???  Not to mention how spot on his impersonations were.....,21394,2024-01-12T20:28:30Z
@Vidyut_Gore,I couldn&#39;t trip accurately if I knew the branch was there. What athleticism and mimicry talent. Superbly done.,50,2025-02-28T15:22:20Z
@Casimenori,"The Jonney Depp one was so accurate, he got the stance and eyes on point 😂",8816,2024-01-12T01:43:49Z
@zamorak1999,"Imagine walking calm nearby, thinking absolutely nothing and seeing a guy tumbling over and over again",4918,2025-01-16T17:47:47Z
@marsella527,The Jackie Chan flip was smooth af,50620,2024-01-05T02:19:52Z
@djGreenALERT,5.4 million likes STILL isn&#39;t enough for this!!! Genius,7,2025-03-02T07:04:12Z
@sushi_man3512,Can&#39;t believe that log just randomly levitated and snapped in half all by itself,3365,2025-01-17T21:27:24Z
@chandlerprescott2276,The courage to run full speed knowing your gonna trip is crazy,15672,2024-01-05T02:26:19Z
@rakx7683,"We all know he&#39;s athletic and all, but aren&#39;t we gonna talk about the branch&#39;s performance? It gave its life for the role",6584,2024-01-13T23:33:06Z
@Ahmiseysoh75,The amount of work he put into this video! Very impressive and so true to character. Had me laughing  every time😂,11,2025-02-26T18:04:28Z
@kaylee8451,"The Tom cruise one is so satisfying cause there’s like no pause, no gap, he just books it",3927,2024-01-14T13:19:17Z
@Dark_Knight_10,At this point I&#39;m convinced that this guy will never run out of quality content.,7327,2024-01-10T19:31:58Z
@ParanoiaKeepsMeWake,"Jackie Chan was too accurate, the run, the flip, everything 😂",6832,2024-01-13T13:55:44Z
@ChichiNNACHI-u3g,Love The: <br>-Michaël Jackson Type<br>- Jackie Chan <br>- Tom Cruise<br>- Rowan Atkinson <br>-Johny Depp<br>- Chuck Norris <br>- John Cena <br>Thanks for this content,109,2025-02-13T10:54:49Z
@SergioAranibar,He’s gotta be a stunt man. All the characters that he imitated are<br>accurate. Nice job 👏👏,13393,2024-11-02T11:14:32Z
@jsteezy80,Some of these are so accurate 😂 I was waiting for Mr Bean to trip on the grass after moving the log,6858,2024-01-14T18:36:18Z
@marlenamorgan8826,The fact that the &quot;ugh&quot; for Keanu Reeves sounded accurate gets me everytime😂,3853,2024-01-15T20:47:14Z
@aj_chan,Way to honor Curly! The Three Stooges routines gotta be close to a hundred years old by now. Glad someone is keeping it going nyuk nyuk nyuk,20,2025-02-08T01:05:05Z
@thuglaza4728,In the Jim Carrey one he was fighting the urge to say &quot;Alrighty then!&quot;,1910,2024-01-16T10:53:20Z
@vincenzodraghicchio340,MrBean just casually being smart 💀,15793,2024-01-12T21:41:38Z
@Zyskr..,the fact that the branch survived Chucks presence is amazing,2019,2024-01-14T09:41:03Z
@e.a.w3561,So much talent !!! ❤❤ The facial expressions but also your mannerisms!,6,2025-02-06T00:09:45Z
@WickyLindows88,It’s stupid just how accurate and well done these impressions are. Your content is gold. Hope to see it forever.,2950,2024-01-13T02:39:10Z
@robertchaney2704,It&#39;s actually crazy how accurate these all are,948,2024-01-15T18:02:18Z
@Aquanington,The John cena one is so funny with all the cheering 😂,9745,2024-01-04T16:27:37Z
@dannyburleigh1,This is actually pretty GENIUS.,3,2025-02-05T18:05:27Z
@almostrobotics,"Can we just take a moment to realize how athletic he is, he moved in ways most people couldn&#39;t dream of lol.",2411,2024-01-15T23:04:41Z
@MGooGM,The Keanu Reeves &quot;ugh!&quot; Was spot on. I actually saw his face when I heard it in the form of Bill and Ted.,503,2024-01-13T23:25:49Z
@MrGameControler,"After watching John Wick 4, I was convinced your Keanu Reeves was going to keep rolling 😂",2235,2024-01-14T07:37:50Z
@KozDraAni,lmao XD jackie chan love it it&#39;s perfect,1,2025-02-06T01:52:14Z
@shrekaro678,The Mr. Bean one was so accurate💀💀💀,37645,2024-01-13T09:40:57Z
@melneils9106,"So well done. Not only an athlete, but you&#39;re a true actor to be able to embody each of these distinct people. The nuances of each individual are demonstrated so skillfully its a joy to watch. (I watched this three times in a row lol)",460,2024-11-14T09:07:35Z
@rubygracemoseley8144,"1. This was so accurate like the mannerisms, the facial expressions, the way they would fall…all was so accurate! Perfect impressions <br>2. YOU ARE SO INCREDIBLY ATHLETIC! Oh m gosh! That was insane!",1611,2024-11-08T03:43:47Z
@1wdkone,How in the world can he match the actors just right<br><br>This man’s got talent bro😎,3,2025-02-15T16:45:42Z
@mikeaninger7388,The accuracy of the Jim Carrey head Bob was perfect,939,2024-01-12T15:10:01Z
@Ninja_Lee10,Imagine just someone watching a grown man tripping then getting on all fours and start barking 😭,813,2024-01-13T12:02:32Z
@thediamonddragon1369,"I love that Mr.Bean seems sensible at first just lifting it over his head then to place back down in other people&#39;s way again, is so Mr.Bean",2885,2024-02-06T19:42:51Z
@MelissaCarrier-w6w,Spot on for each one. Lol. It was funny.😅,2,2025-02-06T15:03:01Z
@0815Minion,At least three times I thought it couldn&#39;t get any better. But in the end the Chuck Norris one absolutely killed me 😂,748,2024-01-12T08:27:36Z
@YaGirlRen,"Physical comedy is so under rated!! As a dancer, I’m a huge fan of art that transcends language barriers… keep it up!",1644,2024-01-15T16:00:42Z
