Author,Comment,LikeCount,PublishedAt
@XWRLD_arg,Let bro cook everytime 🥶😎😎,22974,2024-07-09T00:44:27Z
@queenlyvibes977,broooooo you nailed it I can&#39;t just stop going back to watch it,427,2024-07-25T21:16:14Z
@SanaFatima-nf7cg,"So smooth and satisfying bro😎 I, just love it!",116,2024-10-12T18:16:53Z
@JamalTheFriendlySmiler,"bro not only just cooked , HE SERVED 🗣🔥🔥🔥🔥🔥",1265,2024-07-23T15:49:10Z
@Mistikkullaniciadi_13,"The transition is perfect, the ambient pattern is also perfect. Everything is great my friend!",239,2024-07-30T09:29:21Z
@shahanarabanu514,&quot;Bro is a real chef now&quot;👨‍🍳<br>Let him cook🗣️🔥🔥🗣️,814,2024-07-27T09:50:35Z
,That transition is smoother than Mr. Cleans forehead🥶🥶🥶,8,2024-10-06T21:53:15Z
@BunnyChetbi,&quot;how many times have u watched this!&quot;<br><br>Me: &quot;yes&quot;,760,2024-07-12T15:26:27Z
@miragaming-xd,They are not just satisfying but smooth,20,2024-07-31T10:10:22Z
@Doing_Aviation,bros cooking so much to the point he started a nationwide fire🔥🔥🔥,761,2024-07-10T12:47:15Z
@sophiesingh1472,I’ve watched this 23 times soo good😂🎉🎉,10,2024-09-12T05:50:24Z
@yourmyfavs77,BRO THATS SO CLEAN I SWEAR,225,2024-07-19T20:25:59Z
@AbhikSarkar-rg5dx,Bro I  don&#39;t know why I feel so much satisfied and peace everytime I watch it 🕊️🕊️🕊️🙂‍↕️😌🙂‍↕️😌,491,2024-07-16T11:42:15Z
@tree1541-ye1rw,BRO COOKED AND HAD US LICKING THE PLATE🔥🔥🗣️🗣️🗣️💯💯💯💯💯💯,228,2024-07-24T00:50:06Z
@Ghidora666_gaming,Videos like these And transitions like these are the Reason I subscribed.,1,2024-10-18T10:07:50Z
@pearlsssssss,"he cooked, he baked, he boxed up, he delivered",380,2024-07-26T23:33:52Z
@lifewsummerxx,"the birds are paid actors, flawless! ❤",354,2024-08-07T09:22:26Z
@dragonGUYZyt,"He COOKED, SERVED, and got a $1000 TIP, that’s how good that was",36,2024-07-30T10:29:45Z
@frenchfraise56,OMG THAT TRANSITION IS SO SMOOTH!😮,1,2024-10-05T22:24:28Z
@InfiniteSavitar,Bro cooked so hard Gordon Ramsay didn’t curse🔥🔥,494,2024-07-20T09:06:20Z
@yungdinoboiiggmgodgotsme9038,Hadda watch about 100 times ..soo clean😂❤,113,2024-07-12T01:44:39Z
@Spymav1234,HOW DO YOU DO IT SOO SMOOTH AND PERFECT🤯🤯🤯🤯🤯,0,2024-10-06T17:24:34Z
@YuhNasah,His powers are incredible. Nobody can stop him. 😮❤,173,2024-08-12T14:12:00Z
@javedsayyed2215,Bro just can&#39;t stop cooking ❤️‍🩹,21,2024-07-22T01:12:14Z
@YasmeenMcBride,That was the smoothest transition I’ve ever seen❤❤❤,18,2024-07-26T22:29:28Z
@emineguven3565,Your talent is amazing! Keep up the good work.,0,2024-10-19T15:18:03Z
@TheGoldenApex,Nahhh that was sooooo good!!! I had to watch that like 20 times lol😂😂😂🔥🔥🔥,200,2024-08-05T17:54:54Z
@priscillaramirez-ek2gt,You’re the king of transitions!!💗🔥🔥,14,2024-08-04T08:35:26Z
@Queen_Mafia7,Bro i can&#39;t stop watching this🗣️🗣️🗣️,49,2024-07-30T15:18:54Z
@PichcheataLy,Omg that is so smooth edit and satisfiying,0,2024-10-13T21:04:05Z
@Wompwomp391,BRO THE TRANSITION IS SO PERFECT BRO 1000/10,116,2024-08-01T12:06:54Z
@محمدفهدالسباعي,My God this guy doesn&#39;t stop cooking,289,2024-07-04T10:49:56Z
@H.K.5,He just flooded the entire city 😂,123,2024-08-08T09:43:28Z
@Cutiexd994,The amount of times i replay he’s vid man keep cooking like always,0,2024-10-25T19:58:01Z
@XGolf7,"Dude, this guy is so underrated!!!🔥🔥🔥🔥🔥",314,2024-07-09T02:16:48Z
@RexyyEdits54564,Bro trasition is smoother than my life😂😂😂😂😂😊🎉,133,2024-09-06T06:37:51Z
@Dti_mylife,BRO THAT TRANSITION IS FIRE 🔥 AND IT EVEN SMOOTHER THEN MY FOREHEAD,10,2024-07-21T01:49:46Z
@MrAnthonyVR,The chef served ONCE AGAIN BOI,2,2024-10-11T12:40:07Z
@Odurs,Bro&#39;s cooking skills are truly impressive! The transitions are so smooth and satisfying.,587,2024-08-01T15:57:28Z
@KhloeDeacon,I swear they get better every time I can’t stop watching them,45,2024-08-08T09:45:28Z
@Random-dc4rl,This dude right here has the cleanest transformations!,7,2024-07-21T11:09:36Z
@Titan_Thanos,DANGGGGG 😵😵😵😵😵that’s tooooo smooth,1,2024-10-06T08:21:35Z
@可,Bro&#39;s transitions are like magic! He&#39;s truly the king of smooth edits.,304,2024-08-04T12:48:57Z
@dreamscapenow,Actually you sparked so many emotions at once 😂😂😂😂😂 that was 🔥 tho. That Carolina blue 🌊 hit.,25,2024-08-01T20:23:35Z
@TheOriginalByteBuilder,That is the best transition than I will ever be able to do or see.,99,2024-08-08T22:13:21Z
@有,"Bro&#39;s transitions are on another level, he&#39;s got skills!",235,2024-07-29T15:56:51Z
@TYRobertBs,Needs more recognition. This is awesome.,49,2024-07-11T18:09:23Z
@GearStorm2011,The bottles breaking in time with the music made it better🔥🔥🔥,146,2024-08-15T13:46:28Z
@craigkavanagh3259,That transition was so clean 👌🏻👌🏻👌🏻👌🏻👌🏻,0,2024-09-30T19:44:37Z
@Mal3kJR-x4k,bro cooked so hard he lit the kitchen on fire 🔥,12,2024-07-26T19:01:51Z
