Author,Comment,LikeCount,PublishedAt
@MD_creationz,Buying charger for the phone ❌<br><br>Buying phone for the charger ✅,73728,2024-05-01T07:22:35Z
@cantbeuseless,That &quot;womp womp&quot; was perfect 😂,43454,2024-04-25T04:19:19Z
@techcyberunbox800,Start charging from 0% In 2024❎<br>Charging done 2% in 2030,14570,2024-04-25T17:02:55Z
@MatheusDeOliveira123,“Womp Womp” is actually perfect is the best meme,1,2025-01-26T19:10:39Z
@Yng.Saaddy,99 missed calls from apple😂,2400,2024-06-14T10:14:15Z
@dijayemiehioito,Charger:<br>Charging your phone: ❌️<br>Exploding your phone: ✅️,1964,2024-06-17T02:27:56Z
@JoshuaBoles-w9b,Bro just called us poor in so many ways 💀,2273,2024-05-02T20:26:34Z
@Hillaryemojicat7,Charger<br>Charging your phone✅<br>Exploding your phone❌,16,2025-03-03T11:21:31Z
@twenty-2923,iPhone: 4%<br>2 minutes later <br>iPhone: 1%,2406,2024-04-28T07:11:52Z
@allmedia360,My phone is being charged ❌ <br>I&#39;m charging my phone ✅,1483,2024-04-25T05:11:58Z
@JustLivingTheLife-i2i,That✨️womp womp✨️at the end was personal💀,1725,2024-05-01T21:25:35Z
@Baseball246-t8b,"Apple guy: And why are you back<br>Vector: I accidentally charged my phone to like 4,284%💀",3,2024-11-26T04:15:07Z
@ViralWorld.t,This guy is the reason that we stay hopeful in YouTube,1376,2024-04-30T06:15:48Z
@coldair6807,Bro bought a new phone 💀,1587,2024-05-02T14:01:29Z
@Ayooooooooooo,Nah bro getting a brand new iphone as a tax write off with this one,589,2024-05-29T22:02:08Z
@91maxpower,"The two biggest surprises were you can full charge a phone in 3 seconds, and the percentage of overcharge displayed.",38,2024-11-11T16:30:39Z
@Octo-eight,People five weeks into the apocalypse with no power: &quot;HOW IS YOUR PHONE CHARGING&quot;<br>Me: &quot;*C R A N K*&quot;,1152,2024-05-05T04:49:06Z
@cabahugedelynbaise,That &quot;womp womp&#39;&#39; was personal 💀,919,2024-04-29T07:43:56Z
@JohnHenry-qp4yo,That “Womp Womp” at the end got me 💀💀 edit: I&#39;VE NEVER GOT THIS MANY LIKES BEFORE WTF,339,2024-06-15T23:41:20Z
@DoDien-l7h,Wow you perfect the phone,2,2025-04-09T02:25:06Z
@SimonPyramid,bro said &quot;womp womp&quot;💀,458,2024-08-11T10:46:38Z
@YoImJustSomeGamerGuy,Watching video ❌<br><br>Pausing at 100% successfully ✅,582,2024-07-05T06:13:02Z
@Plazard_YT,Slowest samsung charger:,765,2024-05-04T11:38:09Z
@SenthilKumari-f5k,999 missed calls from FBI complained by apple😂😂😂😂,1,2025-02-14T16:01:21Z
@DerReaperEX1,"As a electrician I can tell that it won’t work, I mean I guess most of people could because it’s no magic, but for those few who don’t know, such a small dynamo need like 6 hours or crazy drilling to get the phone charged, even more :) you make maybe 5 watts on full speed",1008,2024-05-07T10:29:00Z
@kaelaaaaaaa,"It works, but not that fast. It is super slow and not stabilized. Not recommended using that because unstable electric voltage will damage the machine",382,2024-04-29T02:19:23Z
@TheDivineChicken,Vector is the whole reason people need to say “do not try this at home” 💀,479,2024-04-25T04:58:17Z
@Дамиро-ш7х,DON&#39;T TRY THIS AT HOME ⚠️⚠️⚠️⚠️⚠️,15,2025-01-28T09:55:24Z
@coreybailey4288,Bro was cranking that phone like he was getting well water from the 1800s 😂😂,717,2024-05-12T20:18:30Z
@Everybodysayohtoodles123,This is probably why the battery limit is 100%,275,2024-09-21T09:24:34Z
@rainandaprilwillis4980,"That still doesn&#39;t change the fact that there are 49 million kangaroos in Australia and 3.5 million people in Uruguay which means if the kangaroos were to invade Uruguay, each person will have to fight 14 kangaroos 😤",420,2024-05-05T04:19:01Z
@Dancesforall,Bro took a Phone for that😂😂,0,2025-01-16T15:59:38Z
@AmProPlayerYT,"2023: 100%<br>2024: 10,000%",68,2024-04-28T17:40:25Z
@caoky0407,"Phone charger (Completely wrong) Rotating exercise machine (No adjustment required)<br>Edit: Wow, Mom i&#39;m famous",1688,2024-04-25T04:20:56Z
@Me4tguy,"Bro really went to 10,000 percent",16,2024-07-31T19:22:35Z
@robinstoutenburg3688,Apple guy: “and why are you back again!?”<br>Vector: “I accidentally charged my phone to like 1456788954335225344353526227289181282772625353433321131416226378384949405095848484838387271717171616515151516161616277272828% and it exploded…..”,0,2025-04-09T12:27:26Z
@matthewofficial11,The way where the iPhone charges in nostalgic way.,49,2024-04-30T15:12:52Z
@biniparit104,Vector be like :  I can buy new l phone  for every new video 😂,341,2024-04-25T04:14:48Z
@madsaltyy,"I think, bro’s phone can survive till GTA six",31,2024-05-01T23:34:36Z
@alarko_seviyorum,All android phones:🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,2025-04-04T18:50:51Z
@carolduffy8020,Bro said womp womp,429,2024-05-19T23:03:33Z
@EsmeraldaOrtizRíos,Hahaha Victor you always make us laugh😂😂,40,2024-09-14T17:49:38Z
