Author,Comment,LikeCount,PublishedAt
@fascinating.fractals,"If you enjoyed this pi video , there&#39;s a sequel &quot;Phi ( Golden Ratio )&quot;. Checkout most popular shorts in my feed.",16510,2023-11-24T16:27:43Z
@squidsword0,mans dropped the most cinematic math edit of all time as if we wouldnt notice,211727,2023-10-30T15:33:08Z
@ChildofHermes4,WHY IS THIS SO INFURIATING AND SATISFYING AT THE SAME TIME,16213,2024-06-14T00:22:55Z
@Flairex,"For those who don&#39;t understand how this works, for every 1 rotation of the center line segment, the outer line segment will rotate pi (3.14159....) times around the center line segment&#39;s endpoint.",10719,2024-04-28T04:02:21Z
@CanalulDeScurgere,"♾️ is the answer!<br>You never experience exactly the same thing, that&#39;s why you have to enjoy every moment...because it&#39;s unique in the universe!",1421,2025-03-20T18:44:24Z
@ttongx9352,&quot;The day will come when the stars align&quot;<br><br><b>The stars:</b>,94905,2023-12-05T09:18:58Z
@alllivesdomatter2954,I didn&#39;t know the visualisation of pi could give me an existential crisis.,15494,2023-11-05T12:15:26Z
@samisplaying2527,"for those who didnt understood : Pi never repeats its digits and so the two moving lines which have a constant ratio of angular momentum and this ratio of angular momentum also has the ability that the path made by it never coincide (repeat)<br><br>Note: Not any such moving lines have ratio of Pi(π) , only these two lines have been given this ratio (by the creator) to represent Pi in a different manner/form than number",3564,2024-03-27T14:34:16Z
@ИосифСталин-й5о7ц,Math is just so beautiful especially the concept of infinity.,22,2025-04-13T16:42:45Z
@kazukazux2,"“My love for you is like pi!”<br>“Endless?”<br>“No, irrational.” ☠️☠️",21351,2024-01-02T22:36:33Z
@jhaymarcrhoy,"If Pi is being irrational, it&#39;s mathematical. When I&#39;m being irrational, I&#39;m dramatic.",10311,2023-11-09T05:58:32Z
@Krztph1331,40 years old and that was the best visual representation of PI I&#39;ve ever seen.,4320,2023-11-29T19:51:15Z
@SWDW88,Complexity + Efficiency = Beauty,16,2025-03-03T13:41:45Z
@Kakipanty,Visualization on pi being irrational got more art skills than me💀💀,4949,2023-11-22T17:44:04Z
@mansimasurkar7270,The amount of love i have for this visualization will end when the line align,2896,2023-11-27T14:36:57Z
@ajokomichael2297,I wish there was a place to exclusively watch content like this. This is so beautiful,1802,2023-11-20T17:48:40Z
@jezelgentiles,"It looks beautiful, mysterious, and relaxing!",1,2025-04-09T12:01:07Z
@Spherius,That&#39;s why the worst sin in geometry is to believe your eyes,15135,2023-11-02T20:14:26Z
@Hytzrb-ts6qb,Normally we think perfect things are relaxing but this... This is fascinating because it&#39;s imperfect. Proof that imperfections make everything more beautiful.,2100,2024-03-16T16:04:46Z
@karanghai6304,Visualisation on Pi shows how it covers the full area of a circle. Such an amazing art👍,246,2023-12-07T15:16:34Z
@AbyTheLegendary-fj9bf,The beauty of imperfection. It can go on for ages and never be perfect but that&#39;s exactly why it&#39;s beautiful. Never knew we could learn something from pi that could be implemented in our daily life till the end of times.,1,2025-04-03T12:08:39Z
@jeffrowisdabest,"That&#39;s the beauty of this. It&#39;s a paradox. It never traces over the same shape twice and continues drawing new lines/arcs forever, yet never fills the circle in completely.",3041,2023-11-24T18:30:55Z
@JordanMetroidManiac,"Fun fact: This happens with any irrational number.<br><br>A little more fun fact: The closer the irrational number is to being rational, the closer it gets to just barely closing the loop. Pi has the number 292 in its continued fraction form, which means there are some “small” fractions like 22/7 which approximate it well. This property of pi is why the loop is very nearly closed, but it just misses by the slightest amount. Other numbers like the golden ratio have smaller numbers in their continued fraction, which make them miss closing the loop with greater error. In fact, the golden ratio is the farthest from being rational because it only has ones in its continued fraction. That said, doing this with the golden ratio will make it constantly miss by a long shot, always, and no other number could make it miss more than the golden ratio does. Now, Euler’s number (e) on the other hand, has a continued fraction of ever increasing numbers, which means it eventually surpasses pi on how close it gets to actually closing the loop. It would start out missing by a lot, but as you run it longer, it gets closer and closer to closing the loop, forever. Let it spin around for 10000 cycles, it would basically look like it’s closing the loop, but really it’s not, and it’s actually just microscopically close.<br><br>So…<br>Golden ratio: always misses by a lot<br>Euler’s number: gets closer each time<br>Pi: gets super close periodically<br><br>That makes the golden ratio and Euler’s number special irrational numbers, but pi getting super close periodically does not make pi special. Almost all irrational numbers get super close periodically, and how frequently they get super close is based on their continued fraction. Pi has that number 292 relatively early on in its continued fraction, so it gets super close frequently. But almost all irrationals have a sequence of normally distributed continued fraction coefficients, which means almost all irrationals have some point at which they suddenly get super close to closing the loop, periodically.",816,2024-10-17T13:08:41Z
@huraqan3761,"That choice in music bro... 🤯🥹<br>The editing is just brilliant, absolute chills!",2757,2024-01-01T19:49:38Z
@G-neric,"Pi is considered an irrational number because it cannot be expressed as a simple fraction, meaning it cannot be written as a ratio of two whole numbers, and its decimal representation goes on forever without repeating; essentially, the digits of pi continue infinitely without any discernible pattern. Key points about Pi&#39;s irrationality: Definition of irrational: An irrational number is a real number that cannot be expressed as a fraction where both the numerator and denominator are integers. Decimal representation: The decimal representation of pi is infinite and non-repeating. Geometric interpretation: Pi is defined as the ratio of a circle&#39;s circumference to its diameter, and this ratio cannot be precisely represented as a fraction with whole numbers.",3,2025-03-05T00:14:43Z
@jimmiej3924,"Why did I watch this 42 times? I lost count, honestly. Amazing visualization.",2162,2023-11-28T06:27:10Z
@MXALOVE,"&quot;Sorry, I just won&#39;t do it&quot;<br>&quot;Pi, You&#39;re being very irrational right now&quot;",3538,2023-11-07T15:00:01Z
@axshaa1,Man single-handedly recovered our attention-span 💀,15467,2023-11-05T16:25:15Z
@SomethingSyncopated,As a CAD operator using the system to make this drawing for 20+ years. This is absolutely beautiful. I love it.,2,2025-03-02T04:52:49Z
@legomeaker101potato,"I don&#39;t have an irrational fear of pi, I have a fear of the understanding the irrationality of pi",2318,2024-05-16T23:40:19Z
@astha___bhuyan,Never knew pi was so pretty,1556,2024-07-31T17:05:58Z
@stefansommer3579,"Absolutely beautiful. Confined to the reach of the two arms, yet this dot will never copy it&#39;s path. Not in eternity. Math is magical 😊",6849,2023-10-24T20:16:40Z
@arassemiaktas8075,This video is the most underrated video i have seen in a while.only 700 likes?i would love to see more content like this instead of discord memes,78079,2023-10-28T08:01:56Z
@AfiOye,Pi has more character development in 30 seconds than I&#39;ve had in my life of 30 years.,2703,2023-11-07T05:39:48Z
@lynsa3711,"This is amazing, the best use of this piece I&#39;ve seen. ❤",1,2025-02-27T16:24:21Z
@MudrykDaGoat1,Math is hell of a drug,1247,2023-11-09T03:27:51Z
@mrpissed,"The first near-miss should correspond to 22/7 (i.e. 7 rotations of the inner axis, 7*pi=21.991... rotations of the outer one), the second to 355/113 (error of about 1 in 10 million)",1087,2024-03-15T22:26:00Z
@parvathikarmuri,"This is what imperfection is. No matter how imperfect you are, you end up beautiful.",1255,2023-11-07T08:12:38Z
@Just_Jonah,This is both really unsatisfying and satisfying all at the same time,5,2025-04-02T16:09:12Z
@chumma_ak,"I love this whole comment section… from saying suspense, expressing love to existential crisis. We could be good friends… wherever you are, have a great time",358,2024-08-15T05:45:06Z
@StabbyMcPokepoke,"A roller coaster of emotion. It&#39;s like when you&#39;re half way to getting an answer and you know it&#39;s gonna be a messy one, but you get a nice answer in the end.",1273,2023-10-31T02:20:38Z
@omegaprime223,"One of the things my father always made sure I knew was that math could be beautiful.  Too many people are intimidated by the numbers and places and symbols that the inherent beauty is simply... lost.<br><br>Thank you for this, I had forgotten.",548,2023-11-07T21:31:42Z
@lk.kofficialart505,It looks like a mind blowing illusion 🤯🤯🤯,1,2025-04-17T16:31:10Z
@JETOBUSINESSCENTER,Pi literally became an art genius☠️,1606,2023-11-08T09:59:06Z
@mes5915,Circles cant hurt you. Its just circles.<br><br><br>The circles:,2218,2023-12-03T16:22:08Z
@averagegorilla69,the strange urge to make this my profile picture,8744,2023-10-28T15:34:33Z
@deepti1709,This is so beautiful and therapeutic,0,2025-04-13T09:38:30Z
@CoolLookinPea,This is unironically the most beautiful video I’ve ever seen,727,2023-11-07T15:47:12Z
@lissakterra6467,"Am I the only one who wants to see this spread out over a much longer period of time?  It would make lovely, meditative wall art.",1340,2023-12-15T01:17:30Z
@6FT400,Infinite paths in a limited space… something about that is just so beautiful,389,2024-05-25T07:28:00Z
