Author,Comment,LikeCount,PublishedAt
@VENOMdeVINO,Smooth. No contact or movement from her head at all. 😂,53155,2024-09-29T04:17:38Z
@JoeJack-nx1mn,So this is what mascots did during covid,40055,2024-09-30T17:01:42Z
@mrironlunglungzielungzietv6697,Best pie face I&#39;ve seen in years!,6664,2024-10-02T17:58:05Z
@walkerc584cw,"Bruh!! I’m literally in tears from laughter. I wasn’t expecting the pie neither, made it so much funnier.😂😅😂😅😂😅",301,2024-10-22T12:45:22Z
@FuriousDragon245,That fucken sound at the end got me dying,12134,2024-10-02T02:30:18Z
@kokugatsumoon,Every day more and more men test out how good their life insurance policy is.,16863,2024-10-01T11:40:22Z
@mikeymastro4425,The fact that she looked up like there was an actual firework is hilarious 😂😂,3404,2024-10-02T17:40:17Z
@aravinth007vt,Dude.. I am dying laughing here.. 😂😂😂😂,2,2024-11-15T21:32:46Z
@R35PECT77,Bro that plate hitting her sounded like buckshot😂😂😂,1412,2024-10-05T15:13:35Z
@rodolfoortiz7363,Execution was flawless... Bro spawned that pie from his back pocket... <br>😂 😆,2293,2024-10-08T03:52:04Z
@kaybee9909,He Still trying to convince HR why he should keep his Job,5188,2024-10-05T03:36:51Z
@WiliiamNoTell,The sound effects were unbelievable plus the fact she looked oh my goodness😂😂😂,6,2024-11-19T23:53:42Z
@zjp692004,I can watch this on loop and laugh everytime,1885,2024-10-02T01:12:50Z
@brettdeboyes2585,I can&#39;t stop watching it 😂😂 the sound affects are perfect.😂😂,567,2024-10-03T08:24:17Z
@jeffs6090,This is the most hilarious 2 hour video I&#39;ve ever seen!!😂😂😂,1985,2024-10-04T05:51:43Z
@pysparknuggits6734,"Whoever is in that costume is truely amazing the setup and the delivey... When she looked up, the pie went smack( Timing was Impeccable)! 😮",600,2024-10-11T05:06:03Z
@Bloxyman92,Bro the fact how when he slammed the pie on to the woman&#39;s face it sounded very hard 😂,1207,2024-09-29T06:36:29Z
@g.g.die1295,Flawless execution of a classic pie in the face gag.,67,2024-10-10T05:34:45Z
@raymondcarr2991,That pie shot was at point blank range😂😂😂😂😂😂😂😂😂,4,2024-11-02T01:26:04Z
@sike1035,"Even if its staged, its still peak entertainment 😂😂😂",394,2024-10-02T15:48:28Z
@DubbxJay,That pie came straight from his inventory,125,2024-10-02T20:32:47Z
@KevinJamie3240,"Took it like a champ, scripted it, rehearsed it, knew it was coming, didn’t even flinch",706,2024-10-04T17:45:23Z
@missybates6046,😂😂😂😂😂😂😂😂😂😂😂 this took me out😂😂😂😂☠️☠️,4,2024-11-01T21:07:13Z
@aeggersd1,They have you sign a waiver to be hit with a pie but won&#39;t tell you when. So the reaction is real and hilarious. He&#39;s been to my wifes work for a photoshoot.,931,2024-10-02T00:24:13Z
@zacharyjones7233,Ive watched this 10 times. And It&#39;s funny each time 😂,685,2024-09-30T19:52:03Z
@odafeomo-emevor4444,She was searching for the trick until she realized she was the trick 😂,1204,2024-10-16T14:43:57Z
@jonmiller3996,"This NEVER gets old, i damn near fall outta my chair every time, hahahahaha!",1,2024-11-30T22:57:29Z
@michaelknight8534,I love his follow through. That’s textbook form right there.,335,2024-10-03T00:00:31Z
@NikkyCollins0,"😂 I can’t stop laughing, nor can I stop watching😂😂😂 I’m literally in tears and my face hurts 😂😂😂😂😂😂😂",95,2024-10-03T06:12:34Z
@Meeeeex1,The more times I watch this the harder I laugh.,70,2024-10-03T17:57:42Z
@hyacinthlynch843,The pie in the face gag never gets old. 😂,7,2024-10-28T13:38:37Z
@CreatioNNoitcurtseD,Ive been crying and laughing while watching this for the last 20-some minutes straight! 🤣🤣🤣🤣 I need to stop.,85,2024-10-15T15:39:36Z
@norcaliguycalifornia1950,This is what perfection looks like,20,2024-10-02T16:22:48Z
@raymondclark3445,😂😂😂😂 this has to be the funniest s*** i&#39;ve seen all day,2,2024-10-22T09:55:38Z
@Reboot0110,I watched this on repeat for like 2 minutes straight,49,2024-10-02T16:46:05Z
@ChickenJockey-j6y,"THE LAUGH AT THE END😂😂😂😂 SOUNDS LIKE AN ACTUAL CHICKEN, LOL IM CRYING😂😂😂😂😂😂 OMFG",2,2024-11-16T00:45:36Z
@jaimerobles4228,Cream pie to the face😂,609,2024-09-30T05:43:20Z
@33salemhockey,I fucking lost it. I was laughing so hard.,54,2024-10-02T17:46:28Z
@JerZy_BoiZ_Entertainment0128,5 times in row and it&#39;s still funniest asf,12,2024-10-06T15:02:29Z
@chrisegoyan9742,Je l&#39;ai Matter au moins 20 fois ...<br>Toujours aussi drôle 😆 🤣,1,2024-11-02T23:23:58Z
@brianmccrary5369,"It&#39;s just so smooth 🤣 Fluid motion, great pie to the face. Hilarious 👌🏾",58,2024-10-03T00:53:14Z
@michaelndawa739,This is the smoothest and calm creaming I&#39;ve been waiting for all 3 decades and a half😂,9,2024-10-04T14:48:34Z
@Roguegaming-mv1qg,Dude that’s fucking awesome,175,2024-10-01T06:10:47Z
@ronaldnors1240,I&#39;ve watched this like 20 times on repeat 😂 still makes me laugh,1,2024-10-31T05:10:56Z
@Tommy-kp2zp,Man that’s old-school funny right there!!,10,2024-10-04T05:04:15Z
@Apexgangs,This folks is the power of distraction 😂😂,26,2024-10-03T04:37:29Z
@kylefolb8638,That was great. He even got her to look up at the imaginary firework,33,2024-10-02T23:29:58Z
@grand-georgeproductions3857,Fireworks Sound effect was legendary 🧨🎇🎆🔊👋🤣😂😭💀👌💯,2,2024-11-13T04:30:08Z
@eddieechavez1534,Hilarious 😂😂😅 i must have watched this like 10 times..,6,2024-10-08T10:31:49Z
@AngelaJohnson-pp8qs,"Brilliant, I can&#39;t stop laughing &amp; replaying this video 😊😊😂😂😂😂❤❤❤ over &amp; over❤😂😂😂",85,2024-10-07T22:20:13Z
