Author,Comment,LikeCount,PublishedAt
@ibiaravenacifuentes7380,She is so beautiful😊😊😊😊😊❤❤❤❤,7,2024-10-28T02:37:03Z
@Lacey_is_my_fav,The way he always got the face😂❤,319,2024-04-30T14:55:09Z
@ayu_jeon,She is so beautiful ❤,206,2024-06-10T13:41:33Z
@aliyevha17,He can&#39;t stop his smiling,299,2024-04-29T15:36:33Z
@RehaanHarriparsad,She looks so so cute with that face 😘😘😘😘😘😘😘😘😘😘😗😻😻😻😻😻😻😻😻😻😻😻,9,2024-09-29T17:07:40Z
@Devin-u6m,The way he went to🫤to☺️,35,2024-07-25T07:35:17Z
@ManuelAntonioRosaLopez,El es guapísimo ❤❤❤,1,2024-09-20T21:55:55Z
@moh.rolandfatkhurrohman4376,baguskak  jadiseneng lihat nya😊❤❤❤❤❤❤🎉❤❤😉😍🤩😘☺️🥰🤭,4,2024-07-07T15:09:35Z
@ConductoresDDMM,Qué tierno 😍😍😊😍😊😍😊😍😊❤,2,2024-09-29T05:28:11Z
@ArpnCornea,She&#39;s so cute and sweet 😊🥰🥰💕,4,2024-10-11T17:01:54Z
@MirianVitoria-s8f,She is so ekt😊❤,2,2025-03-18T16:48:55Z
@Anyacafe,I love it the spend everything omg!!!,8,2024-05-05T03:04:08Z
@KamsiOhas,She is so cute ❤❤❤😊😊😊,2,2024-09-12T21:26:14Z
@AnneGabriely-d1e,Você é muito legal eu amo seu vídeo eu gosto muito❤❤❤❤😊😊😊,9,2024-08-11T01:50:44Z
@SandraRegina-pn7nk,Que fofinho 😊😊😊😊☺️🥰🥰🤭🥰🤭🥰🤭,2,2024-09-15T09:40:58Z
@kalilakliupamai7170,i like her she is so beautiful 😍😍😍😍,7,2024-08-25T04:43:47Z
@M.S..F.u.n.k.y,✨💗WOW💗✨,2,2024-08-08T04:26:36Z
@Felix-M3,Voce dois sao tao fofos,52,2024-04-22T21:54:51Z
@rodelflores5590,❤cute couple🎉,2,2024-07-06T11:32:45Z
@imentaghouti3807,They look so alike! They&#39;re perfect for each other! love u,125,2024-04-23T00:18:37Z
@JuliaLopez-vx8cf,Que ternura😹😹😸😺😅♥️💖,9,2024-05-04T18:59:27Z
@Raissa_Yoongina,Vocês dois sao tão fofos,42,2024-04-22T19:16:23Z
@FikriNur-ci4dj,❤❤kakak ❤❤❤🎉🎉😊,2,2024-08-15T08:30:36Z
@tuanphan-gh7oi,❤❤❤❤❤❤,3,2024-09-29T13:59:25Z
@AmadouGassama-b6s,Your so pretty and I love your dance moves,13,2024-05-01T07:00:52Z
@PanuSarkar-vc7ow,The video quality is better than my eyes :),4,2024-10-11T05:47:45Z
@Air_Hitter,😂😂😂😂😂😂😅verry cute :) ❤❤❤❤,1,2024-07-17T22:37:16Z
@carinagabutti3699,Ay qué tierno lo amo,16,2024-04-29T19:11:56Z
@mariavictoriamaritorres1389,So cuteeeeeeeeee❤❤❤❤❤❤❤❤,1,2024-07-19T19:37:19Z
@P34rLYed,The nose heart wipe was the literal whole video!❤😂😊,158,2024-04-27T04:45:31Z
@You_lose4,"У меня два видео подряд, сначала от него, где он танцует, потом она его палит и он начинает крутить нунчаки, а теперь чисто она😂😂😂",7,2024-05-02T17:31:33Z
@DREAMinWORLD2023,There is something special when he does this dance ❤❤,28,2024-04-26T07:15:28Z
@Editor_Agis,So handsome,3,2024-08-10T12:26:02Z
@LolaPaz-up2vm,Lola por favor mándame más eres grandiosa mándame tu canción está buenísimo,4,2024-07-21T05:30:20Z
@LuanNguyen-vj6nn,She is so beautiful,0,2024-10-03T06:24:41Z
@Elizabeth-ri8gi,Que lindo el chico modo serio,27,2024-04-27T15:50:15Z
@NAZARETCHEVEZ-JE4,Porque siempre esos videos tan tiernos 🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺 son tan kawaii,0,2024-09-16T19:51:55Z
@Styra_desu,He is handsome and you also pretty <br>Edit: thx 4 100K+ likes 😋,18,2024-08-14T12:43:48Z
@JayroncesarLastrescarmona,Que lindo ❤❤❤❤😂,3,2024-07-10T20:35:51Z
@runamostak6184,Sooo cute and pretty couple mashallah 🥰💖💖🌼🌼,0,2024-10-02T02:05:11Z
@szybkidzik0712,I like her smile 😊 arigato,57,2024-04-22T22:30:39Z
@williamcabrera6654,Gracias atutalento ya aprendí el baile te quiero muchoooooo❤❤❤❤,0,2024-05-03T23:27:12Z
@vincentronquillo7722,❤❤❤❤❤❤❤❤❤❤❤❤❤😂❤❤❤😂,7,2024-04-30T02:59:25Z
@Marphiá12,😂😂😅 very nice 😂😂 and funny 🤣,0,2024-08-21T13:16:46Z
@wahyudewista3801,😍🥰🙏👍🐈📷📸,16,2024-04-23T03:20:44Z
@NgọcKhánh-x8s,Chị nhảy giỏi quá❤❤❤❤❤,0,2024-07-21T13:45:14Z
@Virajpatil5383,So cute dance 😊,4,2024-05-07T04:22:06Z
@CretiaraEdits,She&#39;s so always u know prettyyyyyyyyyyyyyyyyy dang,0,2024-08-13T12:29:12Z
@ThaPyay-tn3xf,it  like  a    cat❤❤❤,4,2024-04-26T07:27:36Z
@The_STAR_W,That&#39;s cute and funny 😂❤❤😂😊,0,2024-10-06T23:50:26Z
