Author,Comment,LikeCount,PublishedAt
@the.johnsonbrothers,Hey guys!!! Our first long-form YouTube video is finally up. Go check it out on our account!,30006,2023-11-27T23:05:14Z
@cguibcx,The world would be a better place if all men had a friend group like this.,158918,2023-11-23T20:04:11Z
@jstewart627,It is so hard to find friends that keep this mood.,2679,2023-10-22T08:34:35Z
@RimuruTempest917,"I heard them in every direction. I felt them closing up to me every second. They sang this peculiar yet welcoming song, they even dance. Never in my life have I felt this forgotten feeling of happiness.",2000,2023-10-12T08:33:41Z
@humminbird6990,Treasure your friendship till 70&#39;s. Life is not easy now.,469,2025-04-01T01:32:46Z
@terecee1204,I love to see men lifting other men up and supporting each other through mental health struggles! Having mates like that is worth more than gold!,1096,2025-03-09T10:02:33Z
@GargoyleEmperor,I&#39;ve never been so terrified and entertained at the same time... extra credit for the fella in the bike helmet - he understood the assignment.,13213,2023-11-19T20:43:18Z
@YogsenForfoth,This is just wholesome goodness right here. Just a bunch of buddies having fun at the beach at night.,1945,2023-10-15T00:42:35Z
@SILLYBILLYVR-1,My sister has been singing this at school. She had a singing competition and she won! I’m so proud,128,2025-04-02T00:09:35Z
@auntieopossum,"I have had an absolutely horrid day today and this cheered me up so much. Never change y’all, never change",2059,2023-10-06T00:21:13Z
@Ichiy0k,Having 9 friends to do this with is probably one of the greatest achievements,54828,2023-10-13T04:38:23Z
@kittyblue7646,Dude this is the most uplifting thing I’ve seen all week,4577,2023-10-14T05:34:58Z
@davidsveneddy8400,A total “feel good” moment! ❤,22,2025-03-22T04:16:40Z
@BitsOfMen2927,it’s good to have friends like this.,8077,2023-10-26T16:35:34Z
@rosshaikenleonen1416,That&#39;s the most &quot;Bro&quot; video I&#39;ve seen. Thank you very much.,15921,2023-11-22T10:59:26Z
@the_darkborne5440,"I lost my mom last month and this made me genuinely laugh for the first time since her passing. Thank you so much, I truly needed that.",1731,2023-10-15T16:26:06Z
@МаксимПоляков-ы9з,"Ролик чуть больше минуты, а позитива на неделю! Браво, мужики!",1,2025-03-21T20:18:57Z
@yamidelacroix6729,Guy in the helmet gave off this energy that&#39;s indescribable lol. This is the positive energy we all needed.,5393,2023-10-13T10:15:29Z
@charizardking84,WE ESCAPING DEPRESSION WITH THIS ONE🗣️🗣️🗣️🗣️🔥🔥🔥🔥🔥,44873,2023-10-08T00:54:47Z
@Genni4862,All men need and deserve friends like this!,963,2023-10-28T23:07:36Z
@paulaalexander1,"That was hands down the best, and I really needed it as I was feeling down. Broke my back and pelvis in multiple places my legs and feet were smashed up. Dealing with pain every day since gets really hard, I&#39;m 50 now. I was smiling and laughing at your video. Thanks boys,",0,2025-04-23T08:29:58Z
@thiskanther,"Everytime i see a short from these guys, my day gets better",606,2023-10-06T00:55:12Z
@vega_black_,"I am not a man but I still found this very helpful in making me feel better :)<br>Carry on, boys.",1884,2023-10-05T23:33:15Z
@GrantAttard,Bro summoned a whole musical movie,8182,2023-10-30T14:08:10Z
@danielbason1905,"If I could like this again, I  would do it in a heartbeat,  over and over again. I really needed this right now 😊😔",1,2025-03-23T01:40:55Z
@PM_Hara,These are the boys that the world needs more.,1419,2023-11-18T20:54:35Z
@SniperOnSunday,"As a man struggling through his first year of university, I needed this.",5898,2023-10-13T02:07:13Z
@jerryshanecoldwell7279,Friends like these are literal life savers,4102,2023-10-27T23:57:46Z
@Darazy_1,This actually made me laugh in a way I haven&#39;t for a while Thank you,1,2025-03-30T01:20:32Z
@TheNotoriousCommenter,"I SWEAR my depression has been eliminated, I now feel like the happiest person on earth and I look forward to every coming day ❤🙏",10923,2023-10-05T23:34:36Z
@silashughesmusic,You guys single-handedly cured my depression,582,2023-10-05T23:35:58Z
@RedShadow3000,This gave me an unexplainable feeling of genuine happiness<br><br><br><br>Ok why are so many people seeing this comment I&#39;m not used to this,2556,2023-10-13T22:33:13Z
@malcho1234,"THIS! This is what &quot;boys will be boys&quot; should be. Positivity, goofing around, and everyone having a smile, participants and onlookers alike! Thank you, I needed to see this!",2501,2023-12-05T22:08:32Z
@w.w.w.PlayBoi,When you&#39;re having a mental breakdown and this masterpiece comes up:,12365,2023-10-14T21:09:08Z
@amarith5888,I am not a man but this made me smile. i wish i had friends like this,1588,2023-11-28T07:25:58Z
@wendytaylor3714,Pure joy. Thank you for the smiles x,1,2025-03-29T18:38:58Z
@CookiehsAndDreams,"Dude, I’m a woman and this made me so happy. I’m so glad young men are out here supporting, making each other smile, and uplifting each other.",2116,2023-12-26T19:45:23Z
@TheGShad0w,<b>Being entertained yet comforted by the swarm of shirtless men fills you with determination</b>,1100,2023-10-06T05:58:12Z
@fillyhart4222,61yo mother here to 2 grown boys &amp; all their friends. Miss all your antics. There was never dull moment in our home. Wish you all best wherever you are ❤,352,2025-02-22T12:54:18Z
@Jasongk01,You can tell they have genuine smiles on their faces and are trying so har not to laugh,1,2025-04-19T22:58:37Z
@bineybn,we all wish we had a friend group like this,5639,2023-10-24T11:35:25Z
@vikay123,this video really shows the true happiest friend group anyone could ever have and it makes my day,734,2023-11-12T13:57:40Z
@MostDefinitelyNotRosie,This that &quot;boys being boys&quot; energy I love,719,2023-12-19T22:53:27Z
@marivicmanaligod5540,GOD bless you all boys with beautiful hearts❤<br>You made me smile,0,2025-04-04T22:16:32Z
@sajasadique,this not only made the men happy....y&#39;all made <b>the whole fandom</b> happy,1917,2024-01-03T08:14:23Z
@alysonwonderland96,There is literally nothing more wholesome than the true friendship between men,2956,2023-10-20T09:50:54Z
@oreadeboye4506,As a woman I loved this and smiled. There&#39;s nothing as good as this positivity.,1299,2024-01-04T09:21:25Z
@Odenhitsdingers,I love this!! It cheered me up😂😂,1,2025-04-22T17:58:27Z
@x1x1x1gamer,I wish this went on forever and never ended.,1913,2023-10-21T23:25:28Z
@jazmin5777,My husband found out his grandpa has late stage cancer yesterday &amp; has been feeling down. Showed him this and got him to smile. Thanks! 💗,1622,2023-10-23T18:46:17Z
