Author,Comment,LikeCount,PublishedAt
@ilxom4288,I love 💕💕💕,10,2023-12-30T09:30:49Z
@manjunathgkhushi3633,This is called  true friendship  🎉,2,2024-08-10T05:00:53Z
@lisasiu5027,"Shae, cora, Rachel",12,2023-03-28T22:20:34Z
@yousafshareef6171,I Love The Little House 🏠🏡,2,2024-10-24T01:38:18Z
@emirgaming2844,"I see nayeli,Peja, Rachel,Faye,shae,wyatt,",20,2023-04-27T02:29:50Z
@YosanAbrha,The way Shae hair was peeking,9,2024-05-25T00:23:30Z
@SMToursTravels-e1k,Sha is like.. I&#39;m first😂😂,16,2023-06-17T17:16:49Z
@AbdurashidIsmadaliyev,Peja❤💋💋,2,2024-05-28T10:19:02Z
@shamma615,I see Peja and Nayeli and Faye and Shae and Wyatt and Rachel ❤,47,2023-03-28T13:50:57Z
@MohdAamir-r9z,So nice video❤❤❤❤😊😊😊😊,1,2024-03-31T14:19:17Z
@JoHines-Ranger,Shaes face 😂,8,2023-11-04T17:56:52Z
@ShakiraBrown-n6y,"I see Rachel,fay, Wyatt,peyja oops,neyely,shae",2,2024-06-25T08:27:48Z
@beccarogers3968,Ohana means family<br>✨The family family✨,14,2023-04-08T15:34:11Z
@Bosslovers25,Superb act  beta full of energy 🎉🎉🎉🎉.. Great performance fabulous 🎉🎉🎉🎉,0,2025-04-09T10:23:39Z
@JulasMiaUAE,Nice video ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,7,2024-02-17T07:09:35Z
@DebraMoxey-b8b,I love it,17,2024-03-16T13:31:03Z
@alannajordan5596,I see toa and some members of the rock squad as well ❤🎉,10,2023-05-21T14:12:27Z
@SumiSumi-h1m,Very nice ❤❤❤❤❤❤❤❤,2,2024-09-22T14:50:10Z
@FourCats4life,I see Rachel Wyatt Shae Nayeli Peja and Faye 😂,15,2023-04-13T01:41:58Z
@AznThugBreaker,Shae went early 😂😂😂😂😂😂❤,0,2024-05-07T13:39:44Z
@chrisajin3514,"Rachel,Shae,Peja,Faye,Wyatt,nayeli",5,2023-05-01T06:27:31Z
@SHEBA-360,Wow! It&#39;s a great work ❤,5,2024-07-13T16:14:43Z
@Clair-ds8fm,Rachel Shae Wyatt Nayeli Peja and Faye 👍🏽,19,2023-03-28T16:40:53Z
@Miley_624,Aww I thought one of them was klai for a second 😢,27,2023-03-28T14:37:54Z
@oliviafarmer8724,Hey rock squad 😂😂😂,0,2024-11-09T15:27:11Z
@GamerGladiators55,❤😅❤😅❤😅,11,2024-03-10T07:21:40Z
@jovebarazan2194,I love it ❤❤❤,1,2024-03-07T06:17:52Z
@laurencha5512,"rachel, shae, wyatt, faye, peja, nayeli!!",14,2023-04-06T20:34:30Z
@zynabkelani8600,I love the beat and how the hand go love it,5,2023-03-28T19:39:55Z
@advancetechnologies9751,Nice video ❤❤❤❤❤,0,2024-07-13T17:39:01Z
@fernandamerencio3586,Is a queen song ? ❤❤❤❤,14,2023-04-02T13:37:34Z
@Rizwankhan-jn2lw,Fizza❤❤❤❤❤,1,2024-12-27T15:57:06Z
@aditipoddar7570,I see <br>Shae<br>Wyatt<br>Rachel<br>Nayeli<br>Peja and<br>Faye,6,2023-04-10T17:32:49Z
@lloydmungai17,Good job❤😂🎉😊,0,2024-11-30T21:07:45Z
@mayamaree2789,Slay friendship!!! 🥰,12,2023-08-19T21:11:55Z
@MohanMol-fb6iz,Puja❤❤❤,1,2024-05-28T15:37:45Z
@Mafisha308,"Shae,Faye,Rachel, wayatt , Nayeli and peja",11,2024-03-18T09:38:17Z
@DelfinaAuroraVargas,Que bonita la  familia ❤❤❤me encanta❤❤❤❤😊😊😊😊😊😊,1,2024-09-20T18:56:23Z
@Naci_story,I see peja wyatt shae faye nayeli and Rachel ❤❤,11,2023-04-15T22:11:11Z
@sangirenthlei-l8m,A human face😂,1,2025-01-24T14:59:07Z
@EmbreighCourtlynFp,❤❤cool❤❤,5,2024-03-17T17:43:58Z
@AbdurRahman-qc4os,So. Cute❤❤❤❤,1,2024-05-27T08:11:59Z
@ФИРДАВСНОРЕГИТОВ,❤❤❤❤🥰🥰😍😘,6,2024-03-11T17:05:35Z
@milonrazaul5375,Wait. for. me🌚🌝🙈,2,2024-05-25T14:31:03Z
@taliarobson29d,Shae ❤❤,9,2023-05-08T15:51:41Z
@MemoonaZubair-i9f,nice❤❤❤❤❤❤,1,2024-09-26T06:25:33Z
@к_мя,"I&#39;m pretty sure it&#39;s Shae, Faye, Rachel, Wyatt, Nayeli and Peja!",9,2023-03-28T21:00:06Z
@Ella.72,"Rachel, Shae Wyatt Nayeli Peja faye",14,2023-03-29T13:55:37Z
@hannahhafizah304,Nayeli faye and watt funny😂😂,14,2023-05-13T15:32:31Z
@iNAAMUALLAH,❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2,2024-06-03T12:46:31Z
