Author,Comment,LikeCount,PublishedAt
@keshavsen6922,Hello I am singer plz support for me 😊,2045,2024-08-10T04:51:13Z
@F1UNIVERSR-EDITZ,Cricket ❌<br>Rubik&#39;s cube guy ✅,3449,2024-07-30T11:50:35Z
@liberty9784,Awwwwww. He will NEVER forget that moment. It&#39;ll carry him far in life.,906,2024-08-04T13:23:08Z
@DanielW-g9c,I love it when the masses support the small people out there,48,2024-09-22T18:23:05Z
@tejug1161,Love how amercians pay attention to talent wherever it is! 👍🏻 No wonder its so developed and rich!,467,2024-08-24T09:43:27Z
@GautamMandal-yz4tz,Work go to the success🏆💪,117,2024-07-23T15:32:06Z
@maitreybhatasana614,Vote for the face reveal of cameraman💖💖,1050,2024-07-17T19:06:25Z
@Pavani-du6cu,Players on the ground would be like: for what they are up to and cheering???😂 nothing has happend here.🤣🤣🤣🤣🤣😁❤,341,2024-07-21T17:26:43Z
@Its_chirag_7,Bro glitched the whole stadium🪦🗿🗽👽,235,2024-08-09T01:53:04Z
@rajachoudhary9417,Ticket price left chat,302,2023-08-07T10:22:52Z
@Black-q1o,It&#39;s like solving a math answer in exam hall that no one can solve 😂😂,42,2024-08-01T00:21:12Z
@LeoxLegendOP,true focus 🗿,242,2023-08-07T15:59:59Z
@AbdulJaleel-ub9mz,This video is just awesome❤❤,36,2024-07-29T15:17:44Z
@ManishasLahanepatil,boy❌ super boy ✅,16,2024-09-22T15:30:10Z
@Kohlivirat2007,99 missed calls from upcoming Harry potter season creators😂😂😂,6,2024-10-02T03:20:22Z
@KarthikaBandla,Amazing talent 👏🌟❤,15,2024-07-22T10:58:22Z
@ourlifelinerailway7234,Practice at home be a master in home <br>And then perform wherever u want,2,2024-11-16T06:11:30Z
@nikolasorich9305,Bro really got +1000000 aura,2,2024-09-29T19:01:00Z
@electrofiyofficial,"Dude was so focused, that the crowd forgot about the game they were at",3,2024-09-22T06:13:48Z
@skbungalia7,People came for watch cricket live ❌ people came too watch rubic&#39;s cube guy live 🔴,11,2024-08-22T12:30:14Z
@RK_YT7,10000000000000000000+ aura,2,2024-10-15T16:58:53Z
@PriyankaSingh-s3d6t,Scale ka scale ka baap 😈❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥😎😎👿👿,1,2024-10-18T02:29:33Z
@Amy_Rose2728Yas,Bro worked<br>Bro got the attention😏,2,2024-09-29T14:58:17Z
@7il_m9x,Focus on the game ❎️<br> Focus on the boy ✅️,5,2024-10-02T14:55:47Z
@murarisrivastava5551,Gajab focus  ha 😊😊😂😂,8,2024-08-02T11:53:08Z
@drkirtijadon3019,I have watched it more than 100 times,0,2024-10-01T10:22:40Z
@onyiakingdavid9662,Power of Focus 💯😎,3,2024-09-18T22:28:25Z
@dipaksoni8490,Sab log video chal gaya tha isliye is taraf dekh rahe the lol😂😂😂😂❤❤,1,2024-10-23T07:34:32Z
@tinu5280,Very True ❤️❤️,5,2024-07-24T19:03:43Z
@JimmyRecard-ot9pg,The Brisbane Heat crowd is always so wild 😂😂😂,3,2024-09-15T21:36:29Z
@maatlasethunya,Bro gave me goosebumps. He got aura ❤,0,2024-09-28T04:38:46Z
@AbrefiOkaiLaryea,Infinite aura,4,2024-09-23T10:51:06Z
@FunnyReaction134,Focus on Cricket ❌<br>Focus on cube boy☑️💀,2,2024-09-25T19:49:30Z
@11CA137ELLORAAK,💯 VERA LEVEL FEEL 🦋,3,2024-08-12T12:34:58Z
@Friendshipworl,Child rocked audience shocked 😳😲,6,2024-08-06T09:00:17Z
@Prettywareesha.7,"Telling people they are beautiful 21/30<br><br>I love your hair<br>I love your eyes<br>I love your strength<br>I love your voice<br>I love your style<br>I love your eye lashes<br>I love your nose<br>I love your confidence<br>I love your forehead<br>I love your hands<br>I love your shoulders<br>Ilove your ears<br>I love your cheeks<br>I love your mouth<br>I love your personality<br>I love that you are brave<br>I love that you are kind<br>I love that you are strong<br>I love that you are you<br>I love that you are smart<br>I love that you are creative<br>You are beautiful<br>You are nice<br>You are confident<br>You are smart<br>You are unstoppable<br>You are perfect<br>You are unique<br>You are amazing<br>You are pretty<br>I love you when you&#39;re mad<br>I love you when you&#39;re sad<br>I love you when you&#39;re happy<br>I love you when you&#39;re anxious<br>I love you when you&#39;re embarrassed<br>I love you when you&#39;re cheerful<br>I love you when you&#39;re disappointed<br>I love you when you&#39;re at your lowest<br>I love you when you&#39;re at your highest<br>I&#39;m proud of you for doing anything you like<br>I&#39;m proud of you for setting goals I&#39;m proud of you for getting up I&#39;m proud of you for learning I&#39;m proud of you for trying I&#39;m proud of you for smiling<br>I&#39;m proud of you for everything you do<br>I&#39;m proud of you for spreading kindness<br>I&#39;m proud of you for being you I&#39;m proud of you no matter what<br>If you&#39;re insecure about yourself no because everyone is<br>If you&#39;re sad please try to be happy<br>If you feel hated no! cuz   you are loved<br>If you feel sad its okay because deep down you&#39;re happy if you are depressed its okay but please smile!! <br>insecurities are only real because of society, so ask yourself.. &quot;would you be who you are right now if it weren&#39;t for them?&quot; and what would you say? don&#39;t hate yourself, because you are worth the world! everyone is different and that&#39;s a good thing. don&#39;t be insecure, just set goals! be yourself and learn to love who you are &lt;3<br>Maybe check out my channel?",1,2024-11-22T14:49:45Z
@kanhaswain4522,सब के लिए धन्यवाद भगवान...❤❤❤,17,2024-07-25T04:46:23Z
@SchnitzelwithFries,They came for the game ❎️<br>They came for him ✅️,3,2024-09-26T15:46:13Z
@sketch.savvyyy,"Just run for excellence , success will run before you.<br>                                                                           ~A wise man",0,2024-09-30T15:27:37Z
@RFY12M2KT,Maybe i should go to more events because i know to solve a rubiks cube,13,2024-09-25T05:00:24Z
@AbubakariAlly-vt4cx,A genius,3,2024-08-30T19:48:04Z
@Abdallah.quran.64,+7000000 aura 🔥,1,2024-09-25T18:26:37Z
@VenkateshG-z6o,Also believe in yourself😊,2,2024-08-04T14:42:40Z
@akhaleshsingh4780,Bro this guy is 🤟🤟🤟🤟👿👿👿👿👿👿👿👿👿👿👿👿👿👿,0,2024-10-06T10:33:40Z
@imanerime6034,Woooow😮😮😮❤❤❤❤❤,1,2024-08-23T10:44:20Z
@NtebalengMahlangu,He said I always come back 😎😎😎😎😎🎉🎉🎉🎉,1,2024-10-01T19:21:17Z
@HazeyCrazey,Honestly cubing was a big era of my life. Tried mastering it for a year until I got 12 seconds then I quit. Still a great period,0,2024-10-03T10:45:38Z
@tumishinkoana4983,Amen. Praise Our Father in Heaven,0,2024-10-01T19:28:24Z
@st_ay.2018,انا فرحت معهم 😭😭😭,3,2024-09-25T00:46:30Z
@emanhassan3935,Omgggg that is amazing how the fans are like family to each other,1,2024-08-10T19:31:38Z
