Author,Comment,LikeCount,PublishedAt
@shrekylove142,Friend: Can I use your toilet?<br>Her: Oh sorry it’s cake,6452,2024-07-01T19:52:27Z
@kitty.maryeva,"@ViviCake versão gringa 🤣kkk, só os brasileiros curtir👉",10,2024-09-12T01:56:47Z
@MossOn4Pawz12,People who have trust issues💀<br>👇,1556,2024-06-17T11:23:26Z
@lenfantaurore8607,Tu fais des gâteaux trop beau mettez-moi des like parce que elle fait des gâteaux trop beau s&#39;il vous plaît.😊❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2,2025-02-01T12:29:43Z
@YoudelinJean-zd6hq,Pourra-t-elle faire des gâteaux en plume et en cahier pour les écoliers je serai si contente 😊😊😊😊à septembre 😮😄😄😄,106,2024-06-14T02:46:13Z
@Gabilima6,Quem prefere a vivi cake da o like<br>Aqui👇,72,2024-07-04T22:26:56Z
@Tipichni_Temshik,Ребята давайте наберём 4м❤❤❤<br> потому что она очень старается 😢😢😢,1,2025-03-10T14:10:41Z
@БекзадаСатаева,"1 июня в <a href=""https://www.youtube.com/watch?v=HsXS1Qt11cU"">00:00</a> лето кричим Ура лето❤❤❤❤❤❤❤😂😂",18,2024-05-31T07:43:37Z
@Roudina-d7h,Not trying to to be rude but how are you not sick like do you eat cake every day😅 you blood sugar could goes up so good luck😬,133,2024-06-09T02:06:37Z
@kindergarten-j6x,Make Water cake and eat it 😂😂😊,15,2024-10-03T14:04:00Z
@Anna-ql6zg,Franchement c&#39;est hallucinant ce que tu fais un gâteau je suis choqué mais tu fais vraiment de belles choses bravo😊😊❤,1,2025-04-26T10:07:23Z
@sabina.musaeva-vz4fz,"Какая нежная, сразу видно воспитанная, скромная ❤",17,2024-11-12T20:53:37Z
@charlesokpomo7076,"Imagine if her whole house was cake<br>Edit:mom I am now popular! TY for the likes, well the likes really blowed! up almost 1k wow<br>Edit2:I can’t believe It but I have to say it :<br>MAMA I AM THE FaMOUS!",1740,2024-06-04T16:29:20Z
@isidoraorellana2030,La sopa se veía un poco falsa<br><b>Aquí los q se confundieron</b><br>👇,48,2024-07-03T02:20:51Z
@GemmaFlack,Why u so good at that😭😭😭💅🏽💅🏽💅🏽💅🏽,17,2024-08-31T22:23:09Z
@иванантипин-о7т,Пускай попробует свою лампу<br>Кто согласен тыкать сюда<br>👇,22,2024-10-24T19:27:41Z
@HdkfkjfJfjdjf,I want a house like this 🙂,12,2024-11-21T22:38:55Z
@marianabentosantanna5553,Quem prefere a Vivi Capes deixa o like,292,2024-06-30T20:44:37Z
@ЛюдмилаСамохвалова-ь5с,J&#39;adore quand tout est comestible!😊😮❤,2,2024-11-01T19:12:35Z
@YusraNaira-f9t,People who think she will eat her whole house💀<br><br><br>👇(im not forceing for likes you can not like if u want),17,2024-06-30T13:23:02Z
@Boloved_bobette,911 what’s you emergency?!<br>Me:my soap ain’t soaping👁️👄👁️,23,2024-07-05T02:50:50Z
@manarmagdy2294,She&#39;s really great at doing desserts <br>az You can also teach you how to do it in an easy and quick way<br>😍😍😍,30,2024-09-03T04:30:06Z
@GajendranPrajesh,Friend : can i use your Bedroom😊<br>Me: ok <br>Friend: why your pilo is like hard <br>Me : oh sorry its a cake😅😅,14,2024-12-08T16:18:37Z
@MarianaNicolyAlvesOliveira,Imitating Vivi Caik there with me and envious 🤨,19,2024-06-12T03:53:17Z
@cinthyajulissa3738,Extraño : puedo sentarme <br>Ella : es pastel <br>El :🙄👁👀,12,2024-10-19T01:29:54Z
@QwerGsgdg,It&#39;s Omar&#39;s sister❤❤️‍🔥❤❤❤😍😍😍😍😍,15,2024-05-31T17:54:22Z
@Красный_Зинт,"Когда хочется чего-нибудь сладкого к чаю,а дома ничего сладкого нет и в магазин лень идти:",80,2024-07-07T17:26:27Z
@ivanellaworld9809,Next episode : water is cake💀,32,2024-08-18T22:45:55Z
@BPxBM1,Friend:Why ur body is smelly<br>She:Oh sorry! I made of cake😊,10,2024-09-24T19:08:45Z
@Yigit_Yaren,Abla evinde pasta olucak diye korkuyorumm😊😂,2,2025-03-29T15:46:21Z
@user-ng2ci6ic5v,"во втором кадре ты похожа на мою подругу , тебя случайно не Сусанна зовут ?",16,2024-06-26T16:50:11Z
@mahlatselesufi8779,I like a Queen Cake 🎂🎂 Love you 💞💞,10,2024-10-18T18:10:01Z
@Елена-н6ж8ф,Как ты это делаешь так красиво ❤🎉,26,2024-09-25T14:51:05Z
@yunitafebyola2041,Ruqayyah🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤,2,2025-01-29T08:17:32Z
@ЕкатеринаВечная-ь8ъ,"Я бы не удивилась, если бы кран с текущей водой был тортом …",38,2024-06-26T19:16:58Z
@Янаааааааа,YOU MUST MAKE THE RUNNING WATER A CAKE! THEN EVERYONE WILL DEFINITELY BE SHOCKED😂,10,2024-10-21T10:18:12Z
@DTIFANNNNN,Everything at this point in her life is CAKE 🍰,35,2024-07-19T21:05:29Z
@Анечка_топ-е1ж,Просто обычная жизнь кандитера😅❤😊,2,2024-11-13T16:51:52Z
@Valera-228-mmm,Мир сошел с ума!!!!!!! 😨😮,187,2024-06-16T02:04:59Z
@monishaanair3510,Genie : this is your last wish. What do you want?<br>Her : cake cake cake cake cake,44,2024-05-29T08:32:53Z
@ҰлжанСерікболқызы,Я когда она мыло сьела  думала что она съест кран😂😂,10,2024-09-06T08:35:25Z
@SonaCabbarli-bn7cn,Может она сама торт... Ребят мы много чего не знаем походу😂😅,21,2024-09-12T13:55:49Z
@Asherlara-l2c,When you are hungry but your mom says you can’t eat any foods until tonight 😂😂😂,46,2024-09-22T18:10:02Z
@Pinkunicorn148,You’re amazing cake genius,765,2024-06-04T19:32:42Z
@annalaura-8353,a vivi cake é bem melhor quem concorda clica aqui<br>👇,14,2024-06-07T23:55:04Z
@ИринаВолкова-о1ы,"Я в шоке🤭Видела, конечно, но.., тем не менее....Особенно,от ведра🤭😲<br>А из всего из этого я хочу торт от ведерка😂 так как, я любитель теста, не мастики. Нг можно крем, только вкусный.Из сырного,сливочного,пломбира, маскарпончика, сырного... И тд, короче, кроме мастики и масла",3,2024-11-22T05:29:30Z
@СодооБилгээ,Don&#39;t waste water🙏🌊,19,2024-06-12T11:57:48Z
@carrot-ph,Friend: hey can i use your toilet thanks<br>Me: oh no sorry it&#39;s cake 😅,2,2024-12-04T10:02:28Z
@swarajlandge61,So beautiful cakes 😂😂❤,7,2024-10-24T08:36:31Z
@АсиятМагамедова-о2ф,У нас такая же тарелка 😊,88,2024-06-02T15:13:06Z
