Author,Comment,LikeCount,PublishedAt
@TaliahWilfred,so pretty ❤,0,2025-03-15T11:51:21Z
@robsonp0pp410,Submetendo de bosta😂,0,2025-03-15T00:50:44Z
@AshirAnsari-k3r,😂😂😂,1,2025-03-14T16:12:24Z
@lejlasrbjani9124,😮😊😊❤❤❤❤😂,1,2025-03-11T16:29:21Z
@michaelsiebert2023,Football NAH air plain😂😂😂😂😂😂😂😂😂😂,0,2025-03-11T08:48:20Z
@Two22-2,What&#39;s the 0.01%,0,2025-03-11T06:42:57Z
@Markshafik055,they were on purpose but still are very good,0,2025-03-11T01:02:28Z
@HaznanurYün,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-03-09T09:49:35Z
@LuanaSantos-t8g,🤤🤤🤤,0,2025-03-09T00:39:17Z
@MichelleScheerer,The 4 is Fake 🤨,0,2025-03-08T23:07:37Z
@Thisisyourcaptianspeaking,"Am I the only Avgeek<br><br>Btw, that is a LOT Polish Airlines 787 DreamLiner your welcome❤😊😅😂",0,2025-03-08T17:31:30Z
@AnziraLina,It&#39;s not 99.99% accurate rather  it&#39;s 100% accurate  ❤👌🏻,2,2025-03-08T12:54:32Z
@Soyfandejuanikill3r,Soooooo satisfacer ❤,2,2025-03-07T23:05:31Z
@یورپی,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2025-03-07T15:23:05Z
@SofiJoca-d6d,yes,0,2025-03-06T22:06:49Z
@PiotreksigmaFilmy,Polska górą,0,2025-03-05T19:08:40Z
@LfjfHflhi,Qué satisfactorio😮😮😮😮😮😮😮,0,2025-03-05T14:19:17Z
@normaldogfromsoccer,flashbacks..,0,2025-03-04T22:48:29Z
@AbigailHernandezOlivo,Perfect ❤,0,2025-03-04T21:17:19Z
@صفوتشنوده,الراحه النفسيه ↗️↗️↗️↗️↗️↗️↗️😂,1,2025-03-04T14:23:28Z
@Сулейман-т1с,😴😴😴😴,0,2025-03-04T04:20:06Z
@annolucia9282,Ma wath a a <br><br>A girl<br>E  furry bordino,0,2025-03-03T20:16:27Z
@cleonicebispodossantos1009,😢❤❤❤❤❤❤❤,0,2025-03-03T11:50:46Z
@Yasin-r5f,This song is very sad and I love this song of death day 😢❤,0,2025-03-03T11:34:59Z
@J.S.Academy-l8x,"Last one,😌",0,2025-03-03T09:43:40Z
@SarfrajPathan-p7o,😴😴😴😴😴,0,2025-03-03T09:13:25Z
@AanIin-k7i,Adem lagu nya😊,0,2025-03-03T06:21:28Z
@NawedRaza-l1t,Ye song bhut khatrnak he bro 😮😮😮,0,2025-03-02T23:12:01Z
@JucéliaSantos-v1n,Esse vídeo é muito bom,0,2025-03-02T22:47:13Z
@Skeleton_master12,Help the song reminds me of the good summers i had 😢also almost slept when listwning to this song,1,2025-03-02T20:33:50Z
@RafałCzesnakowicz,Wow,0,2025-03-02T19:27:58Z
@eloisagarcia260,Is fantastic 🤩🤩🤩🤯,1,2025-03-02T18:29:45Z
@josiehollins5175,❤•,0,2025-03-02T17:19:55Z
@josiehollins5175,so satasting,0,2025-03-02T17:19:45Z
@JordanLopez-w8u,Move the watermelon I dare you 💀,0,2025-03-02T08:22:19Z
@XonaxXonax,Polska gurą polskie linie lotnicze LOT,0,2025-03-01T22:54:54Z
@GABRIELPOLOARANDO,bro the second 💀,0,2025-03-01T20:26:21Z
@ZanioBuratović-j7i,😍😍😍,0,2025-03-01T17:46:34Z
@Logan-rr2tu,this is the best thing ive ever seen,0,2025-03-01T13:30:58Z
@timurss5667,Okderimbuna😮,0,2025-03-01T10:07:23Z
@teastorywhoyouyeahbunny,Za LOT Zawsze👍,0,2025-03-01T07:59:39Z
@KOPINALEGEND,Why does this feels so nostalgic?,0,2025-03-01T07:45:06Z
@bobbyrodriguez9378,❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉😢😢😮,0,2025-03-01T06:58:29Z
@WyattParsons-n2e,The first one is super Mario odyssey,0,2025-03-01T00:00:46Z
@zeynab6066,The song made me depreseed🥀,0,2025-02-28T23:32:53Z
@Abufalla55,🎉capcut1000000000000,0,2025-02-28T23:06:16Z
@AndreaDagostino-z4x,✨✨🤩,0,2025-02-28T20:54:38Z
@Rosieposieesty,Hulk uçağı fırlatıyor!? 🥲😅,0,2025-02-28T20:16:17Z
@AnuarLopez-g4p,💖💕😍,0,2025-02-28T15:11:26Z
@imantskutan7938,💀💀💀💀💀💀☠️☠️☠️☠️☠️💀,0,2025-02-28T15:09:17Z
