Author,Comment,LikeCount,PublishedAt
@Alex-y7m2u,Hello Zack I’ve been ur subscriber since u had 100k,0,2025-03-15T08:05:15Z
@MadinaxonAlmasova,But how 😳,0,2025-03-14T10:57:54Z
@anmolrajput5855,Zach play the reverse card,0,2025-03-09T13:59:52Z
@zakir-z7d,Бедная глаза,0,2025-03-09T13:12:56Z
@pinkyjain9276,Song name pls,0,2025-03-09T08:23:25Z
@2c41tishalonhare5,Ignore 😎,0,2025-03-09T03:30:50Z
@SaadaMoslim,نرفزت الي في البيت كله كريهه,0,2025-03-08T14:52:13Z
@Mr.WolverXD,Zach is newton&#39;s new enemy..,0,2025-03-08T11:07:01Z
@NeymarCrespoMayor,Karma,0,2025-03-04T22:06:07Z
@TheRizzlerOfOz-27,What did bro do to Newton to deserve this,0,2025-03-03T17:15:05Z
@mazhariqbalericsson9897,Camera in the up,0,2025-03-03T16:03:14Z
@Galaxypizza102,Whats gravity? 😮,0,2025-03-02T19:18:17Z
@AndreMozukuu,体幹えぐっ,0,2025-03-02T08:08:05Z
@santiagomoron9447,XD😂😂😂😂🤣😊😅😭😭😭,0,2025-02-28T16:57:50Z
@GhulamAfghani,😢😢😢😢😢😢😢😢😢😢😢😢😢😢,0,2025-02-27T21:23:22Z
@GhulamAfghani,💙💙💙💙💙💙💙💙💙💙💙💙💙💙,0,2025-02-27T21:23:09Z
@ShrishtiDavid-r5k,Bro it&#39;s just the magic of the stool,0,2025-02-27T06:37:06Z
@ChameleoPlayz1997,Bro the curtain tells everything he is one the floor if he removed the curtain it will be good because why is the curtain not falling😅,0,2025-02-25T12:04:22Z
@shamaparveen2476,Just look at the curtains 😂,1,2025-02-25T10:43:50Z
@ichselbst880,Hiw easy our brain can be manipulated. Simple but great.,0,2025-02-24T10:07:25Z
@Alix-r4h,Have you ever tried this one ? 😂,0,2025-02-23T18:33:48Z
@UGC-NET-ENG,Bro sacrificed himself for our satisfaction 😂❤,0,2025-02-22T10:59:40Z
@elisarapha1735,👍,0,2025-02-21T02:40:19Z
@Praneeth-e5h,Why curtain is reverse 👤,0,2025-02-20T18:04:43Z
@AtamyratAtamuradow,Yahshylap kuy icinda kaldy,0,2025-02-20T17:38:25Z
@meister_ferrr,999 missed calls from Newton💀💀💀,0,2025-02-18T16:08:15Z
@KoKo-n8z8w,😢😊❤🎉😿🤧💵💵💴💶💸💰💷,1,2025-02-18T13:02:37Z
@aqeeqstonestore7370,Use mirror,0,2025-02-17T14:17:52Z
@Зірк,Сорочка падає на живіт задерлась,0,2025-02-17T13:40:37Z
@Pranjal-u4x,Lund,0,2025-02-17T10:45:02Z
@rolex712,HE IS STANDING UPSIDE DOWN 👇🏼,0,2025-02-17T09:41:22Z
@dombrov3233,God deleted his gravity script,0,2025-02-17T06:18:23Z
@alianmour,У этого человека неиссякаемый запас фантазии..,0,2025-02-17T06:10:42Z
@NikhatEqubal-e6e,Newton be like 🥲🥲,0,2025-02-16T13:23:35Z
@baap-st2ol,Men you are lying just reverse not a big thing😂,0,2025-02-16T07:59:55Z
@kamleshgaikwad0706,My brain is not braining,0,2025-02-16T06:59:22Z
@nanubhaimakvana965,Fake,0,2025-02-16T04:09:22Z
@Iluvcinnamoroll1234,My brain is not braining😭,0,2025-02-15T21:04:07Z
@Сне-жо-чек,Всё очень просто дом верх дном так сказать,0,2025-02-15T12:11:32Z
@Akshatxeditz,😂😂😂😂,0,2025-02-15T06:28:47Z
@RohanamaLubis-u7c,Green screen 😂😂😅,0,2025-02-15T01:06:05Z
@Dchaveziepc,Bonito espejo,0,2025-02-14T20:00:34Z
@IAM_A_DEAR-D,graviry crying in rhe corner 😂,0,2025-02-14T11:01:20Z
@ImranJoyia-dx7py,It&#39;s mirror,0,2025-02-14T07:24:01Z
@HaridasiJheel,Song name ....,0,2025-02-13T18:28:06Z
@rwitushreekarmakar2634,My brain is not braining!😢,0,2025-02-13T13:04:54Z
@HasanJutt4455,Paint be like : Who is newton😅🎉,2,2025-02-12T17:55:24Z
@ftcvxc,☠️☠️☠️☠️💀💀💀💀💀,1,2025-02-12T15:39:40Z
@леонидлеонов-т2й,😑😐,0,2025-02-12T05:34:45Z
@HarleySon-m3j,Your upp side down look what you see,0,2025-02-12T05:29:52Z
