Author,Comment,LikeCount,PublishedAt
@rose.are.rosie-e,Up one ❤,0,2025-03-21T04:19:58Z
@SlendersLover,You found me ahh nigga shadow 🥷🏻,0,2025-03-21T03:22:08Z
@HungNguyen-vp5lb,Down is real cat,0,2025-03-21T02:54:52Z
@KyoyoKun-lf8ec,Bottom bottom bottom you can see the l8ght reflecting,0,2025-03-20T20:47:49Z
@TashaKhan-o7t,Ye Kay hua bhai,0,2025-03-20T19:39:40Z
@ShrutiDas-e1o,😮,0,2025-03-20T19:21:15Z
@Анна-ъ9ф8б,😭😭😭😭😭😭😍😍😍,0,2025-03-20T16:29:48Z
@Анна-ъ9ф8б,😭😭😭😭😭😭😭😭,0,2025-03-20T16:29:29Z
@rhogerpinuela4801,Up shadow,0,2025-03-20T16:01:15Z
@rhogerpinuela4801,Down,0,2025-03-20T16:00:55Z
@iamfake2111,"Rotate phone downward,downward is real cat.",1,2025-03-20T15:47:28Z
@iamfake2111,Normal people:find😊<br>Legends:go to comment❤️‍🔥<br>👇,1,2025-03-20T15:46:49Z
@DanielMolon-u8d,Both of them are real,0,2025-03-20T14:36:37Z
@nursehonors,Where ever the light hit it the object cast shadiw on the other side🥸,0,2025-03-20T11:15:58Z
@nursehonors,The botton one,0,2025-03-20T11:14:50Z
@TarunBiswas-s4j,Second one,0,2025-03-20T10:40:10Z
@GeetaShinde-w1d,Whoever thought to flip this is a genius 😊,0,2025-03-20T10:12:11Z
@thejdsoto,THE ILLUSION OF SHADOWS-,0,2025-03-20T08:42:40Z
@RCofficial8,Legend&#39;s who flipped their phone😂😂☠️,0,2025-03-20T08:04:37Z
@aseesbrar8767,The one with the tail up 🆙 is the one,0,2025-03-20T07:38:01Z
@SekarSanthan,The answer is 10🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,0,2025-03-20T01:29:59Z
@UkiNPC,Down,0,2025-03-19T21:24:59Z
@Zuhaanfayaz-n4b,Ohh 😯,1,2025-03-19T17:15:14Z
@shivayangamer1285,Down one because if rotate your phone up side down so u can see it 😅,0,2025-03-19T17:13:22Z
@archanaghorpade8065,Downside cat,0,2025-03-19T16:58:32Z
@janviganesh13,First one so easy answer😂😂😂🎉🎉,0,2025-03-19T15:27:04Z
@TRENDINGGENERALTRADING,yeah its the bottom one,0,2025-03-19T15:05:56Z
@sohailmehmood8659,1 wali hai neche wali,0,2025-03-19T14:55:43Z
@sohailmehmood8659,1 wali hai,0,2025-03-19T14:55:23Z
@shivkumarmishra7638,The light effect,0,2025-03-19T13:41:05Z
@Angel3xxx,&quot;The smaller one is the cat<br>the bigger one is the shadow.&quot;,1,2025-03-19T13:37:45Z
@tvaccount1357,Up on is shadow,0,2025-03-19T13:31:29Z
@EvanQuek,Im batman i live in the shadows,0,2025-03-19T12:53:03Z
@dead_fl0wers,"Whoever has no brain ill help, u see its both shadows but if u upside down u will see fur and its a shadow the other one?!",0,2025-03-19T11:50:40Z
@EditPlayz2,Team 2<br>👇🏻,0,2025-03-19T11:33:46Z
@rajbeerroy7512,Down one I am not blind I think you😂😂😅,0,2025-03-19T11:00:16Z
@MicroTimeMoviesHehe,Bro was so cooked he now post yt shorts,0,2025-03-19T08:29:46Z
@ramasubramonian6188,Flip team <br>👇,0,2025-03-19T08:25:01Z
@nurunnaharhashi1275,<b>tell me your name</b>,0,2025-03-19T07:25:10Z
@faiyazahmad-kf2wz,Ooper vala hai phone ko ulta kar kar dekho😊,0,2025-03-19T04:58:16Z
@JojoTimothy,Left,1,2025-03-19T04:53:55Z
@kenyafelix54,The cat is so cute I wanna keep it so bad  I love kittens pls like<br>👇,1,2025-03-19T04:45:48Z
@FCFS-o7r,The one below is a cat,0,2025-03-19T04:26:17Z
@kalpanachoudhary4976,Cat cat cat cat 😺,0,2025-03-19T02:56:09Z
@HamzaPlayz69,What the fuck is this I watch this video 19time but I can&#39;t understand,0,2025-03-19T02:50:58Z
@GarethDuarte,2,0,2025-03-19T01:59:01Z
@BahramSediqi-y8k,The bodom because of the tail goes up but in the shadow you can’t see his tail when it goes up,0,2025-03-19T01:46:33Z
@RushikeshJadhav-x4p,Ha ha that one is real arre that one 😂,0,2025-03-18T21:14:50Z
@harimbaba2472,Down,0,2025-03-18T19:48:27Z
@AmpreTeo,The downer one,0,2025-03-18T19:43:55Z
