Author,Comment,LikeCount,PublishedAt
@merveillemalembe839,The first one is funny 😂😂😂😂,0,2025-03-21T03:49:09Z
@kristinlongphee9878,Imagine if bro had a downstairs neighbour,1,2025-03-21T03:37:34Z
@Kitty6paw,This is so true my twin brothers do this everyday so does my sister they just give me random stuff and I just accept it,0,2025-03-21T02:35:10Z
@Bwill563,😂😂😂😂😂😂😂❤😅😅,0,2025-03-21T01:31:06Z
@charlesvandyke4112,He&#39;s break dancing in his bed lol 🤣,0,2025-03-21T00:45:25Z
@Lavender7255,So I’m the tot,0,2025-03-20T21:57:25Z
@ZachWilliamEndaya-j3n,3rd one was very nessesary,0,2025-03-20T19:43:31Z
@JetStreamX2013,Toddler cleaning up ❌ Toddler dirtying up ✅,0,2025-03-20T19:04:18Z
@vinasmzire9882,The last one is literally my toddler cousin who agrees with me <br> 👇,1,2025-03-20T11:04:13Z
@clarissereis1,Bro this was so funny 😂😂 like omg,0,2025-03-20T09:58:51Z
@Katherine_rblx,In the first clip i think the toddler was wayyyy to aggressive and that got me dying of laughter 😂😂😂😂😂,1,2025-03-20T09:08:27Z
@reignjosephtan7481,Fr😂,0,2025-03-20T04:03:15Z
@sahajkhangura3767,Lol,0,2025-03-20T01:23:56Z
@AnnikaHart-z8y,Bro has beef with cheezits 😂😂😂😂😂😂❤,0,2025-03-20T00:35:22Z
@KhloeParmer,"I’m not gonna lie, but the first one funny",0,2025-03-20T00:03:03Z
@ErickaLopez-z1o,7,0,2025-03-19T23:36:29Z
@Admin-pz5tv,🤣🤣🤣😂😂🤣🤣🤣🤣😂😂😂,0,2025-03-19T22:18:10Z
@Thecooloner1,Toddlers think they are in GTA VI,0,2025-03-19T21:44:36Z
@AmandaT666,Why is nobody talking about when he walked into the shower and said &quot;HIIII&quot;,0,2025-03-19T20:44:58Z
@FishnChips-i7d,The first smack was personal,0,2025-03-19T17:40:57Z
@HalimHalac,𝙸𝚖 𝚊 𝚔𝚒𝚍 𝚜𝚝𝚒𝚕𝚕 𝚊𝚗𝚍 𝚒 𝚍𝚘𝚗𝚝 𝚍𝚘 𝚝𝚑𝚊𝚝.,0,2025-03-19T14:00:29Z
@AnaMulhall-s1l,“Fuck that food”,0,2025-03-19T08:27:48Z
@samrafatema7441,POV the toddler making a bigger mess😂,1,2025-03-19T00:58:44Z
@SOMEWHEREONPLUTO,&quot;Ok Daniel it&#39;s time to clean your room!&quot;<br><br><br><br>&quot;N O 👹&quot;,1,2025-03-18T23:22:48Z
@SOMEWHEREONPLUTO,&quot;Ok Daniel it&#39;s time to clean your room!&quot;<br><br><br><br>&quot;N O 👹&quot;,1,2025-03-18T23:22:47Z
@noahsuzuki717,Toddlers perfectly wins i’m not gonna liw,0,2025-03-18T22:47:13Z
@KamilZedek,The snack got YEETED!,0,2025-03-18T20:29:12Z
@TiffanyDeBolt-t1x,Am I a toddler?,0,2025-03-18T20:14:22Z
@muktahassan682,Toddlers shouldn’t be even cleaning,1,2025-03-18T18:59:21Z
@muhammedltaif,we need a part 2,0,2025-03-18T11:59:53Z
@Jellymia-t6r,That’s true 😂😂,0,2025-03-18T10:22:59Z
@KellenJamesWoodrow-t5j,He is lucky he was wearing shoes when he stepped on the toys 😅,0,2025-03-18T03:59:46Z
@wallacetang-q1b,I just realized he completly destroys his house to make us happy🥰,0,2025-03-18T01:11:15Z
@rip_zenin,Wake up!! Baby brother 😂😂,0,2025-03-18T00:32:58Z
@phapnguyen1271,The NOOOO was personal,0,2025-03-18T00:08:51Z
@RedTailedOfficial,The goldfish smack was personal 😂😂,0,2025-03-17T22:17:04Z
@13Ivanan,LOL daniel made my day 100%!😂🤣,0,2025-03-17T20:14:29Z
@Velx-o6w,So Accurate,0,2025-03-17T17:07:21Z
@tamerelacaca,Laugh the entire way throw 😂😂😂😂,0,2025-03-17T16:18:04Z
@LiamSinger-t5i,The mess he had to clean up after,0,2025-03-17T13:01:08Z
@wonseng4259,Fun fact: When I was young?I used to sleep by myself.But I always move but this one time Is very different I will sleep.I was on the floor My hand was in pain 45 days,0,2025-03-17T12:07:28Z
@medijj565,Exactly ❤❤❤😂😂😂,0,2025-03-17T08:19:58Z
@steraplon5885,A,0,2025-03-17T06:58:48Z
@Ykkidn,My sister she’s four she’s always doing  shower look,0,2025-03-17T05:24:51Z
@SigmaBOY-n9l,The shower one was my baby brother just a few hours ago,0,2025-03-17T05:08:36Z
@a.walters123,The stomping run 😂 it’s so accurate,0,2025-03-17T03:49:42Z
@Alfred_theking,Bro copy my life💀💀💀💀💀💀💀💀💀💀💀💀,0,2025-03-17T02:19:21Z
@Helcat10,That slap in the first one was personal.,0,2025-03-16T22:11:20Z
@CarlosR.C-b1x,(I&#39;m a kid and I am using my dad&#39;s phone) that&#39;s literally me 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,2025-03-16T19:53:58Z
@Estevão_645on,When Toodler Put Soiled Hands on Glass It Makes Me Laugh 😂😂😂😂😂😂😂,0,2025-03-16T19:25:06Z
