Author,Comment,LikeCount,PublishedAt
@UltimateSpidey186,5 min craft,0,2025-03-19T09:32:18Z
@adhambasha_YT,Not the monkeys at the back asking for bananas,1,2025-03-15T14:06:32Z
@merabharatmahan5927,Girlfriend को इम्प्रेस करने का अच्छा तरीका हैं 😅,0,2025-03-15T07:34:02Z
@DeepakBobade-m5l,I don&#39;t know she making me happy 😊😂,0,2025-03-14T07:52:06Z
@ERDaryl-z4h,Lierrrrrrrrrrrrrrrr,0,2025-03-09T13:24:48Z
@YellowShort13,Let&#39;sgoo!!,0,2025-03-09T11:52:32Z
@MPFIFDEI,❤❤❤❤❤,0,2025-03-08T09:52:33Z
@rutendokimmk7263,So magician are just people who are really good and creative with crafts. Makes sense but i hadn&#39;t thought about it like that.,0,2025-03-07T06:54:28Z
@Analuiza-t5q8m,Nota 10😁,0,2025-03-06T15:30:24Z
@Natureveer5011,paid actors,0,2025-03-04T14:35:05Z
@Mohammedsaleh96,Bahkan yang tidak melihatnya sangat terkejut.,0,2025-03-04T03:33:35Z
@arman_ahmad05,Bro did it infront of judge 👨🏻‍⚖️ so it&#39;s 100% real 😂,0,2025-03-03T13:49:23Z
@liviahelena8153,☠️ eu sou motoqueiro fantasma,1,2025-03-01T22:52:20Z
@JoaoGabriel602-YT,The boy in the back watching the magic looks like Chris,1,2025-02-28T22:17:16Z
@Gezginrüzgar,Fanta and mcdonald Boycott<br>Free Palestine,0,2025-02-27T15:34:01Z
@BatmanTG-JOKER,A random guy sitting on the table with a fanta bottle<br>The girl : OH HE IS GOING TO DO SOMETHING INCREDIBLE <br>the surrounding them : OH SOMETHING IS HAPPENING AROUND THEM ( see&#39;s the guy doing the trick ) OH WOOOWWWWW THE GUYYY IS A MAGICIAN OMGGG 🤯<br>AND SOME PEOPLE ARE BELIVEING THIS SH!T 🤦🏻‍♂️,0,2025-02-27T11:25:06Z
@BatmanTG-JOKER,G@¥ P0®N ACTING AND SCRIPT BETTER 😑,0,2025-02-27T11:22:41Z
@OfficialMOSHPYT,This dudes whole career is staged🙏🏼🙏🏼🙏🏼,0,2025-02-24T16:03:43Z
@TRICNOX,S for -- scripted 😂,1,2025-02-23T18:41:14Z
@DJWallflowe,USA O INDIA?,0,2025-02-20T20:52:47Z
@hermankoffibogora4227,😂😂😂,0,2025-02-20T12:17:05Z
@GGENZOFF,Kompa passion,0,2025-02-18T15:41:01Z
@AviationSDNY,"Hats off to the bottle, best actor there",0,2025-02-18T15:04:15Z
@Courtchronicles-y5i,Nice tricks,0,2025-02-18T10:41:26Z
@legendgamerz7280,Does anybody see fanta in reverse version<br><br>(Means fanta spelling is in reverse in rapper),0,2025-02-18T10:11:19Z
@Chaz-YT-g8o,Wow! Absolutely flabbergasting! How did you do it?,0,2025-02-18T08:17:51Z
@AdilsonJackson-o9h,Mentira tá sempre no meio né,0,2025-02-17T23:26:55Z
@Артем-ы3я7ж,Почему ему ставят лайки он придурок можешь хоть раз не покупать актеров идиот,0,2025-02-17T20:52:22Z
@RubiPérezcenteno,A mini caníbal streaming en historia,0,2025-02-17T17:56:03Z
@NateHenry-f4f,Now everyone sees what’s happening to his 😨,0,2025-02-16T22:18:48Z
@IsraelEscobarmeza,Im pretty sure bro paid those people in the back for the acting 👌,0,2025-02-16T19:23:15Z
@عبدالعزيز-ذ8ث,Activities❤❤❤❤❤❤❤❤,0,2025-02-16T13:48:11Z
@KiranRathor-s9y,Fanta❌<br>Fnata😂😂😂,0,2025-02-16T13:17:12Z
@erannanayakerannanayak3335,Acting❎️<br>Over acting ✅️,0,2025-02-16T11:18:10Z
@BOOStYouth,Social interaction,0,2025-02-16T09:35:29Z
@skyahiya,They are paid actor,0,2025-02-16T03:28:51Z
@RajasabaSiddiqui,Those reactions 😂😂,0,2025-02-15T07:50:35Z
@UmawaImo,Those people were so fooled 😂,0,2025-02-14T23:28:32Z
@ibrahimislam7278,What the hell camavinga doing there,0,2025-02-13T19:12:00Z
@Maximo-n1l4e,WTF,0,2025-02-13T17:13:27Z
@Maximo-n1l4e,😱😱😱😱😱what,0,2025-02-13T17:13:17Z
@allisondosanjos5287,Kkkkkk,0,2025-02-12T15:36:47Z
@AméliaHONG-x5r,All the person is shocking about the bottle of Fanta,0,2025-02-12T12:57:29Z
@Engaged.tourist,Why is it orange,0,2025-02-12T01:10:33Z
@bernardocarvalho3946,█░█ █▀ █░░ █░░ ▄▀▄ █<br>█▀█ █▀ █░░ █░░ █░█ ▀<br>▀░▀ ▀▀ ▀▀▀ ▀▀▀ ░▀░ ▀,0,2025-02-11T21:17:33Z
@newyorkcity6,This video has actors that pass Hollywood 😂😂,0,2025-02-11T17:43:15Z
@boynamedarjun,😂😂😂,0,2025-02-11T12:10:18Z
@dexterbaxtor-hb7uz,dat&#39;s crazy😂😂😂,0,2025-02-10T20:56:59Z
@Agaloba,I really like ATNAF 🙂,0,2025-02-10T19:25:36Z
@MariyaEsenamDodo,Woman: ok let me drink the bottle <br>Man:💀,0,2025-02-10T18:59:57Z
