Author,Comment,LikeCount,PublishedAt
@d.hinklay,"LOS ANGELES🤘 Are you ready?<br>I proudly announce that I will have my first solo exhibition in Los Angeles, following a special invitation from an art agency. This exhibition showcases my Origami artworks, Book Foldings and related products. All artworks displayed will be available for purchase directly at the venue.<br><br>Venue:<br>Japanese American Cultural &amp; Community Center (JACCC)<br>5F Cultural Room<br>244 S. San Pedro St., Los Angeles, CA 90012<br><br>Exhibition Dates &amp; Hours:<br><br>15th Nov (Fri): 4PM – 8PM<br>16th Nov (Sat): 10AM – 6PM<br>17th Nov (Sun): 10AM – 3PM<br><br>I will be in the gallery on everyday.",149,2024-10-08T03:42:41Z
@7unn3r-q1u,Raddy phase 7,0,2025-02-28T00:07:54Z
@franciscagonzalez3799,It&#39;s incredibly fantastic,0,2025-02-20T04:26:39Z
@FarihaFahim-q7e,😮😮😮,0,2025-01-31T12:56:17Z
@eldritchthorne,"As a book and art lover, I adore this. Those who say that &quot;books are expensive&quot; don&#39;t know where to look as buying them brand new is just a waste when there are thousand+ of copies secondhand. Between the library selling off extra copies of books, clearances at bookstores, and secondhand shops/places like Goodwill, there&#39;s really no need to pay full price. I&#39;d love to see something like this done with a copy of The Phantom of the Opera or E.A.P.&#39;s short stories.",0,2025-01-30T00:33:30Z
@michellechair,honestly a much better use of any harry potter book than reading it,0,2025-01-28T08:09:28Z
@BanenAbbas-n4g,غني على البحرين 🇧🇭,0,2025-01-27T20:15:23Z
@sadafmasood7262,So  cute. I. Love  it.  ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-01-23T16:51:01Z
@medinekucukkaraman,Kitaba yazık,0,2025-01-22T16:14:53Z
@yoginirawool6717,Ha,0,2025-01-21T05:51:43Z
@pravallikag8570,Please do varshini,0,2025-01-17T07:42:44Z
@pravallikag8570,Please d,0,2025-01-17T07:41:51Z
@naheedvlogs,Roses are red violets are blue you came here to check if its true 😂,0,2025-01-15T18:43:23Z
@vandanakumari6169,😮😮,0,2025-01-15T06:15:21Z
@SowjanyaKancham-d7u,🎉supper🎉,0,2025-01-14T15:05:22Z
@youtebererina,Nice😊,0,2025-01-14T04:16:15Z
@LayloBotayeva-j4w,Respekt! ❤,0,2025-01-12T18:05:48Z
@venkatv2680,How are you doing that 😮 that&#39;s amazing 😍,0,2025-01-12T15:57:59Z
@HarryPotterhead-18,You destroyed Goblet of Fire 🔥😢<br>But it&#39;s nice,0,2025-01-12T09:59:34Z
@NazokatXatambayeva,WOW😮,0,2025-01-11T15:34:49Z
@MisriyaSalman-t4h,Please try this name misriya,0,2025-01-11T02:42:57Z
@АйнурАйнабекова-х2ц,Ма-га-зин🤨,0,2025-01-10T16:37:42Z
@vida8660,<del>Holaaa</del>,0,2025-01-09T03:54:59Z
@Felina-y3v,Can you do Fèlina?,1,2025-01-08T17:17:15Z
@محبوبهامینی-ح8م,دیوس میدونی چقدر درخت بریده شده برا این کتاب,0,2025-01-08T15:16:16Z
@sadiasafa2238,😮😮😮😮😮😮😮😮🎉🎉🎉🎉🎉🎉🎉🎉,0,2025-01-08T10:03:02Z
@ivonnellarena9158,A mi me compran un nuevo libro y lo doblo me pegan tremenda ostia,0,2025-01-08T06:30:59Z
@DOOGGY-n4k,😭😭😭😭😭 RUIN HARRY POTTER BOOK FOR THIS,0,2025-01-07T23:58:03Z
@p.acollect,Pov : me when bored class comes😂<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>All are the loser&#39;s  became a big artist when the bored class cames 😂❤,1,2025-01-07T15:36:55Z
@KusumSaini-x1i,Realy a hard work salute 😮,0,2025-01-07T13:25:10Z
@Талантбек-з2в,😮NO,0,2025-01-07T08:42:30Z
@mehboobbhutta8912,Great bro🇵🇰🇵🇰🇵🇰❤❤😊😊😊🤘🤘🤘🤘🤘🤘🤘🤘😊😊😊,0,2025-01-07T01:33:35Z
@mahakmahak6569,Jenias,0,2025-01-06T14:11:23Z
@honeiyart,I love it;),0,2025-01-05T21:33:13Z
@redwantoma3455,Its so isy😂😂😂,0,2025-01-05T08:22:38Z
@bshot1,Bro is really fan of harry Potter books,0,2025-01-05T08:15:28Z
@TigrinhadocumentoTV,me enjoying the rhythm,0,2025-01-05T07:40:14Z
@Ofcbubulii,POV: u forgot to record it,0,2025-01-04T20:49:34Z
@samarpan.5555,❤❤,0,2025-01-04T15:36:21Z
@SathiyaSathiya-ej6ew,Please do keshu,0,2025-01-03T16:06:55Z
@AnhMinhNguyen-qj2bs,Quang Hùng MasterD,0,2025-01-03T06:48:24Z
@LelaMamuladze,Whill u show us tutorial?pls,0,2025-01-02T18:03:51Z
@LelaMamuladze,How u doing this,0,2025-01-02T18:03:38Z
@sakshiyb1584,Potterheads crying in corner❤😂,0,2025-01-02T14:46:19Z
@dark_flower_xxx,اون کتاب برای خوندنه نه کاردستی ....,0,2025-01-02T04:35:29Z
@shaneedataknow6177,His defiantly is The Master !,0,2025-01-01T20:30:09Z
@Jisooplays,Bro&#39;s book folding is better than my handwriting-,0,2025-01-01T11:36:21Z
@er-hw4nh,He&#39;s really a book folding master,1,2024-12-31T21:32:54Z
@POPPY_ppo,Woow man❤❤❤❤,0,2024-12-31T17:53:29Z
@npk9488,Any thalapathy Fans Assemble here❤,0,2024-12-31T11:32:14Z
