Author,Comment,LikeCount,PublishedAt
@Sofiaelizalde46,Credit : pashkevich_valery 🎉,556,2024-08-24T12:41:57Z
@joshbrayshaw8428,"He should become a cop, he would have an unbelievable arrest record!",0,2025-03-20T01:38:24Z
@DonnaKrebs-u7x,Wow awesome 😎,0,2025-03-19T15:00:41Z
@工藤崇-d6s,で？,0,2025-03-19T07:43:45Z
@DanielMontu,send him to participate at the  American Ninja warriors  to compete,0,2025-03-19T03:17:49Z
@TheSavannahCatWhisperer,Human Monkey ! Gave a 👍,0,2025-03-19T02:13:55Z
@DonJon-h2j,Would you look at that just look at it i am are you,0,2025-03-19T00:54:02Z
@Aldo-ul8pm,This guy is amazing.,0,2025-03-18T01:18:44Z
@iliyandzhestanov9602,There was a conveniently placed beam on the concrete wall to grab onto.,0,2025-03-17T17:36:07Z
@AlfonsoLerio-o4z,Wow very nice avellyty congratulations to you both god bless Jesus our way home 🙏❤️🙏❤️ higher level keep it up 💯 percent,0,2025-03-17T12:34:26Z
@mrpartsng,Law of gravity just left the group,0,2025-03-16T20:42:14Z
@meanthmeesao8667,Not the pause before flipping down😮,0,2025-03-16T19:56:03Z
@edwardyetemian8474,Our man flint.,0,2025-03-16T12:02:50Z
@JoshAaker,He should be a cop.. just saying...,0,2025-03-15T21:51:59Z
@GrantDeason-c8b,The real Spiderman! He&#39;s  amazing  what a bad ass,0,2025-03-15T19:51:59Z
@propadrops2079,Parcore should be in olympics,0,2025-03-15T18:12:07Z
@TheCfc22,Defies gravity 😎,0,2025-03-15T13:29:11Z
@RobErt-rs2vy,"Yeah, he deserves it, not you",0,2025-03-15T13:03:30Z
@TerrenceCarman-x3m,"I GOT YOU ,HE TOOK MY WALLET.O.G.B.T",0,2025-03-15T06:50:04Z
@BrianCampbell-rn2hj,Way cool brother,0,2025-03-15T06:44:07Z
@wayneharper2168,Puts spiderman to shame!😅😅😅,0,2025-03-15T04:26:50Z
@PrimanandRaghoe,O my Goodness <br>Awesome ❤,0,2025-03-14T22:39:40Z
@Raysthebars,Well... thanks for giving the cops his name. 🙄,0,2025-03-14T20:41:17Z
@chethuston6006,Very nice skills .but you gonna be not able to hardly walk when you turn 45..trust me.,0,2025-03-14T16:05:13Z
@Powerarmed,I got six little friends all faster than him.,0,2025-03-14T10:58:14Z
@TimothyMajor-b1z,"Man he deserves more than a like,he deserves LIKES, LOVES MILITARY JOBS,❤❤😊😊😊 man he is one bad dudeyou ho bto😊😊",0,2025-03-14T01:14:24Z
@robertmichael8036,He should be in a good movie with talent like that,0,2025-03-14T00:51:34Z
@DebbieTurner-sk1jw,Wow cool,0,2025-03-13T17:22:40Z
@TheJ3llyfishy,i need this aura farming in assassin&#39;s creed.,0,2025-03-13T17:07:47Z
@Burbery777,He deserves a like or you asking fkr a like lol,0,2025-03-13T15:32:06Z
@RonaldMitchell-p8q,😮 yes dog handle your damn business,0,2025-03-13T15:10:30Z
@AlexMutinda-sj6uj,Must be arrested as he is potential robber,0,2025-03-13T09:56:29Z
@WilliamSinger-n6h,Spider-Man casually watching and picking up moves!,0,2025-03-13T03:57:40Z
@ClarenceA.Williams,His good,0,2025-03-13T00:28:06Z
@alexbonser4907,WHY ???¿??????PRICK,0,2025-03-12T17:43:10Z
@rolandkarlsson7072,skills!,0,2025-03-12T14:15:03Z
@petruskompton8825,Mhiii,0,2025-03-12T08:20:33Z
@deonlouw4870,"Hi, Yo you all I&#39;m  certain this brilliant young man father is Superman. 😂",0,2025-03-12T08:05:24Z
@BankoleAjayi-r3n,"This guy is very smart, clever  and his suppose to join d military he will be more useful in d military training to catch up with criminal who want to prove smart he will get him down",0,2025-03-12T07:04:25Z
@MarcusJohnson-w8z,Show him climbing a bobware fence in ten seconds any fence right 😂,0,2025-03-12T06:53:56Z
@Willibrown1000,"Back in Army days on guard duty. Dim lights, no moon light. Was about 30 feet past a corner, heard a sound, ducked to ground all well.following &quot;Halt who goes there ?&quot; I could barely see a figure trying to get into our compound. I could see the intruded fell between the fences. I said something like lay still. Well he got up and tried to run. I took aim and tried to  just warn but the bullet hit the climber in the ass.",0,2025-03-12T04:35:31Z
@francevenezia,Can&#39;t outrun a cop&#39;s radio and dogs and backups and helicopters. 🚨 🚨 🚨 🚓 🚓 🚓 👮‍♂️👮‍♂️👮‍♂️🚔🚔🚔🚔🚨🚨🚨🚨🚨🚨🚓🚓🚓🚓🚓🚓,0,2025-03-12T04:21:37Z
@jeffs1035,Earnest T Bass,0,2025-03-12T04:18:53Z
@Tina-zm8xq,Dats awesome,0,2025-03-12T01:42:51Z
@Phonik5501,Spiderman,0,2025-03-12T01:04:37Z
@user-nz7xv2cu5j,❤❤❤🌹🌹🌹👑🌹👑🌹🌹👑 🥇🪙🪙🪙🪙🪙,0,2025-03-12T00:46:49Z
@JessiSeaborn-d6v,U one badass,0,2025-03-11T23:52:33Z
@AnunakiNakitamo-q8z,One mistake you’re a history.,0,2025-03-11T21:40:52Z
@rickocconnell9056,"Wow, this guy is nearly as good as jackie chan",0,2025-03-11T15:17:32Z
@BollipoAnand,Truly professional,0,2025-03-11T10:29:09Z
