Author,Comment,LikeCount,PublishedAt
@Raph03officiel,Moi voyant que c juste une pub :😬😑😮‍💨,0,2025-03-04T19:39:20Z
@LAKSHANRa-o4w,I need 1,0,2025-03-02T10:12:46Z
@Black_spider_v3,ᴛʜᴀᴛ ᴠɪsᴜᴀʟ ǫᴜᴀʟɪᴛʏ 𝟺ᴋ ʜᴅ 💀☠️❣️,1,2025-03-01T17:26:50Z
@saineshananth4663,Bro plss where u buy this watch,0,2025-02-21T02:09:07Z
@Dice_GT-Edits,Where do I get mine? 😅,0,2025-01-31T05:09:12Z
@THE.OG7779,Where i can buy this pls reply 🙏🏻,0,2025-01-26T16:44:09Z
@Its_DiscountCar,ROLEX LAUGHING AT CORNER  &gt; ~ &lt;,0,2025-01-20T20:18:50Z
@PROGAMING-mg1yd,RICHARD MILLE <br>PATEK PHILIPS <br>JACOB AND CO,1,2024-12-23T17:22:32Z
@AzamKhan-eg8hk,Price in inr,0,2024-12-22T19:24:07Z
@HSV-t7f,"<a href=""http://www.youtube.com/results?search_query=%23driftelement"">#driftelement</a>",0,2024-12-07T15:54:40Z
@SalemanMovar-lk1to,⌚,0,2024-12-06T16:28:25Z
@HunterMubin5757,I&#39;m your subscriber,1,2024-11-26T12:52:53Z
@HunterMubin5757,i need 1 watch please 🙏🙏,1,2024-11-26T12:52:44Z
@ShoaibAfridi-g2d,watch name,0,2024-11-25T14:04:44Z
@Cck_63636,How much bro,1,2024-11-24T15:47:11Z
@Viljar-d6n,How do I get one?,0,2024-11-22T14:44:29Z
@Viljar-d6n,Hos do i Get one?,0,2024-11-22T14:44:02Z
@davudaslanov236,Do You Have AMG?,1,2024-11-21T09:09:47Z
@Khalid.SAlqamzi,I ordered it,0,2024-11-20T13:27:14Z
@SamuraiLime,How much ??????,0,2024-11-17T12:56:17Z
@EDITZ-g9x,My car collection tho🤫💀😎✌️🗿😏,0,2024-11-14T10:15:28Z
@Car-mini,Is there a black and blue one bc I want one,0,2024-11-14T05:12:58Z
@GhostSide-e3u,TOYOTA?,0,2024-11-13T15:30:16Z
@GhostSide-e3u,NISSAN GTR?,0,2024-11-13T15:29:59Z
@Dicky-c5t,How much does it cost <br><br>Him: just one million dollars😅,0,2024-11-11T13:08:36Z
@PhilK-f4z,@driftelement_de,0,2024-11-10T08:59:35Z
@KB-22222,Где купить это?,0,2024-11-09T18:56:50Z
@AzmatAli-nl4kr,"Amazon price 1,890",0,2024-11-09T11:06:41Z
@sayyedalishaikh9295,What is watch name,0,2024-11-08T14:19:14Z
@Liambug99,add toyota,0,2024-11-06T18:19:27Z
@EG_09-r7s,Me catually buys a Maserati potenza for 650 dollars 👍,0,2024-11-05T19:28:19Z
@12coolguy88,Fire?bro it broke within a month i loved these but i HATE this now scratches mis placed arms just don&#39;t buy waste of money,0,2024-11-05T15:48:19Z
@mikepastewka5240,❤❤❤❤😎😎😎😎😎,0,2024-11-02T12:51:33Z
@HydroBlitz1,The lyrics <br>😅😅😅,0,2024-11-01T22:18:03Z
@Pedropedropãodequeijo,&quot;Qual as horas&quot; <br>&quot;Rodas&quot;,0,2024-10-31T19:26:31Z
@ShreyasSawant2008,200ki ghadi hai,0,2024-10-30T16:36:32Z
@balaakter9423,Price,0,2024-10-26T06:48:17Z
@TrenovaWatches,💀,0,2024-10-25T19:45:26Z
@MuditMittal-w3h,Are those supra tiers,0,2024-10-25T18:58:29Z
@aerodriven,you drive a automatic elantra sit down 😂,0,2024-10-25T02:35:54Z
@jaguartarasco575,chavo donde los vendea,0,2024-10-23T02:35:04Z
@gdruller5643,Мусор,0,2024-10-22T10:46:29Z
@alexmania4910,Me:”what is the time”<br><br>Bro:”Uhmm 1pm no 2pm no actually 3pm actually…”<br><br>Me🤬🤬🤬👿👿👿👹👹,0,2024-10-21T10:54:37Z
@munym5,Yoooo bro got the new ROLLex,0,2024-10-21T10:30:01Z
@Swaranarella,How much is it?,0,2024-10-21T00:47:48Z
@hinasorach1861,『今何時？』<br>『うーんだいたい6時半？』,0,2024-10-20T11:35:44Z
@ayeshasadiqa4855,Where I can get one of those plz tell plz,0,2024-10-20T02:07:52Z
@KhangLe-d8x,Try to see the time on  these watch is impossible,0,2024-10-19T20:05:45Z
@Cool_king_2015,I totally don’t have a Ferrari watch and 3 pagani ones,0,2024-10-19T18:32:27Z
@YudieGao,I will do anything for one,0,2024-10-19T18:02:48Z
