Author,Comment,LikeCount,PublishedAt
@AmbasmBakamns,헐 귀엽다!  꼬맹이들 스타일 완전 찰떡이네.  저 옷 입고 춤추고 싶다. ✨🎁💗✨✨🎁💗🩷✨🎉🎁🎉,0,2025-01-18T01:44:30Z
@ritudevi768,मेरे को भीआता है दीदी,0,2025-01-15T09:48:39Z
@ChandrabhagaGaikwad-q2o,I can successfully try this trick,0,2025-01-14T10:29:16Z
@prosperkatako5352,😮😮,0,2025-01-11T22:18:56Z
@peoplesothebible,It&#39;s actually simple,0,2025-01-10T10:07:40Z
@SabahHaseeb,Its ez to do it,0,2025-01-06T18:09:40Z
@SidraFatima-wl9rh,See teacher leg😮😮😮😮,0,2025-01-05T09:56:14Z
@vicki6320,Casi muero ahorcada intentándolo 😂😢,0,2025-01-02T21:45:53Z
@saffiasmath,This is danger🎉😮😮😮,0,2025-01-02T09:06:30Z
@MacarenasoledadBenitez,jajaja que me ise pis😂😂😂,0,2024-12-31T17:55:15Z
@saanvijain8351,Shabash🎉,0,2024-12-30T16:59:52Z
@MihaelaPalade-w6f,Yes!I can!!!It&#39;s just a trick!🤭🙃😉,0,2024-12-30T16:39:53Z
@AkidAhmed-c3j,😮😮😮😮,0,2024-12-30T15:58:26Z
@LacyDowne,I noticed that you didn&#39;t fully put the scarf on your neck I had watched the video 3times to figure it out,0,2024-12-30T07:23:05Z
@SaraMekpo,There is a similair tricks but with a pencil😊,0,2024-12-29T22:33:56Z
@MikatekoGolele-o9n,And that&#39;s why we fail exams😢😂😮,0,2024-12-29T20:08:34Z
@IreneSoriaserrano,Se ve el truco,0,2024-12-29T15:49:00Z
@toluwaseofficial,Ok,0,2024-12-29T14:48:41Z
@YangYangEnderes,Ik the trick,0,2024-12-29T12:40:33Z
@jomateixa3293,Of course yes❤❤❤❤❤,0,2024-12-29T12:11:48Z
@jenniferdahlke9804,And skip the instant I heard the sound 😅,0,2024-12-29T08:26:48Z
@SamuelChinenye-g3h,O saw the trick,0,2024-12-28T21:41:36Z
@comfortaidoo4347,😂😂,0,2024-12-28T12:54:35Z
@upama5867,I noticed the trick 😂...,0,2024-12-28T11:18:45Z
@jaish4119,Hihi 3rd step hi glt h student ka 😂<br>Result toh galat aayega hi 😂,0,2024-12-28T08:57:28Z
@vampirechild7332,They twist it round before pulling,0,2024-12-27T21:15:19Z
@RuthKalio-xe3dh,Guy u almost ended your life,0,2024-12-27T20:55:44Z
@rainbowflameboy2008,Ohhh i understand,0,2024-12-27T19:36:53Z
@diwakarsareen2684,See carefully the second step is different😅😅,0,2024-12-27T18:08:38Z
@IlinailinBba,🇩🇿🇩🇿🇩🇿🇩🇿ياهاه ❤❤,0,2024-12-27T10:04:37Z
@sabithashiju3935,I can do it the teacher is tricky🥰,0,2024-12-27T08:17:18Z
@elainemiller1132,🤯🤯🤯🤯❤️❤️❤️,0,2024-12-26T21:15:49Z
@RodaneKabash,J&#39;ai essayé mais je n&#39;ai pas réussi <br>Incroyable en tout cas chapeau 👍👍👍,0,2024-12-26T21:14:21Z
@LeelaAyyappan-o6l,I got it correct,0,2024-12-26T15:59:50Z
@willempoortinga3852,"So one time its mother daughter, than its sister sister, and now its student teacher?<br><br>Pleace make up your mind",0,2024-12-26T00:25:14Z
@Laurineetjasmine-y9g,Hi,0,2024-12-25T21:30:16Z
@ifunanyachimorategi751,I saw where it went wrong,0,2024-12-25T20:40:05Z
@AylarKulyyewa-mx3re,"Я смогу, я поняла в чём секрет",0,2024-12-25T15:33:18Z
@Lolo12-d5x,Lundi luna,0,2024-12-25T05:57:22Z
@RemikoHanashi,That is so easy what,0,2024-12-25T04:19:02Z
@sunshinedeliveries100,"The teacher didnt rap it fully around her neck, she moved both while the girl moved it fully around her neck",0,2024-12-25T02:23:42Z
@mrcoolguy1996usa,Omg,0,2024-12-25T01:17:20Z
@FatmaelzohraLadjal,أنا عملتها صح,0,2024-12-24T19:02:27Z
@AdrianaPedroza-fn5cp,I know the trick😂❤,0,2024-12-24T18:31:31Z
@isadoratorizani5008,A eu entendi •-•,0,2024-12-24T17:52:41Z
@MariBawilashvili-u3n,მე ვიცი დრბილო,0,2024-12-24T08:04:04Z
@RithuSiva-s3t,Joke😂😂😂😂😂😂😂😂😂🎉😂😂😂,0,2024-12-24T07:38:15Z
@LeonieEbert-r9z,😂,0,2024-12-23T21:01:43Z
@Münevverslk68,Hile varrr,0,2024-12-23T18:09:13Z
@Ilovemybffjana,Wenn man genau hingucken,1,2024-12-23T17:49:44Z
