Author,Comment,LikeCount,PublishedAt
@AnthonyGebrail-gx3bn,Looking dragon,0,2025-03-16T01:24:18Z
@BenDover-l3s,"If you watch it twice, it returns",0,2025-03-12T15:13:48Z
@Onlyizabella,It still works for me ME IN REAL LIFE: I HAVE A SUPER POWER YAAA!<br>👇🏽,0,2025-03-11T02:26:38Z
@Zeyapadua,"If you cant see it anymore, just blink a few times and itll come back",0,2025-03-08T10:24:40Z
@IslaBlu,Tip on how to get the illusion back:<br><br>So basically you just have to focus very hard on the face and it will make it seem like its moving its head again<br><br>Hope this helped!!!❤,0,2025-03-07T03:39:24Z
@JayKennedy-e9i,You have to cross your eyes,0,2025-03-04T00:14:40Z
@rebeccapickering2935,NOOOB!!!!!!!!!!!!!!!!!!!!!!!😂😂😂😂😂!!!!!!!,0,2025-03-01T14:41:53Z
@Isaaclopez-s4g,That’s insane cause it tripped me off for a second,0,2025-02-27T02:39:52Z
@Cuconut1,i could see it if i concentrated really hard but the second you stop it’s back to normal,0,2025-02-26T17:03:50Z
@Kyle-hogaming,"Every time I play the video, I can’t get the illusion back in no more",0,2025-02-25T08:26:28Z
@bradleydoesthings6458,Now that is cool,0,2025-02-23T16:38:10Z
@DarraghVlogs-w6t,I saw this illusion yesterday in the world of illusion,0,2025-02-22T13:35:56Z
@MikeMckinzey,Just forget about it,0,2025-02-18T02:56:18Z
@Blobtic,Just blink and its back,0,2025-02-16T21:34:30Z
@sebastianfloralde7080,Huh,0,2025-02-16T08:55:25Z
@adrianmurillo6725,Just blink once you know the secret,0,2025-02-16T04:03:39Z
@lucysteel6136,Just blink,0,2025-02-15T22:59:05Z
@te_and_left_no_crumbs,I saw this on roblox the game is museum of illusion,0,2025-02-15T21:21:41Z
@Infamous-Spooder,what the hell!?,0,2025-02-15T03:40:50Z
@FarheenBhuiyan,My brain has officially ruined this. I used to see illusion but now I CAN’T because I spent too much time concentrating 😭,1,2025-02-14T22:09:51Z
@Thanos-q9t,I don&#39;t understand,0,2025-02-12T13:28:15Z
@KarimAlbardan,It&#39;s ez blink your eyes then you can see it again,0,2025-02-12T11:15:25Z
@Ur_fav_Zeek-v7h,If you blink fast you can see the illusion,0,2025-02-10T02:01:41Z
@ArshiyaSultana-p9l,Me at starting felling illusion then not after watching again it works how,0,2025-02-09T13:53:22Z
@bpment26,Look at the picture right eye lid and bottom of it,0,2025-02-08T21:21:09Z
@K4king8195,this is so true,1,2025-02-08T17:37:04Z
@stevena.6760,Still works...,0,2025-02-08T12:10:04Z
@johnadams1065,Well I got the illusion back,0,2025-02-08T05:43:23Z
@Ali-nc4ny,"Just look on the line next to the eye you will keep seeing it, but if u blink or DONT focus on that line it will reset.",0,2025-02-07T00:59:05Z
@sleepingbeauty7654,I can unsee,0,2025-02-04T16:48:26Z
@JohnHarrison-v4m,If I focus on a corner of the face then yea it breaks but if I don&#39;t it doesn&#39;t,0,2025-02-04T03:01:57Z
@Mitsubishimaterials-yx8nf,What do those papers on the back say,0,2025-02-03T23:14:59Z
@raymondgoofyhat.,I can get it to work but it’s hard to make it not work,0,2025-02-03T19:49:17Z
@ElizabethMount-u5m,"I think it’s fake because I finished the short and the illusion broke, scrolled down a short, then immediately scrolled back up to this short and sure enough, the illusion magically worked for me again. Can somebody explain how that works to me??",0,2025-02-02T14:09:25Z
@PloompProductions,That&#39;s insane!!!!,1,2025-02-01T01:51:35Z
@lj_aderyn,Focus on the eyes and you can get the illusion back.,0,2025-01-31T01:03:38Z
@YeseoLee-u6x,I actually can unsee thou😂😂,0,2025-01-29T15:29:12Z
@mst3rh3ro,It&#39;s easy for me to keep track when he goes behind it but I lose it every time the video starts over,0,2025-01-29T06:58:18Z
@raphaelcarre6144,Ngl I unsee it every 2 seconds,0,2025-01-28T12:40:48Z
@Edl-xx7xc,I can change perspective. If u look at the line below the eyes and really concentrate. U can unsee the illusion. Anywhere i just see it.,1,2025-01-28T01:42:31Z
@masterzero6084,I just have to blink and then it restarts,0,2025-01-27T22:33:39Z
@HEllenn-v1n,If you look at the nose you fix it,0,2025-01-27T20:45:38Z
@richardlee3597,If you look in the eyes it comes back,0,2025-01-26T20:22:48Z
@loganmelton3778,"Ok, that was creepy.",0,2025-01-26T06:33:47Z
@Theorigenalgangster,Ya i still see the head turning after the revelation of the invertion,0,2025-01-26T04:19:11Z
@lachal50,Only works again for me once it loops and I close my eyes until after the reveal 😂,0,2025-01-24T15:13:11Z
@nicholasworley3977,Ive had the weird ability to turn the illusions on stuff like this on and off.,0,2025-01-24T11:21:22Z
@ImogenKone,....I hate that he&#39;s right. BRING BACK THE DRAGON😭,0,2025-01-24T10:26:50Z
@pathfinder750,Nah it still works and I want one just for me to get a heart stop when trying to get 3 am water.,0,2025-01-24T09:28:46Z
@hunterrammusic,That&#39;s right. It never worked again after the first time<br> Wow,0,2025-01-24T09:11:09Z
