Author,Comment,LikeCount,PublishedAt
@pipecleanercraftsb,materials: baking soda + vinegar. пищевая сода и уксус.<br>Song: Distrion Entropy,1694,2024-07-05T21:00:40Z
@MarclawrencePortacio,Why are you inflating pufferfish,0,2025-03-03T06:49:17Z
@umbilikusmaximus,Well what made that pufferfish,0,2025-03-01T02:07:32Z
@Qw-ertyuu,For those who dont  know<br><br>Baking soda ( base ) + Vinegar ( acid ) = Co2 ( carbon dioxide )<br><br>These two substances make carbon dioxide so the gas fills up the balloon .,1,2025-01-10T07:42:02Z
@hafizalikhan8745,This is so cool 🆒😎,0,2024-12-20T07:18:17Z
@glitchplaysgames714,tried to make it was cool but didn&#39;t work as well as yours did,0,2024-12-20T02:36:11Z
@NotThe_Cringey_Katie,<b>*calmly making the face before using*</b><br><br><br><b>*then aggressively smashes the pufferfish to make them work*</b>,0,2024-12-16T22:37:07Z
@sarpisko7575,Sodium acetate,0,2024-12-07T16:19:11Z
@zofiemuchiel6819,🐡,0,2024-11-27T04:03:23Z
@MaryRose-gl4tz,Him earlier: ✂️✂️✂️ 🧤🧤 💦💦💦 <br>Him now:🔫💣💥🎆🧨🎆🎇,0,2024-11-26T03:34:27Z
@RheaRuthRuiz,You violated the puffer fish😂💀,0,2024-11-17T08:22:18Z
@ForexBR,"Also the punching is to inflate the pufferfish, just hit the balloon and it will inflate! This is done with the vinegar reacting with the baking soda, which releases carbon dioxide. Then, the balloon inflates!<br>Isn’t that scientific? 🐡🎈",0,2024-11-11T21:47:14Z
@ForexBR,Can it work with apple cider vinegar?,0,2024-11-11T21:41:27Z
@MarwaHeaba,العرايس الصغيره دي بتجيبها منين وبكام <br>❤,0,2024-11-07T13:57:18Z
@mariyammalik1316,Something went wrong 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬🤬,0,2024-11-07T07:33:35Z
@mariyammalik1316,Mera kharab hogaya😡😡😡😡😡,0,2024-11-07T07:29:51Z
@McKennaWang,Do they pop?,0,2024-11-03T13:37:31Z
@yasaminkhan6812,❤❤ wow,0,2024-10-20T17:47:15Z
@KulwinderKaur-qw2pk,Very very very nice ❤❤❤❤😊😊😊,0,2024-10-19T10:08:44Z
@zarakhan545,Man super cool😊😊😊,0,2024-10-19T03:47:22Z
@わわわ-k9n,Why does it expand?,0,2024-10-06T05:59:50Z
@iiykiy,迫真のパンチ草,0,2024-10-06T01:51:05Z
@emmettwood4399,What did they do 😭,0,2024-10-05T18:53:13Z
@itsoneguyepic,&quot;Noob vs Pro vs Hacker vs God&quot; ahh musi c 🆕️ℹ️🆖️,1,2024-10-05T12:36:57Z
@Gatorade_4-x9q,Does it work multiple time,0,2024-10-04T21:15:11Z
@riton4613,BOM,0,2024-10-03T16:43:35Z
@Eep160,🐡🐡🐡🐡🐡🐡🐡🐡🐡,0,2024-10-03T13:24:49Z
@notlone7721,Thats a bomb fish,0,2024-10-02T19:38:44Z
@Remu-bv3bc,じわじわくる,0,2024-10-02T12:55:57Z
@ninamartini9782,random video ahh moment,0,2024-10-02T01:01:39Z
@jacobmaddox7119,Eugh!,1,2024-09-30T22:39:08Z
@A0j0k0k0,Hello 2016🎉,0,2024-09-30T15:51:36Z
@stasdimitrovstasdimitrov5818,Vector come Check is out,0,2024-09-28T09:32:50Z
@Пердозавр,А как?????,0,2024-09-27T17:57:32Z
@skylarlanicek8815,its all fun and games until they explode 🥰,0,2024-09-26T17:40:05Z
@henmru,Спс ха рецепт ручной гранаты,0,2024-09-25T18:50:43Z
@FBD4evermore,I found a way to make an expansion 😮😮😮😮😮,0,2024-09-25T18:08:14Z
@Anastasias-Army,WHY SO AGGRESSIVE??,0,2024-09-24T01:20:21Z
@shabanamkhaton4777,Like a pufferfish,0,2024-09-23T14:47:21Z
@Fartingflamingos,puffers just got born and they got puffed,0,2024-09-23T13:53:39Z
@walterfard1161,the way he smashed them lol,0,2024-09-23T00:36:16Z
@ThusdayAftrToonz,Diy water balloon 🎈,0,2024-09-23T00:29:38Z
@ain121,Now we gotta go punch some real pufferfish.,0,2024-09-22T15:04:03Z
@IL9bay,Did something happen to your hand? Get well soon,0,2024-09-22T11:47:07Z
@حسنالابراهيم-ف3ب,شحط 🤷,0,2024-09-22T09:54:42Z
@sumithpriyankara7362,😮,0,2024-09-21T13:48:32Z
@islaharlow1667,Who saw a figure in the back round 😮😮😮<br>👇,0,2024-09-21T07:50:04Z
@原田明彦-b9g,可愛い😍🩷😍🩷！,0,2024-09-21T07:46:01Z
@arlo_the_snail,damn what did they do to you 😭😭,0,2024-09-21T03:20:50Z
@Бактыгул-ы4щ,❤❤❤🎉🎉🎉😊😊😊,0,2024-09-21T02:21:26Z
