Author,Comment,LikeCount,PublishedAt
@samshaw2217,The teachers at school used to do this when we were 10 years old.,0,2025-03-20T08:08:22Z
@DonnieToys,"For godly sorrow worketh repentance to salvation not to be repented of: but the sorrow of the world worketh death. (2 Corinthians 7:10)<br>Let the wicked forsake his way, and the unrighteous man his thoughts: and let him return unto the LORD, and he will have mercy upon him; and to our God, for he will abundantly pardon. (Isaiah 55:7)<br>For the wages of sin is death; but the gift of God is eternal life through Jesus Christ our Lord. (Romans 6:23)",0,2025-02-27T02:48:34Z
@Anilkumar-fb1kw,There are some openings hidden in coloured water which is connected to a short pump  beneath the table. The pump is DC powered and can be operatered with a foot switch.<br>Now everything is easy with some acting,0,2025-02-25T13:40:58Z
@nayeemhassan5118,My brain is broken on what the flip is this,0,2025-02-22T17:37:43Z
@jonboy1000,"Air wouldn’t cool that quick, it’s the oxygen being used up that sucks up the water",0,2025-02-15T22:08:35Z
@pankajhero8866,Nice sir I am from india ❤❤😊,0,2025-02-10T09:18:23Z
@jacobammadov,Pressure what pressure??,0,2025-02-02T20:02:51Z
@thenewmodelworkshop5743,"That&#39;s not 100% true, initial water rising is due to the chemical reaction of fire creating Carbon Dioxide which is denser than the Oxygen content it replaces. This sucks in some water initially, then as the heat source goes out when it runs out of oxygen, the CO2 rich air in the glass cools and contracts resulting in the faster inflow of water.",0,2025-01-29T00:49:20Z
@gibson2623,THis was a very fast heating/cooling of air,0,2025-01-28T20:16:16Z
@hellacooook,Milky hit,0,2025-01-28T13:02:09Z
@zer0legend109,"tylical college incomplete questions, the question should include &quot;concerning the water&quot;, otherwise someone answering the candles will turn off is technically correct",0,2025-01-26T12:00:08Z
@FrisoGorter,...and not a single &quot;flat earther&quot; will understand why.,0,2025-01-25T18:58:35Z
@andrerosa241,That explains high tie at night in Central America. The hot waters expand as they cool they go back.,0,2025-01-24T05:25:35Z
@Theworldisdestroyed,cool vape idea,0,2025-01-23T21:21:09Z
@TLH442,"PV=nRT<br>P	=	pressure<br>V	=	volume<br>n	=	amount of substance<br>R	=	ideal gas constant<br>T	=	temperature<br>The equation shows P and T are directly proportional<br>If P goes up T goes up. P down, same with T.<br>The equation shows P and V are directly proportional.<br>If P goes up V goes up (piston)<br>If P goes down, V goes down (this example)<br>nR is a multiplicative constant of proportionality.<br>Thermodynamics was the most difficult Engineering course I ever took. Harder than Calculus and Organic Chemistry.",0,2025-01-23T21:00:46Z
@cliffnelson1174,Kinda like getting the<br>Uncontrollable farts after eating at Taco Bell.,0,2025-01-23T06:08:46Z
@peterwillson1355,Wtf is a vaisse,0,2025-01-22T23:55:49Z
@divyangpatel7761,How to recycle this gas,0,2025-01-22T13:48:26Z
