Author,Comment,LikeCount,PublishedAt
@FunnyBreezeAB,❤❤❤❤,0,2025-03-16T05:06:51Z
@ShahriarFahim-t1x,🎉🎉,0,2025-03-15T08:49:04Z
@khurramshafiq2940,Are you ok?❤❤😢😢,0,2025-03-07T02:19:15Z
@raweedabegum9851,He might have became the flash after a shock 😂,0,2025-03-06T12:12:56Z
@SavannahRice-mb3oz,I could use that mini ladder for WWE action figures,0,2025-03-02T01:16:52Z
@DehnerBarbosa-r8q,"Setelah beberapa kali coba, akhirnya jackpot datang! Hoki memang datang pada waktu yang tepat!𝗚𝗢𝗣𝗘𝗞𝟱𝟬𝟬 🥳💸",0,2025-02-25T13:45:44Z
@SengAng-u6x,"OMG, is Zack ok? That lightning strike was almost made him a paralysis",0,2025-02-24T12:29:18Z
@MyronGreenAndFamily,The perfect loop doesn’t exi-,1,2025-02-22T14:09:10Z
@rebecka8199,He makes loops for a living,0,2025-02-19T03:02:01Z
@vibrantv,O damn 😹! That 🌨️ has leakage again 😅,0,2025-02-17T08:40:01Z
@KingSolomon-tj3ll,He&#39;s definitely the weather man now 😅😂,0,2025-02-16T11:41:34Z
@geraldmcnally8411,There is just a mountian of corpses building up,0,2025-02-11T02:23:04Z
@ShafiurCreatives-j2u,Wonderful video,0,2025-02-07T05:38:29Z
@LilianaQuinteros-b4c,Rip,0,2025-02-07T03:26:21Z
@Frizzlelink,Who u working for ?  Thor ?,0,2025-02-03T05:08:38Z
@Frizzlelink,Who u working for ?  Thor ?,0,2025-02-03T05:08:23Z
@Frizzlelink,Who u working for ? Posidon ?,0,2025-02-03T05:08:10Z
@MahaveerSingh-zg4ep,👍👍👍👍👍👍,0,2025-02-02T10:54:41Z
@bananabread-w6h,your good at loops,0,2025-02-01T23:47:26Z
@kristicobo9529,😂😂😂😂😂 Bell video,0,2025-02-01T22:50:27Z
@Fusion_Channell,Cool magic ❤❤❤,0,2025-02-01T18:24:14Z
@charleswhitticker-hm1gy,No salt,0,2025-01-31T00:29:17Z
@memethomas266,Good 👍,0,2025-01-30T19:24:45Z
@dawncorbett5347,It&#39;s slight in😂😂😂❤,0,2025-01-30T12:37:54Z
@Mr.funnysabur,😮😮😮😮,0,2025-01-29T01:53:41Z
@charlenefisher2181,The loop is. Soo good!😮,0,2025-01-24T01:13:17Z
@AlliNooha,❤❤❤❤❤❤,1,2025-01-23T14:56:14Z
@Centidenbesttryluck,The cloud is cute,0,2025-01-22T03:26:14Z
@SigmaTimmy666,turn the the knob to snow pls 🥺🙏,1,2025-01-21T15:39:34Z
@senadfeta617,Sun is Bad.👎,0,2025-01-21T13:39:17Z
@Nasr-p7d,Oh No!,0,2025-01-20T20:47:58Z
@alexianasampson1689,pov: if humans had to fix clouds😂,0,2025-01-20T18:17:10Z
@eddiemaci,Never gonna make videos cause you’re dead😢,0,2025-01-20T14:03:33Z
@nattanicha2420,Kingston spiritualist oh there it is beyond song play just like😂😂😂,0,2025-01-18T20:30:46Z
@CalebPayne-tl5nt,@ Caleb Payne,0,2025-01-17T23:19:34Z
@CalebPayne-tl5nt,R,0,2025-01-17T23:18:32Z
@donghouwang,Full of special effects,0,2025-01-17T13:58:55Z
@WechatPwtprow,Elevator mitsubishi electric,0,2025-01-17T03:29:58Z
@noelpulong,What the f####,0,2025-01-15T22:37:08Z
@zemulislam,Love that you tried something new.,1,2025-01-14T22:07:57Z
@JumayevaZuhra,Bu qanoqa viyo😢😢😢😅😅😅❤❤❤❤❤❤❤❤❤,0,2025-01-14T08:49:30Z
@SourSick101,Bro took “lightning in a bottle” a bit too seriously,0,2025-01-13T06:41:17Z
@unknownperson_2711,This feels like something from my dreams,0,2025-01-12T13:54:17Z
@austinsharma4908,Dont mess with nature,0,2025-01-11T11:55:51Z
@gregwilson397,How did you open a cloud?,0,2025-01-11T05:41:46Z
@unitelligent_being,dude im pretty sure i have that exact same ladder,0,2025-01-11T02:32:22Z
@shreekumarimaharjan5251,Weep,0,2025-01-10T14:03:12Z
@sad_goku,Is it just me? Or does Zach sound like Ryan renolds,0,2025-01-10T06:33:32Z
@mend-erdenemajig2394,You can&#39;t zach king,0,2025-01-10T04:38:28Z
@tammystrapko6695,Perfect loop,0,2025-01-08T21:52:35Z
