Author,Comment,LikeCount,PublishedAt
@waytothenewworld,Wow,0,2025-03-20T07:44:22Z
@ey_rar,Bros in silent hill,0,2025-03-02T03:14:18Z
@Jo-hr3fy,"Um, why? 😂",0,2025-03-01T23:21:34Z
@ianliggett5611,I cant tell if this is A.I. or not,0,2025-02-28T00:44:25Z
@Raptor-Bricks-Official,What camera do you use?,0,2025-02-20T23:18:30Z
@RamonaNilx9ec,Wooow,0,2025-02-20T14:40:10Z
@abby-vs4us,10 YOUR SELFISH<br><br>| keep it going |,1,2025-02-17T22:54:02Z
@DMWinterburn,Fake BS,0,2025-02-17T20:31:18Z
@Youtube-mr.pickle,That looks fire,0,2025-02-13T21:43:01Z
@lucasbryant7641,Zack d films wanna be,0,2025-02-13T19:54:50Z
@khrlffndy,They went to Silent Hill just to take some photo with a puddle,0,2025-02-12T13:11:50Z
@katharinlannon4061,Stunning picture 😊,0,2025-02-11T06:28:36Z
@S7ARRY-y4c,Stopping the car in silent hill to take this photo,1,2025-02-10T20:06:52Z
@Kingland001,good camera,0,2025-02-10T11:27:12Z
@TyCouture-l5c,"Yeah, all you need is muddy. Water leaves in a $3000 camera.",0,2025-02-10T01:59:44Z
@Zopf-international,Yes yes and use photoshop too.,0,2025-02-09T20:07:04Z
@thebr3310,Just remember to spend 3 or 4 hours to make it look like something it isn’t.,0,2025-02-09T04:58:38Z
@Larry-pg5yk,I&#39;m trying to edit my videos I&#39;m actually no but thanks that&#39;s a good tip,0,2025-02-08T03:32:29Z
@robertvigh9699,🐎💩,0,2025-02-05T21:05:45Z
@exquisiteextras,Almost a dopamine hit,0,2025-02-05T12:41:27Z
@Peter-n2d9e,Nice photo,0,2025-02-05T07:24:49Z
@XLANVM,Just make sure to go to a sketch wooded area with tons of fog,0,2025-02-05T01:27:13Z
@lexietysk5796,I would have to go to silent hill for this so no thanks,1,2025-02-03T03:46:37Z
@koverton,"People who are like, why is it so foggy?<br>👇",1,2025-02-02T23:31:27Z
@l.k.y.,Yall do a photo shoot on silent hill?,0,2025-02-02T02:45:29Z
@margaretakins6829,stupid.,0,2025-02-01T17:31:40Z
@nickdelucenay2963,Thanks for letting me fill up the puddle when I needed. Thought I couldn’t do that.,0,2025-02-01T15:43:42Z
@AnuraJaya-yu6uq,Poor cameraman,0,2025-02-01T13:20:43Z
@bycorduroy8269,here’s an epic idea on how to make some pinterest 2010 shit,0,2025-01-31T18:23:35Z
@stef-ruvx,Step one - go to Silent Hill,0,2025-01-31T14:36:10Z
@BenSaville-mq6jo,"The face you make when you realiize all of yer inttellect went into taking a picture of some girl&#39;s ass. Gee, what are you going to do when the mexicans are not around to do the work you cant do?. Dont worry, yer a star.",0,2025-01-30T19:46:40Z
@BenSaville-mq6jo,"Its not the leaves. Its not the water. Dont even need a fancy camera. Uh. Uh. Uh, you might.",0,2025-01-30T19:35:42Z
@Ehab_KO,💩,0,2025-01-30T14:24:37Z
@thugziIIa,so sad what people can do with money and zero talent.,0,2025-01-29T16:26:36Z
@MercyseaOfficial,Or use clean water and brown food colouring,0,2025-01-29T15:43:41Z
@susanh7708,😮😮😮😮😮😮😮😮😮😮😮😮😮😮,0,2025-01-28T23:19:48Z
@tavo7465,Where are you? Silent hill?,0,2025-01-28T20:18:52Z
@yogitaram5102,"Kids are not allowed to play in puddles , as it belongs to adults now for the photo shoots.",0,2025-01-28T09:46:42Z
@punishedsteak5150,Ok.,0,2025-01-28T04:07:34Z
@Itwasntalieitwastrueinmymind,&amp; my guy still got no play for all his simping servitude,0,2025-01-28T03:34:51Z
@SammyJo717,Nice picture but I don’t think I really want a picture of boots in a muddy puddle.,0,2025-01-27T12:50:33Z
@JarppaGuru,why we need make same photo? why you need make that allready done xD,0,2025-01-25T12:12:43Z
@lordkrishnastolemyheart5485,"What&#39;s more amazing to photograph is that beautiful, enchanting foggy day!",0,2025-01-24T21:26:08Z
@michaelramlal9876,Normally when you&#39;re running you typically avoid puddles and potholes,0,2025-01-24T06:11:14Z
@CTucker-u8l,It looks like chocolate milk in the images,0,2025-01-24T00:35:34Z
@maryvandeusen5554,Or get a job.,0,2025-01-21T18:28:57Z
@handrymingkid,❤,0,2025-01-21T08:52:13Z
@mrsdoubtfire534,So?,0,2025-01-20T21:05:51Z
@jessies16,parhaps not if its that big of a deal,0,2025-01-19T15:02:15Z
@Phoebe-b8h,What in the christian girl autumn,2,2025-01-19T02:51:46Z
