Author,Comment,LikeCount,PublishedAt
@quigonjinn3567,This acting =&quot;What are you doing Step sponge?&quot;,0,2025-03-20T16:02:04Z
@kherlenbatbatsaikhan1484,Get this short 1B views bc he’s in 998M views,0,2025-03-20T12:58:33Z
@vbhgs257,nah 1B views for this 💀,1,2025-03-17T22:48:42Z
@taylorturner1893,Lmao,1,2025-03-14T05:17:51Z
@martinvaldes9344,No way this shit is about hit 1B views,1,2025-03-14T03:16:25Z
@danistoonice,Guys this is so close to 1B Views cmon WATCH IT!!! 1M more so we can hit it,1,2025-03-13T11:50:34Z
@burgirlRBLX,"This is fake cuz they would prob calls him by his real name, his name ain’t topper",0,2025-03-11T01:24:25Z
@a112-c7w,This does not deserve 1b,0,2025-03-10T16:12:58Z
@CorgiPlayz-yn7tq,Most staged thing ever,1,2025-03-10T05:09:58Z
@Plushclips6668-mm2,It’s almost to 1B VIEWERS!!!,1,2025-03-05T05:26:57Z
@LJMoorhead,You are the best,0,2025-03-03T01:23:05Z
@Beans-was-taken,This is the most pathetic thing I’ve seen in my life,0,2025-03-02T22:04:05Z
@lamineyamal17-k4s,his hair looks like antoine griezmann,1,2025-03-02T11:30:56Z
@Aze_Editss-z2d,I love Topper❤,2,2025-03-01T20:39:53Z
@DraxRumbles,Anyone watching this in 2025?<br>👇,3,2025-02-28T13:09:24Z
@Itztoca.._..aesthetic02,Omg topper guild short almost hit 1 billion view its already 998 milllion 😮,0,2025-02-27T02:22:32Z
@ducdo744,Grateful for all my subscribers :),0,2025-02-26T15:37:09Z
@ducdo744,Grateful for all my subscribers :),0,2025-02-26T15:36:31Z
@ma66ji27,Sponges,0,2025-02-26T10:35:30Z
@DwayneNhitzkyle,Bro 998m views is crazy and is from 21 years crazy,2,2025-02-24T11:39:10Z
@mpsibi,BRO THIS VIDEO IS 998M VIEWS CAN U BELIEVE THAT😮,1,2025-02-24T10:33:03Z
@WILLSONCHUNGMoe,Yummy 🤤,0,2025-02-24T10:12:41Z
@David_3313,Here in 2025,0,2025-02-23T17:56:55Z
@alexscottgame2797,Your gonna get soaked!,1,2025-02-23T05:29:59Z
@melissacaldwell8057,Almost 1biloon,0,2025-02-22T22:44:43Z
@Wyatt-td3ov,Who’s gonna tell him paint is worse than a sponge,0,2025-02-22T16:14:13Z
@Rolten_plays,How the hell does this have a billion views?!?!?! Are you guys stupid???,0,2025-02-22T15:57:27Z
@NinjaXD57,BROS GONNA BE THE FIRST PERSON TO GET 1B VIEWS,1,2025-02-22T12:21:22Z
@TTGCCO640,This shorts deserves 1B views,3,2025-02-21T20:45:34Z
@879unicorn97,People in 2025<br>👇🌸🌸🌸🌸🌸🌸💯💯🌸🌸😃,0,2025-02-21T14:22:54Z
@JBloxOfficial,ALMOST 1B VEIWS,1,2025-02-21T01:13:53Z
@perfectdisaster1682,Bro i think um you kinda need a haircut,0,2025-02-18T22:52:09Z
@lailumamalikzai4249,998M Views IS CRAZY,0,2025-02-18T15:59:06Z
@laraalmeida2124,Bro she had a heart attak,0,2025-02-18T12:40:11Z
@New.VKgaming6969,(Loading to 1billion),1,2025-02-18T11:57:02Z
@dyx2011,😂😂😂😂😂😂😂😂😂😂😂😂😂 lololololololol,0,2025-02-17T15:05:14Z
@AaronOrellana-q8q,We need 2 million more viewers,1,2025-02-17T05:16:01Z
@WuhazuYT,Get topper to 1B!!!,1,2025-02-17T01:08:02Z
@ilyanaziri.bnbtf5fyuwfedx136,"SpongeBob,blue😂😂😂😂😂❤",0,2025-02-16T09:55:58Z
@mr.entertainmet,How the heck it got that many views,0,2025-02-16T06:06:29Z
@BarbapapaRobloxSpeakersPhones,1 billion views is coming,0,2025-02-14T11:20:19Z
@Dylan67Taney,Yeah because she clearly didn&#39;t see the icing on the napkin 💀,0,2025-02-13T07:07:35Z
@БорчеКитановски,😂😂😂😂,0,2025-02-11T19:21:03Z
@PearyTown,dude  that paint,0,2025-02-10T00:48:35Z
@CrispyEnton,Bro over 900.000.000 Views,0,2025-02-08T18:06:09Z
@jagypillager2238,This video has 999m views,2,2025-02-08T02:37:53Z
@John-q2i4h,Fakest video I have ever f*cking seen,3,2025-02-03T22:11:36Z
@Sonic123-b6t,Bro Mister Beast will not be happy with Fede and Mrs Beast&#39;s plagiarisms,0,2025-02-03T21:40:28Z
@KamilaAman-c4o,😂😂😂😂😂😂😂😂😂😂😂😂,0,2025-02-03T16:01:39Z
@Aaaaaaaaaaaaaaron,This video is almost at 1 BILLION views!!!,0,2025-02-03T00:10:08Z
