Author,Comment,LikeCount,PublishedAt
@SheryllRegacho,MAGIC!,1,2025-03-20T22:25:27Z
@madhurivaghela-po5hb,And this smile is very horror of course and this drawing is very nice❤❤❤,1,2025-03-20T14:28:24Z
@ArhamRizwan-yg9qo,Nice,1,2025-03-20T12:45:39Z
@MoneyDoggie,So the part where he ppl uta the pencil under is edited because its pmdraqing,0,2025-03-20T06:03:11Z
@MrArtcraft_01,What ❤,1,2025-03-20T04:41:49Z
@Himanshuplayz245,Wow!,2,2025-03-20T03:21:56Z
@justhere7392,The part were he puts the pencil under the illusion is fake.,0,2025-03-20T01:59:57Z
@ambreenabbas8169,How,1,2025-03-19T15:33:54Z
@JenniferFabreag,Scroll fast!<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>⁣🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕<br>🌖<br>🌗<br>🌘<br>🌑<br>🌒<br>🌓<br>🌔<br>🌕,0,2025-03-19T09:27:01Z
@dhananjaydubey883,😂,1,2025-03-19T08:53:44Z
@meisrobloxorphanage6975,realistic ❤❤❤❤❤❤❤❤❤ you’re a professional art ￼￼,1,2025-03-19T08:20:30Z
@RonajaneBulontate-w2o,That is fake,0,2025-03-19T05:59:38Z
@nupurmaheshwari1002,Look your ball😂😂😂😂😂😂😅,1,2025-03-19T04:42:50Z
@ZebaKhan-dc7muuiigfhi,❤❤❤❤nice 1👍🙂😊,3,2025-03-18T14:32:30Z
@naruto_plazYTT,HOW,1,2025-03-18T00:52:51Z
@naruto_plazYTT,HUH,0,2025-03-18T00:52:38Z
@MohiniBS,How does it work 😮😮😮😮😮🎉 nice,1,2025-03-17T16:45:18Z
@Akverma574,How to draw,0,2025-03-17T08:39:22Z
@samihbintihkodim,Woww.... Amazing 😱😱😱,0,2025-03-17T03:25:26Z
@zajef37zajef37,IS that a fricking glagglr,0,2025-03-16T15:02:48Z
@Jeanne-f6d,WoW😮,0,2025-03-16T14:54:13Z
@seemashakya8740,Who noticed the sponge smiley ball😂😂😂<br>Edit :- Thanks for the likes🤩😇,1,2025-03-16T09:44:15Z
@soniyahabib7002,Smiley ball wala Bhoot,2,2025-03-16T06:40:17Z
@suginong9801,me,0,2025-03-16T05:48:24Z
@juanaandres-nm9rs,Look at the ball,1,2025-03-16T00:40:41Z
@DRAGONAWERTEAMRana,@dmtkirtay abla daha iyi yapar,1,2025-03-15T19:25:16Z
@RhamotArt,Very good drawing ❤❤❤❤❤❤,1,2025-03-15T17:23:00Z
@ritugupta3009,Look at the sponge ball😂😂😂😂😂😊,1,2025-03-15T15:06:47Z
@Fellicia1718,Tuto please,1,2025-03-15T14:47:44Z
@janikkafaitheramis8575,What?????,1,2025-03-15T12:38:48Z
@HusnaQureshi-d4y,Bol bol,1,2025-03-15T09:12:19Z
@DilekYılmaz-p7j,How about,1,2025-03-14T12:59:44Z
@saritanihar4753,❔️❔️❔️❔️❔️❔️❔️❔️❔️❔️❔️,1,2025-03-14T12:46:15Z
@ivywasaniceperson,We can&#39;t know 😱,1,2025-03-14T11:40:47Z
@AvinashRamagiriavinash-x3j,Bro I saw the ball!!!! Is so scary,1,2025-03-14T08:09:45Z
@ZPmaster-yt,😂😂😂😂,1,2025-03-14T07:02:47Z
@natalienatalie-q5p,90% of the comments: talking about the ball.<br>9% of the comments: saying how cool the illusion is!<br>1% of the comments + me: asking how  the pencil went under the square/rectangle,1,2025-03-14T04:15:44Z
@MXXGANGYT,I&#39;m confused,1,2025-03-13T23:27:17Z
@hamraSamiullah,But how,1,2025-03-13T11:46:33Z
@AzkaFarheen-fz2fj,And so good sketch👍,1,2025-03-12T18:50:27Z
@AzkaFarheen-fz2fj,Did you see the 😊,1,2025-03-12T18:49:49Z
@ElsofiaGaming,How❓😮,0,2025-03-12T14:33:36Z
@ReshmaDadwad,Kaise bana ya hai,0,2025-03-12T13:42:56Z
