Author,Comment,LikeCount,PublishedAt
@JohnClayton-rq5sj,Bro just said &quot;Yo y&#39;all actually still believe in gravity. Just walk on the wall man it&#39;s easy.&quot;,0,2025-03-20T00:20:36Z
@PamVR-929,Lol,0,2025-03-16T00:13:34Z
@Peyton-i2t,The classic upside down house,0,2025-03-15T20:24:42Z
@StrongerFish309,I literally cannot tell which way is normal...😅,0,2025-03-13T00:12:00Z
@niyazkhan1207,Its very realistic the way he gets up.,0,2025-03-11T13:15:48Z
@memedood,Yes,1,2025-03-05T21:05:09Z
@KayGirlie,it might be a helium basketball but how do you explain the net?,0,2025-03-03T22:41:24Z
@Meandmyponies101,Im do confused 🤔🤔🤔🤔🤔,0,2025-03-03T20:42:01Z
@Weluv_Abby.x,Defying gravity ✨ ✨ ✨,1,2025-03-02T20:18:32Z
@MarkAngeloPalaya,Nice effort,0,2025-03-02T10:10:36Z
@chenellethompson6419,bro i new it that mush tap and gravity with the ball well helium is a thing,0,2025-03-01T21:31:21Z
@CharlieCerny,Ballon basketball and your upside down,1,2025-03-01T16:46:10Z
@Pabger_AC,То единственное видео где я реально поверил,0,2025-02-24T07:16:46Z
@redlucccy,😂,0,2025-02-22T07:26:11Z
@Bruce_2010,I&#39;m still confused,0,2025-02-20T17:24:50Z
@Reallof,Bruh Thais video makes me dizzy,0,2025-02-20T03:09:50Z
@nathenleavitt,"Not the painting that tyler did in the background, overtime 16",1,2025-02-19T20:55:05Z
@dylancompton4024,The ball rising to the roof so perfectly and bouncing like a actual ball isn’t allowing my brain to accept this as I know it is,0,2025-02-17T03:22:28Z
@Onechosen,Ones who knew the room was flipped -,0,2025-02-16T22:26:26Z
@Likhaya_2,Definitely got me ngl😂😂😂,0,2025-02-16T21:17:00Z
@EdvinasStankevicius-fn6qy,Bro become spider man without a spider that bite him☠️,0,2025-02-14T22:30:09Z
@mitu52525,騙されたw,0,2025-02-10T23:03:24Z
@Hsp1983,Bajumu tidak terjatuh .. LOL 😄😃,0,2025-02-10T19:28:04Z
@TheGodsOfOld,Niiiice,0,2025-02-09T16:45:35Z
@jayre872,My life was a lie 😮😂,0,2025-02-09T04:55:48Z
@DragonSedai2009,This whole thing is incredible i mean its so hard to tell how he did it,0,2025-02-08T17:54:02Z
@jazzypoo45,You is in an upside down house,1,2025-02-06T02:11:08Z
@billybeamng,The fact that an upside down set was built for this is wild,0,2025-02-05T21:55:15Z
@bobbywright8748,gonna tell my kids this was Tyler,0,2025-02-05T11:44:27Z
@hulkrayyn3587,👍,0,2025-02-05T05:22:16Z
@ofentsemogaleworldwide,yo,0,2025-02-04T17:36:25Z
@vipinkrishna200,Great acting 👏🏻👏🏻,0,2025-02-04T05:55:14Z
@ethanstern519,"By the way, he didn’t flip the screen he just edited himself to the ceiling how is that so hard to see",0,2025-02-04T03:11:03Z
@kasey4473,me turning my phone around and 😂😂,0,2025-02-02T23:01:47Z
@rickpontificates3406,Headline; &quot;NOT TOO BRIGHT YOUTUBER PARALYZED BY FALLING ON HIS HEAD AFTER TRYING TO GET LIKES&quot;,0,2025-02-02T18:42:19Z
@CalebAnnetts,My house isn&#39;t housing,0,2025-02-02T11:07:07Z
@hasekg39,Tips on how to end up in a wheelchair 🦽,0,2025-02-02T02:51:11Z
@PgShahrulaliminPgTuah,😖😖😖😖😒😒,0,2025-02-01T05:27:02Z
@jsupreme5418,i’m so confused 😭,0,2025-01-31T14:25:55Z
@salehtex_t,Heliom ball,0,2025-01-31T13:45:00Z
@JlpPl4yS,That’s so fake😮,0,2025-01-31T04:49:51Z
@RealAvin1,"The reason because he’s folding up, it’s because there are green screens holding him",0,2025-01-31T00:12:59Z
@LazPogue-o6r,Bro is not zach😂,0,2025-01-30T23:56:42Z
@KaiKovar,The shadow gives it away,0,2025-01-30T23:01:37Z
@percentagon4761,How on earth do those reverse balloons work,0,2025-01-30T21:12:22Z
@보겸팬티도둑,와 이건 속았다 ㅋㅋ,0,2025-01-30T13:38:30Z
@khanghuynh5603,The ball is wierd,0,2025-01-30T10:04:03Z
@49HEALTH,I was like ah it’s an upside down room and then I saw the balloons and I thought heh? Couldn’t tell what was what for a second lol.,0,2025-01-30T06:34:51Z
@JuniorLukas-du7fm,Your hat is not falling😂,0,2025-01-29T23:17:12Z
@DrakeCrawford-j3n,Yo how wha wha huh,0,2025-01-29T19:17:03Z
