Author,Comment,LikeCount,PublishedAt
@张可可-x8t,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻😂😂😂😂,0,2024-12-18T18:03:48Z
@Wufang-d1z,不能班男生嗎？😂😂,0,2024-12-15T04:43:36Z
@林菁菁-x3z,可以請你放慢教教我嗎？,0,2024-12-14T04:55:53Z
@JamesChun-o2b,I  am a boy in my class that knows this 😊,0,2024-12-13T15:17:12Z
@LeWong-gx2it,女生：喔..<br>男生：血量+精神攻擊-9999999999,0,2024-12-09T02:05:02Z
@user-hy9fr9we7o,女生表示蕭煌奇都看的出來,0,2024-12-08T09:42:44Z
@yentsy82,下次能不能表演大便活人,0,2024-12-08T03:31:37Z
@蓝翔梦,沒有貶低的意思，但我真覺得會被驚喜到的只有幼兒園小孩或小學生，弄這個給女生看，女生只會覺得你在侮辱她的智商。,0,2024-12-02T10:19:11Z
@陳佳文-e4r,蠻厲害的 運用了一些原理,0,2024-12-01T18:45:25Z
@郭菲菲-b9s,我們班男生用到一半皮筋斷了😂,1,2024-12-01T12:22:16Z
@qingng4546,😮!,0,2024-11-30T11:44:27Z
@coco19830831,兩條好像在一起,0,2024-11-28T04:19:36Z
@林雪香-c2t,😂,0,2024-11-23T09:07:08Z
@沈鳳玉-e8m,這個我也會耶 超棒的！,0,2024-11-21T12:08:51Z
@琳怡賴,50102❤,0,2024-11-19T13:28:43Z
@生蠔bb-2016,我就是女生...😂,0,2024-11-17T11:51:26Z
@C.A.X.369,懶覺消失術想學不！示範給喜歡的女孩子看<br>大家都會很開心喔<br>😂😅😢😮😊❤🎉,3,2024-11-14T05:44:36Z
@kawrbura11,留言還可以跟chat gpt互動欸超好笑,0,2024-11-13T11:18:59Z
@kawrbura11,您好,0,2024-11-13T11:18:25Z
@kawrbura11,跟我承認你是Ai自動回覆留言,0,2024-11-13T11:17:58Z
@秀盆沈,我就是女生!,0,2024-11-11T12:49:09Z
@謝沐家-i1o,男生：欸欸 我回變魔術哦！<br>女生：好喔 ...,24,2024-11-10T09:43:57Z
@ADDADD-ez9py,真<br>厉害,1,2024-11-09T14:11:39Z
@BLUE857-s9d,我觉得没有什么用,0,2024-11-04T20:57:58Z
@王強維,你覺得呢我也是女生呢,0,2024-11-04T08:35:15Z
@StarEevee星伊布,这我11岁的时候就会了，So easy,0,2024-11-03T23:30:38Z
@noobmarstw837,前提是有女生關注 哥布林 一起 強大！,0,2024-11-03T13:08:44Z
@森的頻道-g3f,當你在玩橡皮筋的時候…<br>女生：你看 又在白癡了 又在白癡了<br><br>帥哥拿橡皮筋的時候<br>女生：你看他好帥喔！好厲害喔！,0,2024-11-03T12:46:35Z
@06kerry46,首先根本不會有女生理你,0,2024-11-03T12:33:27Z
@sophina0408,不，女生有時嗤之以鼻，男生有時靜坐嘆息,0,2024-11-03T10:41:18Z
@惡魔的祝福,太棒了我要去嚇唬男生😂,0,2024-11-03T08:06:57Z
@missma7394,沒事為什麼要怕這個魔術😂,0,2024-11-02T11:26:35Z
@chaochinglien6548,把女生當傻逼喔！😅,0,2024-11-02T10:39:55Z
@ivanlin6005,回答我,0,2024-11-02T10:21:49Z
@ImVivian0726,我女的😂😂,0,2024-11-02T06:18:39Z
@施祐旭-q2j,可是我就是女的...,0,2024-11-02T01:50:25Z
@楊奕茲,拜託就是女生是變魔術師,0,2024-11-01T12:48:28Z
@林廣清-d1r,我做到了🎉,0,2024-11-01T11:09:31Z
@Cottona_Milk,我是女的我嚇男生ㄟ😂,0,2024-11-01T05:32:49Z
@Bella-balabala,不能嚇唬全班男生嗎？,1,2024-11-01T05:30:33Z
@cindy60726,沒事，我自己就是女生,0,2024-10-31T06:54:45Z
@林漾妃-z6c,我以為為什麼有兩個橡橡皮筋😂😂😂,0,2024-10-31T05:58:55Z
@劉映麗-t7h,手我會了！腦子別鬧你不會,1,2024-10-31T05:26:06Z
@orangecelebrity,女生：？无聊男生：卧槽，真的假的？怎么弄的？,0,2024-10-31T02:29:08Z
@CAT_With,你是一個有認真經營頻道的人，會用翻譯來回覆訊息，值得訂閱,29,2024-10-31T01:23:33Z
@MoiKueeLee,什么原理？？,0,2024-10-30T15:43:12Z
@singn7100,嘿嘿我們班沒有女生,0,2024-10-30T14:12:21Z
@NiceBacon0,嚇唬全班女生❌<br><br>令全班女生覺得你_ _,0,2024-10-30T03:04:38Z
@鸚鵡呱呱呱,為啥是全班女生不能全班男女嗎😑,0,2024-10-28T10:35:33Z
@張軒瑋-k7k,我變了之後沒人屌我，但上次我從口袋變出一疊鈔票，女神就跟我要IG了,0,2024-10-27T11:06:33Z
