Author,Comment,LikeCount,PublishedAt
@JessicawaverlyLilo,😢😢😢❤🎉🎉,0,2025-03-20T22:38:32Z
@VladCristiuc,Pure memorical...,0,2025-03-20T19:29:21Z
@Nox2000YT,Th-that’s not yellow,0,2025-03-19T23:21:24Z
@JamesMcCall-mb3jp,His color was green I think he is autistic,0,2025-03-19T22:47:21Z
@MinaYun-n7v,Nanami?,0,2025-03-19T09:57:52Z
@LindaSumar-qd3rp,But his colour was green not yellow..did he break the rules,0,2025-03-19T07:12:03Z
@sarah3211,🥲,0,2025-03-18T13:47:02Z
@icycrafter3079,"He ain’t even yellow, he had the green side",0,2025-03-17T22:29:33Z
@MargaretteCo-v5r,...that&#39;s green-,0,2025-03-17T13:52:29Z
@autumnwhistles-yc5xb,awwww,0,2025-03-17T13:19:38Z
@hannatuss,Um that’s green not yellow,0,2025-03-17T11:56:31Z
@irajhaniy,I had this parachute at my school,0,2025-03-17T00:32:00Z
@zari9271,he looks like lip gallagher,0,2025-03-16T19:54:10Z
@Axalotl_cute,das ist grün,1,2025-03-16T16:52:13Z
@serdnalubrin9643,Bro the reson that he never got his color is becous he is color blind literly also its green not yellow,0,2025-03-16T03:26:23Z
@janyaminhas7574,Omg  NANAMI,0,2025-03-15T22:18:16Z
@Lucia-g1m2q,Bro I started liter crying 😭,1,2025-03-15T21:32:21Z
@RobbieJohnson11,Green...😂😂😂,0,2025-03-15T07:30:38Z
@Evan-x7i7t,That is not yellow💀,0,2025-03-14T14:55:13Z
@Thanoseditgirl,Im lea,0,2025-03-13T20:38:07Z
@ZForceSt,It&#39;s green,0,2025-03-13T20:16:07Z
@thatGUYbehindthemask,i swear they never called my color and we only ever did this once lmdao,0,2025-03-13T11:24:27Z
@itsnotascam-k2n,Im just out of words right now this is making me wish I did this.,0,2025-03-12T05:31:51Z
@infinitycorp.1,I mean no disrespect gentlemen however I have found myself inn quite the calamity of: WAS THAT HARRY FU**ING POTTERS TOWER JN THE BACK GROUND!!! And one more calamity that happened to be strike me by surprise is that you are indefinitely colorblind. Just a helpful reminder! :),0,2025-03-12T04:46:32Z
@RadostinaDobreva-yc6in,I love doing that&#39;s what I thought there was a little balloons and playing with these things,0,2025-03-11T20:14:22Z
@AqilRezqual,Everyone  never even see me😢 noyone what&#39;s to be my friend,0,2025-03-11T11:20:37Z
@Latiadenahuel,Thats green,0,2025-03-11T08:32:23Z
@Stickmaneatshotdog,The fact that I never did this as a kid breaks my heart,0,2025-03-11T06:48:10Z
@leaw2163,Eternal Sunshine of the Spotless Mind,0,2025-03-11T05:00:21Z
@liviawong71,I played these games before😢 <b>realizes</b>,0,2025-03-10T07:02:25Z
@GorillaTag878,Idk if I’m colorblind but that is NOT yellow,1,2025-03-09T05:51:20Z
@AndreFabiano-t6g,Where is that yellow its green,0,2025-03-08T23:27:22Z
@veronicamansson453,I real so bad😢,0,2025-03-08T22:06:40Z
@Wandamiancrucifixplat,"I remeber this as a kid and my color was never called aswell and stuff like this happend for multiple other things, and made me so disappointed as a child",0,2025-03-08T21:04:34Z
@songs-f9q,Green?,0,2025-03-08T15:30:47Z
@fuxkag3908,This was sorta cute,0,2025-03-08T15:10:12Z
@alisainudheen6048,Explanation  <br><br><br><br>This guy actually finds lots of gold gold coins so it is a million of worth find <br>Pls pin me as the first comment,0,2025-03-08T11:41:58Z
@garrettmossin,"Um sir, thats green",0,2025-03-08T02:04:15Z
@MorganLindsey-b4o,That&#39;s green,0,2025-03-07T23:01:44Z
@souridethkongsayasane4809,Aw so cute,0,2025-03-07T21:11:54Z
@JohnDoe-hj9fh,This channel is weird,1,2025-03-07T18:23:21Z
@Kilian-o9m,Am I the only one that sees the colour green instead of yellow 🙈,0,2025-03-07T13:07:48Z
@Ilyasrezwan,Thats green,0,2025-03-07T07:50:44Z
@SirButterfinger,Its fking greeeeeeeeeen,0,2025-03-06T19:24:56Z
@ilonacamp3469,That was green not yellow<br>😂😂❤❤❤❤❤❤😂😂<br><br><br><br><br>made my kinda cry😢😢😢😢😊😊❤,0,2025-03-06T14:11:39Z
@hehjesuhdbwbsnsn4397,Yellowwwwwwwww itssssss greennnnn,0,2025-03-06T10:42:11Z
@amyx231,He was green though. Is he colorblind? His trauma was caused by himself not knowing what color he was at?,0,2025-03-06T08:37:26Z
@NaomiDarlington,Bro i literally didn’t get my turn 😭 😭,0,2025-03-06T07:59:42Z
@paigedestinee2608,Is this real,1,2025-03-06T03:55:00Z
@Hyperspace77,Sorry that&#39;s green,0,2025-03-05T22:55:09Z
