Author,Comment,LikeCount,PublishedAt
@TigerSem-h3z,Те курицы что на против нет у вас будущего вы бездушные,0,2025-01-14T14:32:47Z
@felixjanssen2,"Дядь, хинкали? Рили? 😂😂😂",0,2025-01-09T20:56:01Z
@SHFEERRAHMAN,Kindess,0,2025-01-04T21:37:52Z
@jonym5832,🇬🇪🇬🇪🇬🇪🇬🇪,0,2024-11-20T11:46:40Z
@mauryenpontes9408,"Gentileza gera Gentileza. Parabéns pela moça, muito humilde 👏🏻👏🏻👏🏻👏🏻",0,2024-11-16T05:40:30Z
@nuko_nail_Scratch,小籠包かな？めっちゃ美味しそ🤤,0,2024-11-15T02:38:07Z
@martincontreras444,Que belleza ❤❤❤❤❤🎉,0,2024-11-13T22:12:16Z
@真野貴信,人が、持っている優しさに涙。,0,2024-11-09T10:58:01Z
@ДокХолидэй,"Кому ацфон, кому конфеты... Сволочь",0,2024-11-07T14:09:02Z
@РоманГрищенко-р7м,седять.іржуть.хто.знае.щостобою.буде.інадтобою.будуть<br>Ржать😢,0,2024-10-30T12:06:17Z
@StevenWhiteAceGoober,Love these videos. Keep it up.<br><br>Teaches others to be a better person.,0,2024-10-28T00:23:29Z
@ИванИванов-й2й9с,"What the West has brought people to, people are afraid to come up and help because of tolerance , they are afraid that they will be accused of disrespect for a person",0,2024-10-27T14:59:50Z
@Pietro-b7r,Per fortuna che esistono delle persone buone che aiutano chi a bisogno le altre non esistono,0,2024-10-26T23:39:51Z
@wahidprince6744,شكرا لك من قلب,0,2024-10-25T10:08:21Z
@gorletirupathirao2645,❤❤❤❤❤❤,0,2024-10-25T08:53:14Z
@oguzbey59,Aekadaki siyah deri ceketli kaltak baştan sona izledi ve güldü,0,2024-10-25T02:57:39Z
@Simsfreeplay-o9d,❤😌🥹,1,2024-10-24T22:26:50Z
@SathapornSaenhan,ควายคนที่หัวเลาะตกมากมั้ง,0,2024-10-24T18:05:14Z
@goatvibe7101,This lady great example of good person she such amazing person,9,2024-10-24T17:36:31Z
@AndreaValterova,❤,0,2024-10-24T11:54:19Z
@KimKBotha04,"That women should be a shame of herself by laughing. Sies, she&#39;s a bad person.😤So childish",0,2024-10-24T05:49:31Z
@fabriciosc,"If everyone here wants to help people, look for real people who needs help, they just want your views and likes! They make money with fake videos! Are you dummy?",0,2024-10-23T03:11:51Z
@RadiaLarbi-m8m,❤❤❤❤❤❤❤❤❤❤❤,0,2024-10-22T11:14:18Z
@yessyoctora4751,😭😭😭😭😭,0,2024-10-22T03:44:58Z
@shemsaxhemaili6880,God bless her heart ❤️🤲,0,2024-10-21T22:07:04Z
@Santhosh_sr.,hi bro I am Santosh from India subscriber  ❤️❤️❤️❤️🤝🤝,0,2024-10-21T14:58:52Z
@植野裕之,ていさんやさしい😊,1,2024-10-21T12:28:11Z
@skycool4736,🇹🇭🇹🇭♥️♥️♥️♥️♥️♥️🇹🇭🇹🇭,1,2024-10-21T06:17:43Z
@dream1990,الرحمه مطلوبه,0,2024-10-20T23:27:18Z
@RamazanCan-y9b,"The brunette girl in the leather jacket at the table in the back was also in the video on the train, lying on her shoulder",0,2024-10-20T17:37:38Z
@BishalSharma-d3f,🎉🎉🎉🎉🎉😂😂❤❤❤,0,2024-10-20T14:48:35Z
@DennyChan,😭😭,0,2024-10-20T14:47:56Z
@cmziray,And the ones with so called beauty in the outside laughing at him in the background…. Their insides will show their ugliness as they age ;),0,2024-10-20T14:34:59Z
@mdrafikrhaman5016,❤❤❤❤,0,2024-10-20T07:47:05Z
@chihuaschihuas1115,God bless her heart ❤️  they got me in tears 😢,4,2024-10-20T03:51:23Z
@JoelJones-os8nu,The thing that they&#39;ve prepared looks edible. Looks yummy.,0,2024-10-20T03:19:54Z
@parsajahanshahifard,❤,0,2024-10-20T00:04:02Z
@akeiraksiru,❤😢,0,2024-10-19T19:46:45Z
@WindofNorth7,"I saw hell on Earth, so there must be angels too",0,2024-10-19T19:05:00Z
@КоляВасильеа-с5ю,Есть в мире добрые люди,0,2024-10-19T18:03:35Z
@iskogarsoyan5957,🥰🥰🥰🥰🥰👍👍👍👌👌👌💪💪💪,0,2024-10-19T15:07:44Z
@remissiveslave,"Honestly, wtf is that food?",0,2024-10-19T01:33:07Z
@K2fam,Service terbaik❤❤,0,2024-10-19T00:49:21Z
@EkateriniMalamurda,Respekt ❤🎉,0,2024-10-18T23:32:44Z
@Roberto-xw2kk,"So cringe, just for likes",0,2024-10-18T21:58:58Z
@emelycruz7097,Empatía!!👏👏,0,2024-10-18T21:12:29Z
@tomasomarini9044,La commessa dell anno,0,2024-10-18T21:06:02Z
@JoseDiaz-yl9sh,Shouldn&#39;t be helping everybody. That should be a normal thing,0,2024-10-18T15:46:05Z
@faridanurzhanova8672,🥹,0,2024-10-18T11:58:14Z
@patrickdias7914,Really so sweet video that lady is so kind and golden heart lady ❤️,5,2024-10-18T11:04:29Z
