Author,Comment,LikeCount,PublishedAt
@MuqaddasRaxmonberdiyeva-n8k,Zach king you Italy do you live or America 🧐🧐🧐🤔🤔🤔🤔🤔🤔🤔,0,2025-03-19T17:01:20Z
@primalconstruction7308,How 💀☠️,0,2025-03-19T14:37:37Z
@СергійКостирко-е9п,uh...I have no idea what to say...,0,2025-03-19T14:05:57Z
@SooNyyASMR,hi,0,2025-03-19T02:51:42Z
@أميرحسينبیصوت,😮😮😮😮😅,0,2025-03-18T08:28:19Z
@ЦветиБобойчева,😂😂😂,0,2025-03-16T13:58:28Z
@X_X-gm3cr,"<a href=""https://www.youtube.com/watch?v=ys5re4kXW1I&amp;t=11"">0:11</a> if you look closely, he isn&#39;t saying anything",0,2025-03-12T03:17:19Z
@JeanThorne-gr8zu,😢 I hope you get to see it,0,2025-03-09T15:41:32Z
@amir-i5d6l,😮😮😮😮,0,2025-03-08T09:17:46Z
@VinnieStarliz,This man is genius ❤😂,1,2025-03-07T19:42:24Z
@FadumoHussein-vn8eh,This house is  godzilla,0,2025-03-07T05:40:44Z
@YuriMarcial,🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐,1,2025-03-07T01:57:35Z
@RoselindaOghayon,Magic pool😮😮😮😮😮😮,0,2025-03-04T16:00:27Z
@gertstgi_Alexander_sasha,Ух-ты это-же из фильма &quot;ноч в музеи&quot;😮,0,2025-03-04T13:15:49Z
@Hihihaha-99,Great men,0,2025-03-03T14:04:34Z
@user-ik3zk9lq8l,😂😂,0,2025-03-03T11:43:38Z
@waynewahl9815,Dissapear  seriously becarefull your phone does not get swallowed in 🤔🤨🤭,0,2025-03-02T21:52:57Z
@GirlieBanag,It&#39;s make in real life,0,2025-03-01T04:30:49Z
@denissehernandez6923,Why didn&#39;t it came with the guys as well😢,3,2025-02-27T01:48:48Z
@rosemeriedaliva,HI,0,2025-02-25T11:06:38Z
@HbkHbk-q1u,Yy😂,0,2025-02-23T10:45:19Z
@BenshienOmpad-g9z,😂😂😂,0,2025-02-22T23:14:00Z
@AJPLAYZ-28,Bro,0,2025-02-22T20:19:53Z
@TrieuvanLe-zn1qc,100k❤❤❤,1,2025-02-19T13:24:11Z
@virajbharate5062,Camera was invented in 1816 <br>Mf’s in 1815,0,2025-02-18T04:45:36Z
@Sigma_T34,you just deleted Godzilla. He’s gonna come back and get you.,0,2025-02-16T21:35:29Z
@FarhanajahanRusy,is Rome,0,2025-02-16T12:29:55Z
@GampangBanget-25,AMAZING😂😂😂😂❤❤❤,0,2025-02-16T11:10:30Z
@Eadaceasa,how come the v guards is still there,0,2025-02-15T14:57:24Z
@ArofatMalee-o1x,681,0,2025-02-15T10:35:03Z
@Bmw.18-gq4fv,😂😂😂😂😂😂😂😂😂,0,2025-02-13T09:27:25Z
@QuyCung,ồ không ❤❤❤,0,2025-02-12T11:31:19Z
@NittayaPhompa,It a corosseam ?,0,2025-02-11T16:40:51Z
@RubiMandal-x6q,Bhy kya Editing he ye😂😂,1,2025-02-11T10:18:47Z
@gektus6608,Zack has stole Eiffel tower and now this...,1,2025-02-11T05:42:25Z
@JesonBernardello,Italia,0,2025-02-10T20:34:08Z
@MichaelBarlizo-z2n,Is that in Italy?,2,2025-02-10T09:55:32Z
@MinayxanIlyasova,🎆🎨🖼🎎,0,2025-02-10T07:14:28Z
@arkhanaputra9197,zachcing amazing,0,2025-02-08T11:03:59Z
@DagagaGetachew-v3o,What about the guards😂,1,2025-02-08T10:39:30Z
@Vica-hd3ni,Buckles movie pizza🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉🎉❤🎉❤🎉❤🎉❤🎉🎉❤🎉🎉🎉❤,0,2025-02-08T10:30:08Z
@Vica-hd3ni,Articles of pizza🎉❤❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤,0,2025-02-08T10:28:37Z
@cvmaslim4823,😅😅😅,0,2025-02-08T06:01:50Z
@user-wk6ve5on2o,Hey come back here 😂,0,2025-02-07T10:42:33Z
@hananhamad722,😱😱😱,0,2025-02-07T10:21:56Z
@BenardAnaksanda,Bro bdoh,0,2025-02-07T08:31:06Z
@Lucio-9h,Bro the. British museum gonna be taking notes 💀☠️💀,0,2025-02-07T04:03:37Z
@tahirsaeed7007,🇮🇹 for you to be in,0,2025-02-05T21:11:43Z
@Thanos230sam,&lt;frog&gt;,0,2025-02-05T14:54:12Z
@PetraSzabova-q2v,What,0,2025-02-05T11:54:49Z
