Author,Comment,LikeCount,PublishedAt
@toasty11-11,Bro used 102% of his cup,0,2025-03-21T02:38:44Z
@richremo,Bro drank tap water,0,2025-03-20T22:17:37Z
@Мирас-ь3й,"Vıews: 166M<br>Lıkes: 6,1M<br>Comments: 7K",0,2025-03-20T16:43:01Z
@ShehnazAsif-q4t,That on ranbir,1,2025-03-20T08:25:44Z
@Иван-с6б2л,Капитан Америка проиграл,0,2025-03-19T16:14:41Z
@Redar_Papayik115,I&#39;m the only one standing and crying by the sink😅,0,2025-03-18T12:01:16Z
@MIha954-rute68,Ааааау,0,2025-03-18T08:51:56Z
@gopalparsad5398,This blue one is looking like bollywood celebrity ranbir kapoor,0,2025-03-18T01:46:33Z
@Gustavo-c3x,😂,0,2025-03-17T21:06:25Z
@شركهالاتحاد-ف9ظ,الفيديوهات اللي بتجيلي في رمضان 😂😂😂😂,0,2025-03-17T15:50:18Z
@HoatMai-u7w,Very good,0,2025-03-17T13:12:14Z
@xLEADERPUBGMUZ,Bale quloqidan bildim😂😂😂,1,2025-03-17T05:41:45Z
@cvbhub,Comon guys😂,0,2025-03-17T05:35:48Z
@leannaspalding5454,Wtf,0,2025-03-17T03:34:25Z
@Alwaysout,Bro turned into badland chugs 😂😂😂,1,2025-03-17T01:47:32Z
@ClipEagle,I can’t I’m fasting,0,2025-03-16T22:22:39Z
@ValentinoKatz,*You&#39;ve used 102% of your storage. *,0,2025-03-16T17:59:41Z
@SanjuPatel-t7s,Blue t-shirt wala Indian Indian actor Ranbir Kapoor jaisa dikhta hai❤❤❤❤❤,0,2025-03-16T16:36:16Z
@kytliwka,Idiots,0,2025-03-16T15:47:45Z
@НуртилекАкимбаев-б4о,😱😱😱,0,2025-03-16T11:07:54Z
@Aaronblendzzz,Soooooo are we not gonna talk about the water drop which means someone lost,0,2025-03-16T03:19:29Z
@franciscojavierolmedo6649,Tomo más el piso que el chico,0,2025-03-16T01:42:43Z
@ReanThaneer,⳻᷼⳺╰‿╯×͜×ʕ˖͜͡˖ʔ𒀱ꪳ┊㋰亗★᭄ꦿ᭄ꦿ⍰࿓⚚༂༆෴༊๛♛✌♚🍾☮✔❣☑☠❅✎©☁®Σ℉℃✿™¢£ஐ✡✯∞,0,2025-03-15T23:00:32Z
@shilohmerilan9858,IT SPILLED ON THE 7TH TRY REWATCH THE VIDEO,0,2025-03-15T13:57:28Z
@mensureeskin7987,Öçö,0,2025-03-15T11:25:56Z
@amidxursudov,Vhat? Ala cart,0,2025-03-15T09:47:23Z
@chetramhardial343,Just barely only one person lost😊,0,2025-03-14T23:21:18Z
@tfcxjack3175,❤❤❤😊😊😮😮😮,0,2025-03-14T20:49:53Z
@คุณัชญ์สุวรรณเกตุ-ฟ6ฤ,Red shirt noob,0,2025-03-14T16:29:29Z
@anasdoloh338,ผมเคยทำแต่เป็นน้ำร้อน,0,2025-03-14T09:02:14Z
@bomby-u1l,congrats on 100k,0,2025-03-13T19:39:34Z
@MDL74god,Cup was using 102% of his space💀,0,2025-03-13T12:48:22Z
@HGaikwad-m7i,Etni Mehant Karese Achha Pi Jata Pyas to Buzti 😂,1,2025-03-13T11:28:56Z
@clutchclaw511,Surface Tension pretty fun to watch,0,2025-03-13T11:03:05Z
@Johnnyjohnson223,This got 6m likes…. How fucking dumbed down is society?,0,2025-03-13T05:14:54Z
@Francisco-ga,Ay que asco,0,2025-03-12T19:57:26Z
@fatmakarakas7681,Siiiuuuuuuii💀💀💀💀💀💀,0,2025-03-12T19:43:48Z
@alexfish3120,🐒🐒🐒,0,2025-03-12T16:38:42Z
@Apriliarps,Ai tak puasa,0,2025-03-12T04:38:05Z
@kalkal7785,harvard university students receiving a higher education,0,2025-03-12T03:42:41Z
@francar7927,Bro used 101%,0,2025-03-11T22:16:55Z
@Mfortnitepro,F,0,2025-03-11T20:15:09Z
@rajeshdhuri913,Bro,0,2025-03-11T19:02:04Z
@kzykroglu,Vpn ile oynuyom,0,2025-03-11T11:27:53Z
@EliteWarrior-tp8iy,Cakap bahasa inggeris bukan saya tahu pun 🥺🥺 ni saya nak marah ni😤😤😤😠😠😠😡😡🤬🤬🤬,0,2025-03-11T09:58:10Z
@GeorgeZoopy,i dont understand how can you win this game,0,2025-03-11T09:09:13Z
@killflowey,102% of water,0,2025-03-11T07:23:18Z
@Rokielectr0,Jojo reference,0,2025-03-11T01:53:56Z
@bogarsin1117,Todos digan chamoy,0,2025-03-10T18:14:04Z
@СвятикРожок,я думаю що програє синій😂,0,2025-03-10T16:34:37Z
