Author,Comment,LikeCount,PublishedAt
@sparkysubwoofer,awesome,0,2025-03-18T04:33:42Z
@asherbenyitzhak,באיראן כי הם דיברו פרסית,0,2025-03-13T20:29:28Z
@Kuzmihc.,Американский Тоха T2X2 поясняет за физику,2,2025-02-26T16:04:39Z
@Khanhthy0901,Tôi thích cái cách ông ấy mỉm cười và nói &quot; cool ! &quot; trong vui sướng,0,2025-02-24T11:03:57Z
@emirbugrasisek2196,Evrim ağacı,1,2025-02-20T13:35:35Z
@МаркАлександров-р6с,А вот последнее меня удивило.,0,2025-02-16T13:55:47Z
@dralisindhr9691,🙄useless,0,2025-02-16T08:13:19Z
@josephgood502,This shit might actually be physics,0,2025-02-15T19:46:57Z
@Brandededitz8,The guy is helsangi from money heist,0,2025-02-15T01:06:59Z
@pareshvaghela9404,Minecraft water elevator,0,2025-02-14T16:34:44Z
@MohamedKhaled-f8m,❤❤❤❤,0,2025-02-13T15:22:58Z
@oubahamanianass-v5u,اللهم نجحني انا وجميع المسلمين والمسلمات والمؤمنين والمؤمنات 🤲 🤲 🤲 🤲 🤲 🤲 🤲,1,2025-02-12T22:29:24Z
@ИльяПетров-ф8и,Тоха начал снимать эксперементы,1,2025-02-11T15:50:08Z
@GabrielMaia-l9x,kikeletafazedo,0,2025-02-10T11:39:59Z
@crazybs1120,Evrim ağacı 2.0,1,2025-02-09T18:41:00Z
@user-8ushinyy,簡單…<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>直接拐🎉,0,2025-02-09T10:11:37Z
@melek246,Evrim Ağacı nasıl bak😅😅 şakaydı,0,2025-02-09T09:12:38Z
@jakubstopa2768,caseoh experiment channel,0,2025-02-05T16:39:31Z
@dangerbhai500,Hooo hoohoo hoo,0,2025-02-04T08:30:26Z
@AmiR_shrf,Bernoli,0,2025-02-02T16:48:42Z
@arzualtin2489,Minecraft 1.16 asansör nasıl yapılır adlı çalışma 😂😂,0,2025-01-31T00:45:02Z
@Doruk-3479,lan türkler size sesleniyorum bu adamı ilk gördüğümde evrim ağacına benzeten tek benmiyim ?,0,2025-01-29T14:56:23Z
@rudilynrush58,very amazing,0,2025-01-29T02:11:30Z
@ЮраБалогкрасиваяпесня,()_()<br>(⁰0⁰ <br>/~❤,0,2025-01-28T19:52:18Z
@_txqx.27,It&#39;s boycotted ‼️,0,2025-01-25T17:02:10Z
@BasmalaSaid-l8g,الحقوا امسكوه قبل ما يخترع قانون جديد🥲💔,1,2025-01-24T16:35:56Z
@dsg2047,😊😊😊,0,2025-01-23T15:49:42Z
@wiljak_hakker,suddenly bubbleelvators in minecraft makes sence!!,0,2025-01-23T01:33:46Z
@littlesherlock5008,Çağrı mert bakırcı,0,2025-01-21T14:07:06Z
@siracefearli,EVRİM AĞCI,0,2025-01-19T22:03:18Z
@AEMNDONKI,غر😂😊😊,0,2025-01-19T15:24:40Z
@AryanAli-g8r,Good job cayso,0,2025-01-18T13:08:21Z
@Borabebasic,so thats how soul sand works,0,2025-01-16T18:40:06Z
@فيصلبنشيهون-ت5ذ,عيعطق😂,0,2025-01-16T17:20:19Z
@فيصلبنشيهون-ت5ذ,كرة خحقال 😂🎉❤❤❤❤,0,2025-01-16T17:20:01Z
@onn785,i thought this only worked in minecraft bro,0,2025-01-15T22:46:22Z
@teteikhawlhring1755,Already know from miu,0,2025-01-15T15:09:31Z
@saruhan3275,Evrim  ağacl değilmi,0,2025-01-14T13:06:25Z
@يٰوسفالتميمي-ض1ض,‏يا حبيبي أنت القلب❤,0,2025-01-12T11:49:51Z
@Miftah-1500,𝗛𝗮𝗹𝗹𝗼,0,2025-01-12T02:32:03Z
@lisdacell-lw2hk,😮,0,2025-01-11T04:00:14Z
@vince5089,Bro copity miwu,0,2025-01-10T06:41:19Z
@tiesvandenoever955,Its cald climbing against gravity,1,2025-01-09T06:33:03Z
@dextersewell9976,"Vacuum left behind after water floods out, so pepsi tries to fill space?",1,2025-01-08T17:59:46Z
@sksahilafrojgaming2384,"<a href=""http://www.youtube.com/results?search_query=%23sahil"">#sahil</a>",1,2025-01-08T13:05:11Z
@shortvideos_201,Wow amazing 😂🎉,0,2025-01-08T12:49:01Z
@Jeto_official,Thank you Samwell tarley,1,2025-01-07T14:40:09Z
@יסמיןאטקישייב-ס9י,ח,0,2025-01-07T10:49:33Z
@raiamsantos7536,Quando seu amigo tira a água do elevador enquanto você sobe,0,2025-01-06T23:47:10Z
@crazybanan-r8g,Антон 2тх2 уже не тот,0,2025-01-06T14:09:36Z
