Author,Comment,LikeCount,PublishedAt
@MikeZak101,how it should be when you get home from work,0,2025-03-20T11:59:23Z
@RubyBender-p7u,Sorry I had to laugh 😅😅😅😅😅😅😅😅,0,2025-03-20T01:01:49Z
@kle5129,"To have that on video, he had no regret about what she&#39;s about to do to him lmao",0,2025-03-20T00:30:29Z
@mynamesnotCrees,The way the camera zoomed out to capture the moment 😂🎉,0,2025-03-19T21:11:04Z
@drained1177,&quot;Was it worth it? &quot;<br>&quot;Every goddam second.&quot;,1,2025-03-19T18:04:42Z
@OP4L88,I love it❤,0,2025-03-19T17:39:30Z
@yghu-ui6zm,😂😂😂,0,2025-03-19T16:15:18Z
@Coredance1,Timing is everything!,0,2025-03-19T14:44:44Z
@mehakshaikh2061,🤣🤣🤣🤣,0,2025-03-19T14:12:30Z
@carlitomencede4070,😂,0,2025-03-19T10:40:15Z
@inimicalface,😂,0,2025-03-19T07:43:13Z
@فراسعلي-ف9ع,يقول لها انهضي انا راضي عنك 🤚,0,2025-03-19T06:31:04Z
@koulik001,At least he didn&#39;t go behind her.,0,2025-03-19T03:33:39Z
@Beer0665,"I thought he would run behind her, but I forgot to consider that the child was there, so he probably couldn’t do it.😂",0,2025-03-19T00:54:12Z
@Greyopal57,"❤❤😂😂😂 his son saying, &quot;don&#39;t do it dad&quot;.",0,2025-03-18T23:42:48Z
@lawrencepuweleikombut6254,Asian Fun😂,0,2025-03-18T23:11:55Z
@kennmit,Funny she realized what was happening and wanted her get back.<br> Mad funny though,0,2025-03-18T19:49:52Z
@youare-ud5qc,We have a song killer queen and now we see the video killer king,0,2025-03-18T12:32:12Z
@MsMookalate,Dad is like &quot;worth it&quot; 💥🖐🏾💨🤚🏾,0,2025-03-18T12:24:36Z
@bensonsmiles7870,THE KING F THE HOUSE   😅😅😅,0,2025-03-18T11:52:28Z
@kij0074,And after this he went to dungeon 😂❤,0,2025-03-18T10:12:34Z
@Rua-sm3tk,"Современная женщина, которая ненавидит мужчин",0,2025-03-18T09:36:10Z
@jesusjimenez2787,ajjajaajajajajajajajajajajaj. debieron mostrar como les partia la madre despues de corretearlo.,0,2025-03-18T07:31:58Z
@JaihindHindustani-k4h,😂😂😂😂😂😂,0,2025-03-18T06:04:55Z
@satori88283,King of kowtow,0,2025-03-18T05:36:58Z
@joshuasteele3449,Legend 😂😂😂,0,2025-03-18T04:24:57Z
@shannahsnyder5653,😂,0,2025-03-18T00:16:23Z
@luzofeliaaranavelez9543,Jajajaja,0,2025-03-18T00:07:09Z
@flyingcow4532,😂that’s a good one 😂,0,2025-03-17T22:13:10Z
@syedmunna143,When she raised her head up !<br>King furrutt with his life 😂😂,0,2025-03-17T18:54:14Z
@Findingmilk,Bow before my greatness! Woman,0,2025-03-17T14:11:32Z
@elchile0075,Aprovecho el bug 😂,0,2025-03-17T13:28:26Z
@jayeshhkothari,Man saw<br>Man saw opportunity <br>Man took opportunity <br>Man ran away.,0,2025-03-17T06:12:33Z
@davidgonzales8754,Abdicated the throne in 3 seconds…,0,2025-03-17T05:08:34Z
@straieraswift5785,That&#39;s right. Show your respect wife.,0,2025-03-16T23:36:38Z
@gamersite99,From king for a few seconds to a missing person🤣😂🤣😂,0,2025-03-16T19:09:42Z
@Ffertyruty,😂,0,2025-03-16T14:49:03Z
@AnneCloud-f9g,Oh that&#39;s why... KING OF FEW SECONDS 😂😂😂😂😂😂😂😂,0,2025-03-16T13:31:26Z
@burritosleep,I love how the kid didn&#39;t know what was going on and didn&#39;t say anything 😂,0,2025-03-16T12:42:44Z
@sparshsharma323,God.bless them❤,0,2025-03-16T12:26:29Z
@grinningchicken,Prostrate yourself before Zod!,0,2025-03-16T11:10:47Z
@asifsultanh.k.2693,😂😂😂😂😂,0,2025-03-16T08:37:43Z
@aketoassumi4356,😂😂😂😂,0,2025-03-16T08:34:15Z
@hmuazam,Man will never stop their creative way of making fun😂,0,2025-03-16T06:02:01Z
@shushutheunique6429,Atleast he finally got his lifetime opportunity...😂😂 <br>Husband deserve it.❤,41,2025-03-16T05:55:25Z
@dkd88888,😆😆,0,2025-03-16T02:45:03Z
@demetriusdlayahu1979,I watch this so many times 😂,0,2025-03-16T00:42:03Z
@Explosion-,Him: i command you to cook,0,2025-03-16T00:07:58Z
@angelg4890,I try this everyday usually works because I am the tiger 😂,0,2025-03-16T00:00:45Z
@basharibrahim4699,😂😂😂,0,2025-03-15T21:10:22Z
